Gene symbol	Gene name	Fold change	P
IGLC1; IGLC2	Immunoglobulin lambda constant and variable	8.63	0.035
IL26	Interleukin-26	8.44	0.043
IGHM	Immunoglobulin heavy constant mu	7.16	0.025
POU2AF1	POU domain, class 2, associating factor 1	5.93	0.016
TNFRSF17	Tumor necrosis factor receptor superfamily, member 17	5.78	0.04
T3JAM	TRAF3-interacting Jun N-terminal kinase (JNK)–activating modulator	4.73	< .001
LEF1	Lymphoid enhancer-binding factor 1	4.66	0.004
SH2D1A	SH2 domain protein 1A, Duncan disease	4.61	0.006
GNLY	Granulysin	4.56	0.041
PTPN7	Protein tyrosine phosphatase, nonreceptor type 7	4.45	< .001
FYB	FYN binding protein (FYB-120/130)	4.44	< .001
TNFSF14	Tumor necrosis factor (ligand) superfamily, member 14	4.16	< .001
LCK	Lymphocyte-specific protein tyrosine kinase	4.11	< .001
RAC2	Ras-related C3 botulinum toxin substrate 2	4.1	< .001
IL21R	Interleukin-21 receptor	4.09	< .001
TCRIM	T-cell receptor interacting molecule	4.01	< .001
ZAP70	?-chain (TCR)–associated protein kinase 70 kDa	3.89	< .001
TNFSF4	Tumor necrosis factor (ligand) superfamily, member 4	3.86	0.01
CCR8	Chemokine (C-C motif) receptor 8	3.65	0.031
FUT7	Fucosyltransferase 7 (alpha (1,3) fucosyltransferase)	3.64	0.007
SELL	Selectin L (lymphocyte adhesion molecule 1)	3.64	0.012
CD3G	CD3G antigen, gamma polypeptide (TiT3 complex)	3.64	< .001
CCL4	Chemokine (C-C motif) ligand 4	3.62	0.042
ITK	IL-2–inducible T-cell kinase	3.61	< .001
CXCL13	Chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)	3.6	0.016
IL2RA	Interleukin-2 receptor ?	3.49	0.015
TNIK	TRAF2 and NCK interacting kinase	3.4	< .001
IL2RB	Interleukin-2 receptor ?	3.29	< .001
TNFRSF7	Tumor necrosis factor receptor superfamily, member 7	3.23	< .001
TRBC1	T-cell receptor ? constant 1	3.2	< .001
LAT	Linker for activation of T cells	3.16	< .001
ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	3.01	0.006
IL2RG	Interleukin-2 receptor ? (severe combined immunodeficiency)	3.01	< .001
LILRB4	Leukocyte immunoglobulin-like receptor, subfamily B, member 4	2.95	0.007
CCR4	Chemokine (C-C motif) receptor 4	2.91	0.003
ITGAL	Integrin ?L	2.91	< .001
CD3E	CD3E antigen ? polypeptide (TiT3 complex)	2.89	< .001
CD3Z	CD3Z antigen ? polypeptide (TiT3 complex)	2.88	< .001
PRF1	Perforin 1 (pore-forming protein)	2.86	0.009
CCR5	Chemokine (C-C motif) receptor 5	2.84	0.008
LTB	Lymphotoxin ? (TNF superfamily, member 3)	2.82	0.001
CCR7	Chemokine (C-C motif) receptor 7	2.72	< .001
BIRC3	Baculoviral IAP repeat–containing 3	2.71	0.005
MAP4K1	Mitogen-activated protein kinase 1	2.68	< .001
IL27RA	Interleukin-27 receptor ?	2.67	< .001
CD69	CD69 antigen (p60, early T-cell activation antigen)	2.67	0.001
IFNG	Interferon?	2.66	0.009
CXCR4	Chemokine (C-X-C motif) receptor 4	2.66	< .001
CD3D	CD3D antigen ? polypeptide (TiT3 complex)	2.58	< .001
ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	2.57	0.001
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	2.55	0.006
ITGB7	Integrin ?7	2.5	0.002
LPXN	Leupaxin	2.4	< .001
PTPRC	Protein tyrosine phosphatase receptor type C	2.27	< .001
TRA@	T-cell receptor ? locus	2.25	< .001
EVI2B	Ecotropic viral integration site 2B	2.19	< .001
TNF	Tumor necrosis factor (TNF superfamily, member 2)	1.9	< .001
TNFAIP8	Tumor necrosis factor?–induced protein 8	1.87	< .001
WIF1	WNT inhibitory factor 1	4.93	0.003
IL1F7	Interleukin-1 family, member 7 (?)	4.17	< .001
C1orf68	Chromosome 1 open reading frame 68	3.71	< .001
PSORS1C2	Psoriasis susceptibility 1 candidate 2	3.06	< .001
