Probe set	Gene symbol	SAM	P of WRS	Ratio NEC/USPC	Title
774_g_at	MYH11	17.611	0.0027	1014.968759	Myosin, heavy polypeptide 11, smooth muscle
773_at	MYH11	14.265	0.0027	968.0223497	Myosin, heavy polypeptide 11, smooth muscle
32582_at	MYH11	11.277	0.0027	212.2458648	Myosin, heavy polypeptide 11, smooth muscle
36681_at	APOD	11.714	0.0027	137.3140116	Apolipoprotein D
1501_at	IGF1	8.321	0.0027	128.0651104	Insulin-like growth factor 1 (somatomedin C)
39325_at	EBAF	8.177	0.0027	123.064609	Endometrial bleeding associated factor)
767_at		12.707	0.0027	119.5409103
40398_s_at	MEOX2	10.182	0.0027	114.9489897	Mesenchyme homeo box 2
40776_at	DES	9.738	0.0027	109.416397	Desmin
1197_at	ACTG2	5.861	0.0027	96.65715109	Actin, gamma 2, smooth muscle, enteric
36627_at	SPARCL1	7.724	0.0027	93.89302842	SPARC-like 1 (mast9, hevin)
37407_s_at	MYH11	11.893	0.0027	88.70362054	Myosin, heavy polypeptide 11, smooth muscle
39673_i_at	ECM2	8.459	0.0027	82.52353674	Extracellular matrix protein 2, female organ and adipocyte specific
39701_at	PEG3	7.645	0.0027	73.87997223	Paternally expressed gene 3
39066_at	MFAP4	9.383	0.0027	68.84723295	Microfibrillar-associated protein 4
38737_at	IGF1	6.341	0.0027	65.13666715	Insulin-like growth factor 1 (somatomedin C)
35730_at	ADH1B	9.759	0.0027	64.94146631	Alcohol dehydrogenase IB (class I), beta polypeptide
41124_r_at	ENPP2	7.007	0.0027	53.43118221	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)
36749_at	CPA3	9.096	0.0027	53.07347991	Carboxypeptidase A3 (mast cell)
39616_at	PTGER3	10.188	0.0027	52.65326101	Prostaglandin E receptor 3 (subtype EP3)
33440_at	TCF8	7.22	0.0027	49.54168001	Transcription factor 8
32666_at	CXCL12	7.168	0.0027	49.2359637	Chemokine (C–X–C motif) ligand 12
38734_at	PLN	9.182	0.0027	47.86730799	Phospholamban
34203_at	CNN1	5.051	0.0027	47.0209722	Calponin 1, basic, smooth muscle
37576_at	PCP4	12.468	0.0027	45.45542357	Purkinje cell protein 4
36834_at	MOXD1	9.736	0.0027	44.20917891	Monooxygenase, DBH-like 1
37247_at	TCF21	9.81	0.0027	42.40051895	Transcription factor 21
37701_at	RGS2	7.408	0.0027	42.29038464	Regulator of G-protein signalling 2, 24 kDa
779_at	COL4A6	5.84	0.0027	41.96325597	Collagen, type IV, alpha 6
37394_at	C7	9.835	0.0027	40.72326307	Complement component 7
36533_at	PTGIS	6.097	0.0027	39.10052985	Prostaglandin I2 (prostacyclin) synthase
32689_s_at		6.178	0.0027	36.96897988
32905_s_at	TPSB2	6.873	0.0027	36.85974711	Tryptase beta 2
33240_at	SEMACAP3	4.814	0.0027	36.54583796	Likely ortholog of mouse semaF cytoplasmic domain associated protein 3
1466_s_at	FGF7	8.628	0.0027	35.60413415	Fibroblast growth factor 7
32686_at	PTGER3	7.397	0.0027	35.31357002	Prostaglandin E receptor 3 (subtype EP3)
39690_at	ALP	6.951	0.0027	33.76045029	Alpha-actinin-2-associated LIM protein
38427_at	COL15A1	7.196	0.0027	32.85391153	Collagen, type XV, alpha 1
39939_at	COL4A6	6.846	0.0027	32.53815505	Collagen, type IV, alpha 6
37630_at	NRLN1	5.896	0.0027	31.03030255	Neuralin 1
35717_at	ABCA8	7.587	0.0027	30.63819827	ATP-binding cassette, subfamily A, member 8
1709_g_at	MAPK10	6.522	0.0027	30.54331363	Mitogen-activated protein kinase 10
35679_s_at	DPP6	5.899	0.0027	30.33959319	Dipeptidylpeptidase 6
35740_at	EMILIN1	7.445	0.0027	29.45261895	Elastin microfibril interfacer 1
41123_s_at	ENPP2	6.597	0.0027	29.29614059	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)
755_at	ITPR1	8.211	0.0027	29.02124207	Inositol 1,4,5-triphosphate receptor, type 1
32847_at	MYLK	5.388	0.0027	28.22518538	Myosin, light polypeptide kinase
38001_at	CACNA1C	5.74	0.0027	27.31347302	Calcium channel, alpha 1C subunit
37279_at	GEM	9.925	0.0027	26.56613192	GTP-binding protein overexpressed in skeletal muscle
36396_at		5.901	0.0027	26.32457357	Homo sapiens mRNA; cDNA DKFZp586N2020 (from clone DKFZp586N2020)
41137_at	PPP1R12B	12.043	0.0027	25.97089935	Protein phosphatase 1, regulatory subunit 12B
41405_at	SFRP4	10.077	0.0027	23.90433923	Secreted frizzled-related protein 4
40775_at	ITM2A	6.152	0.0027	23.83083993	Integral membrane protein 2A
38059_g_at	DPT	6.508	0.0027	23.76376781	Dermatopontin
41504_s_at	MAF	5.331	0.0027	23.65323618	v-maf
1596_g_at	TEK	4.542	0.0027	23.37422615	TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)
914_g_at	ERG	6.105	0.0027	22.63829292	v-ets erythroblastosis virus E26 oncogene like
34283_at		5.39	0.0041	22.19917455	Homo sapiens, clone IMAGE:4791553, mRNA
34388_at	COL14A1	9.452	0.0027	21.48165459	Collagen, type XIV, alpha 1 (undulin)
38994_at	SOCS2	6.6	0.0027	21.47663968	Suppressor of cytokine signaling 2
36065_at	LDB2	5.79	0.0027	21.19321308	LIM domain binding 2
40230_at	FRZB	5.962	0.0027	21.00467856	Frizzled-related protein
33790_at	CCL15	9.017	0.0027	20.5510028	Chemokine (C–C motif) ligand 15
33890_at	RGS5	7.347	0.0027	20.2203337	Regulator of G-protein signalling 5
36513_at	MAGP2	4.385	0.0041	20.10734871	Microfibril-associated glycoprotein-2
32526_at	JAM3	6.129	0.0027	19.89641568	Junctional adhesion molecule 3
32687_s_at	PTGER3	5.902	0.0027	19.7194642	Prostaglandin E receptor 3 (subtype EP3)
35638_at	CBFA2T1	10.47	0.0027	19.57233853	Core-binding factor, runt domain, alpha subunit 2; translocated to, 1; cyclin D-related
34637_f_at	ADH1A	6.291	0.0027	19.20847669	Alcohol dehydrogenase 1A (class I)
34675_at	SBLF	5.4	0.0027	19.04463285	Stoned B-like factor
38351_at		5.899	0.0026	18.69131208	Homo sapiens mRNA; cDNA DKFZp586L0120 (from clone DKFZp586L0120)
1182_at	PLCL1	4.047	0.0027	18.50958764	Phospholipase C-like 1
39681_at	ZNF145	6.266	0.0027	18.41823634	Zinc-finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia)
1708_at	MAPK10	6.336	0.0027	18.31250756	Mitogen-activated protein kinase 10
37765_at	LMOD1	7.586	0.0027	18.11624265	Leiomodin 1 (smooth muscle)
1678_g_at	IGFBP5	4.237	0.0041	17.88349387	Insulin-like growth factor binding protein 5
35358_at	TENC1	9.243	0.0027	17.68277053	Tensin-like C1 domain-containing phosphatase
33442_at	KIAA0367	6.83	0.0027	17.58195512	KIAA0367 protein
37249_at	PDE8B	5.035	0.0027	17.25176904	Phosphodiesterase 8B
33834_at	CXCL12	7.736	0.0027	17.10893345	Chemokine (C–X–C motif) ligand 12 (stromal cell-derived factor 1)
35324_at	SLIT3	5.157	0.0027	17.08441711	Slit homolog 3 (Drosophila)
37015_at	ALDH1A1	4.941	0.0027	16.83181709	Aldehyde dehydrogenase 1 family, member A1
39266_at		6.237	0.0027	16.80733058	Homo sapiens clone 24405 mRNA sequence
33462_at	GPR105	4.907	0.0027	16.49634139	G protein-coupled receptor 105
32488_at	COL3A1	3.928	0.0027	16.44993439	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
483_g_at	CDH13	3.755	0.0027	16.43857351	Cadherin 13, H-cadherin (heart)
38026_at	FBLN1	5.35	0.0027	16.06497318	Fibulin 1
1909_at	BCL2	7.356	0.0027	16.01160367	B-cell CLL/lymphoma 2
36245_at	HTR2B	4.698	0.0027	15.77119379	5-Hydroxytryptamine (serotonin) receptor 2B
32057_at	LRRC17	5.47	0.0027	15.6891271	Leucine-rich repeat containing 17
39544_at	DMN	5.361	0.0027	15.66465434	Desmuslin
37112_at	C6orf32	4.72	0.0027	15.65975413	Chromosome 6 open reading frame 32
36733_at	FLJ32389	4.442	0.0027	15.64273348	Hypothetical protein FLJ32389
1319_at	DDR2	5.4	0.0027	15.5817123	Discoidin domain receptor family, member 2
38057_at	DPT	8.479	0.0027	15.51358362	Dermatopontin
40358_at	GLI3	6.65	0.0027	15.11249492	GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)
38627_at	HLF	4.947	0.0027	14.89249894	Hepatic leukemia factor
1731_at	PDGFRA	7.05	0.0027	14.84422948	Platelet-derived growth factor receptor, alpha polypeptide
31897_at	DOC1	4.664	0.0027	14.80084961	Downregulated in ovarian cancer 1
2073_s_at	CDH13	5.076	0.0027	14.79118507	Cadherin 13, H-cadherin (heart)
38577_at		7.283	0.0027	14.78670234	Clone DT1P1B6 mRNA, CAG repeat region
38004_at	CSPG4	6.072	0.0027	14.40637488	Chondroitin sulphate proteoglycan 4
32109_at	FXYD1	7.333	0.0027	14.33463902	Phospholemman
34853_at	FLRT2	9.834	0.0027	14.33080432	Fibronectin leucine-rich transmembrane protein 2
38298_at	KCNMB1	7.046	0.0027	14.25816751	Potassium large-conductance calcium-activated channel, subfamily M, beta member 1
