Gene annotations. Gene title	Gene symbol	Fold change
Tumour-associated calcium signal transducer 2	TACSTD2	24.04545
Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 anti-proteinase, anti-trypsin), member 1	SERPINA1	17.6123
High mobility group AT-hook 2///high mobility group AT-hook 2	HMGA2	8.846164
Surfactant, pulmonary-associated protein B	SFTPB	7.799478
Transmembrane 7 superfamily member 4	TM7SF4	7.469067
Fibronectin 1	FN1	6.596816
Forkhead box Q1	FOXQ1	6.115673
Pleckstrin homology-like domain, family A, member 2	PHLDA2	6.059024
Transforming growth factor, alpha	TGFA	6.035082
Sciellin	SCEL	5.934607
Met proto-oncogene (hepatocyte growth factor receptor)	MET	5.783234
Leucine-rich repeat kinase 2	LRRK2	5.771813
Growth differentiation factor 15	GDF15	5.682091
Thyroid transcription factor 1	TITF1	5.020337
G protein-coupled receptor 92	GPR92	4.753553
Tissue inhibitor of metalloproteinase 1	TIMP1	4.746435
Tenascin C (hexabrachion)	TNC	4.526128
Runt-related transcription factor 2	RUNX2	4.408937
Mucin 15	MUC15	3.899277
Stratifin	SFN	3.859829
PR domain containing 1, with ZNF domain	PRDM1	3.772214
Protein tyrosine phosphatase, receptor type, E	PTPRE	3.714994
Solute carrier family 27 (fatty acid transporter), member 6	SLC27A6	3.653551
PDZK1 interacting protein 1	PDZK1IP1	3.630732
Lymphocyte antigen 75	LY75	3.326159
Pleckstrin and Sec7 domain containing 3	PSD3	3.28443
Pleiomorphic adenoma gene 1	PLAG1	3.061884
Plasminogen activator, urokinase	PLAU	3.026201
G protein-coupled receptor, family C, group 5, member A	GPCR5A	2.959967
Putative lymphocyte G0/G1 switch gene	G0S2	2.790126
Interleukin 1 receptor antagonist	IL1RN	2.704131
Inositol 1,4,5-triphosphate receptor, type 3	ITPR3	2.702634
Mal, T-cell differentiation protein	MAL	2.634325
Interleukin 1 receptor accessory protein	IL1RAP	2.518643
Epidermal growth factor receptor pathway substrate 8	EPS8	2.471153
Epidermal growth factor receptor	EGFR	2.474489
Mucin 1, transmembrane	MUC1	2.336798
Metastasis suppressor 1	MTSS1	2.322257
G protein-coupled receptor 56	GPR56	2.31349
Tau tubulin kinase 2	TTBK2	2.262153
Ribosomal protein S6 kinase, 90 kD, polypeptide 3	RPS6KA3	2.237143
v-Ki-ras2 Kirsten rat sarcoma viral oncogene homologue	KRAS	2.212146
Dedicator of cytokinesis 9	DOCK9	2.207327
