Official symbol	Gene name	Fold change in SPN vs.normal pancreas	p
SERPINA3	Serpin peptidase inhibitor, clade A, member 3	0.01	2.08E-08
PNLIPRP1	Pancreatic lipase-related protein 1	0.03	1.75E-07
GCG	Glucagon	0.05	0.000254
PPY2	Pancreatic polypeptide 2	0.05	5.75E-07
CEL	Carboxyl ester lipase	0.05	3.72E-07
SERPINA5	Serpin peptidase inhibitor, clade A, member 5	0.09	6.53E-06
CTRL	Chymotrypsin-like	0.10	4.61E-06
SERPINA1	Serpin peptidase inhibitor, clade A, member 1	0.12	8.81E-06
KLK2	Kallikrein-related peptidase 2	0.13	1.74E-05
SERPING1	Serpin peptidase inhibitor, clade G, member 1	0.13	0.000137
CHGA	Chromogranin A	0.18	0.000286
PTF1A	Pancreas specific transcription factor, 1a	0.19	1.73E-05
SERPINF1	Serpin peptidase inhibitor, clade F, member 1	0.21	0.00032
TPSAB1	Tryptase ?/?1	0.27	0.00151
FOXA2	Forkhead box A2	0.28	0.00834
SYT3	Synaptotagmin III	0.31	0.00184
KLK8	Kallikrein-related peptidase 8	0.36	0.00713
SERPINB1	Serpin peptidase inhibitor, clade B, member 1	0.37	0.00211
IAPP	Islet amyloid polypeptide	0.37	0.00851
PGA5	Pepsinogen 5, group I (pepsinogen A)	0.37	0.00757
SLC6A2	Solute carrier family 6 (noradrenalin), member 2	0.39	0.00883
HNF4G	Hepatocyte nuclear factor 4?	0.40	0.0018
