Gene name	Gene description	Genomic location	Mean expression, log2
HIST1H4C	Histone 1, H4c	6p22	2.722
HIST1H4B	Histone 1, H4b	6p22	2.346
GCET1 (SERPINA9)	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9	14q32	2.21
SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	19q13	2.029
HIST1H4H	Histone 1, H4h	6p22	1.923
TCL1A	T-cell leukemia/lymphoma 1A	14q32	1.865
HIST1H4J	Histone 1, H4j	6p22	1.809
VPREB3	Pre-B lymphocyte gene 3	22q11	1.73
DTX1	Deltex homolog 1 (Drosophila)	12q24	1.627
KLHL14	Kelch-like 14 (Drosophila)	18q12	1.548
MME	Membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	3q25	1.498
CD79B	CD79b molecule, immunoglobulin-associated beta	17q23	1.338
USP46	Ubiquitin specific peptidase 46	4q11	1.326
SYK	Spleen tyrosine kinase	9q22	1.32
CD80	CD80 molecule	3q13	1.307
HLA-DQB1	Major histocompatibility complex, class II, DQ beta 1	6p21	1.296
CD79A	CD79a molecule, immunoglobulin-associated alpha	19q13	1.28
MGC2463	Hypothetical protein LOC79037	7q22	1.192
AICDA	Activation-induced cytidine deaminase	12p13	1.185
LOC90925	Hypothetical protein LOC90925	14q32	1.156
ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	8q24	1.152
EOMES	Eomesodermin homolog (Xenopus laevis)	3p24	1.149
FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	1q23	1.106
BCL7A	B-cell CLL/lymphoma 7A	12q24	1.069
CCL4L		17q12	1.056
SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	22q11	1.052
CD19	CD19 molecule	16p11	0.994
KLHL6	Kelch-like 6 (Drosophila)	3q27	0.938
ALOX5	Arachidonate 5-lipoxygenase	10q11	0.937
BCAT1	Branched chain aminotransferase 1, cytosolic	12p12	0.918
LRMP	Lymphoid-restricted membrane protein	12p12	0.908
