Probe set ID	Gene title	Gene symbol	LS180 emetine SLR (change)	LS180 C(A+C)/CA SLR (change)	LS180 untreated signal (detection)	SW480 untreated signal (detection)	SW480- emetine SLR (change)
219121_s_ata	RNA-binding motif protein 35A	RBM35A	3.6(I)	1.1(I)	143.8(A)	727.4(P)	0.8(I)
225897_at	Myristoylated alanine-rich protein kinase C substrate	MARCKS	3.5(I)	6.7(I)	182.4(A)	540(P)	0.6(NC)
201669_s_at	Myristoylated alanine-rich protein kinase C substrate	MARCKS	3.1(I)	5.2(I)	158.6(P)	1162.6(P)	0.7(I)
222810_s_at	RAS protein activator like 2	RASAL2	3.1(I)	1.5(I)	33.4(A)	854.5(P)	0.5(NC)
208944_at	Transforming growth factor, beta receptor II (70/80 kDa)	TGFBR2	2.5(I)	2.2(I)	1974.7(P)	2132.9(P)	-1.2(D)
218522_s_at	BPY2 interacting protein 1	BPY2IP1	2.2(I)	3.8(I)	339.6(P)	548(P)	-0.2(NC)
201637_s_at	Fragile X mental retardation, autosomal homolog 1	FXR1	2.1(I)	2.1(I)	368(P)	6638.8(P)	0.1(NC)
206777_s_at	Crystallin, beta B2	CRYBB2	2(I)	1.3(I)	267.2(A)	1080(P)	0.2(NC)
211240_x_at	Catenin (cadherin-associated protein), delta 1	CTNND1	1.9(I)	1(I)	832.4(P)	1730.1(P)	0.4(NC)
222760_at	Zinc finger protein 703	ZNF703	1.9(I)	1.3(I)	1856.6(P)	2655.4(P)	0.4(NC)
224326_s_at	Polycomb group ring finger 6	PCGF6	1.9(I)	1.1(I)	302.8(P)	698.5(P)	0.1(NC)
225548_at	Shroom	SHRM	1.9(I)	1.5(I)	573.7(P)	1764(P)	0.8(I)
235521_at	Homeo box A3	HOXA3	1.8(I)	3(I)	270.6(P)	1480.2(P)	-0.3(D)
204391_x_at	Tripartite motif-containing 24	TRIM24	1.7(I)	1.8(I)	902.5(P)	1211.9(P)	0.9(I)
229231_at	Leucine rich repeat containing 37B	LRRC37B	1.7(I)	1.1(I)	735.1(P)	1030.9(P)	0.9(I)
