ProbeSetID	UniGene Symbol	o score	y score
205239_at	AREG	-0.2226	0.1972
205862_at	GREB1	-0.1577	0.1397
205916_at	S100A7	-0.1163	0.103
205402_x_at	PRSS2	-0.1133	0.1003
203700_s_at	DIO2	-0.1109	0.0982
202833_s_at	SERPINA1	-0.1021	0.0904
211429_s_at	SERPINA1	-0.0978	0.0866
209443_at	SERPINA5	-0.0965	0.0855
210355_at	PTHLH	-0.0753	0.0667
204268_at	S100A2	-0.0748	0.0663
203362_s_at	MAD2L1	-0.0733	0.0649
211756_at	PTHLH	-0.0726	0.0643
212218_s_at	FASN	-0.0726	0.0643
218677_at	S100A14	-0.0683	0.0605
209270_at	LAMB3	-0.0679	0.0601
201645_at	TNC	-0.0647	0.0573
203914_x_at	HPGD	-0.0607	0.0537
204455_at	DST	-0.0598	0.053
203699_s_at	DIO2	-0.0584	0.0517
205157_s_at	KRT17	-0.0563	0.0499
202589_at	TYMS	-0.0553	0.049
204855_at	SERPINB5	-0.0546	0.0483
203726_s_at	LAMA3	-0.0529	0.0468
209863_s_at	TP73L	-0.0459	0.0407
205473_at	ATP6V1B1	-0.0441	0.0391
213674_x_at	IGHD	-0.0435	0.0385
205139_s_at	UST	-0.043	0.0381
212236_x_at	KRT17	-0.0428	0.0379
202267_at	LAMC2	-0.0412	0.0365
213992_at	COL4A6	-0.0412	0.0365
210367_s_at	PTGES	-0.0403	0.0357
204401_at	KCNN4	-0.0402	0.0356
205513_at	TCN1	-0.0389	0.0345
201111_at	CSE1L	-0.0378	0.0334
216470_x_at	PRSS1 /// PRSS2 /// PRSS3 /// TRY6	-0.0368	0.0326
205242_at	CXCL13	-0.0365	0.0323
204510_at	CDC7	-0.0364	0.0323
213803_at	KPNB1	-0.0358	0.0317
219250_s_at	FLRT3	-0.0351	0.0311
206300_s_at	PTHLH	-0.0326	0.0289
206325_at	SERPINA6	-0.0318	0.0282
209242_at	PEG3	-0.0299	0.0265
221690_s_at	NALP2	-0.0281	0.0249
209408_at	KIF2C	-0.028	0.0248
203764_at	DLG7	-0.0274	0.0242
205666_at	FMO1	-0.0251	0.0223
211548_s_at	HPGD	-0.025	0.0222
203925_at	GCLM	-0.0242	0.0214
204029_at	CELSR2	-0.0197	0.0174
204237_at	GULP1	-0.0179	0.0159
208103_s_at	ANP32E	-0.0165	0.0147
221505_at	ANP32E	-0.0156	0.0138
203936_s_at	MMP9	-0.0145	0.0128
213906_at	MYBL1	-0.0145	0.0128
212531_at	LCN2	-0.0137	0.0121
221558_s_at	LEF1	-0.0134	0.0119
200832_s_at	SCD	-0.012	0.0106
209278_s_at	TFPI2	-0.0116	0.0103
202870_s_at	CDC20	-0.0116	0.0103
207430_s_at	MSMB	-0.0116	0.0103
210297_s_at	MSMB	-0.0113	0.01
36499_at	CELSR2	-0.0111	0.0098
216323_x_at	H2-ALPHA	-0.008	0.0071
203213_at	CDC2	-0.0077	0.0068
209773_s_at	RRM2	-0.0072	0.0064
203344_s_at	RBBP8	-0.0071	0.0063
221911_at	ETV1	-0.007	0.0062
202975_s_at	RHOBTB3	-0.007	0.0062
202504_at	TRIM29	-0.0065	0.0058
202411_at	IFI27	-0.0057	0.0051
203256_at	CDH3	-0.0027	0.0024
201291_s_at	TOP2A	-0.0021	0.0019
208079_s_at	STK6	-0.0014	0.0012
215726_s_at	CYB5	0.0007	-0.0006
202551_s_at	CRIM1	0.0015	-0.0013
219440_at	RAI2	0.0023	-0.002
208936_x_at	LGALS8	0.0028	-0.0025
205979_at	SCGB2A1	0.0036	-0.0031
209230_s_at	P8	0.0037	-0.0033
205097_at	SLC26A2	0.0043	-0.0038
205141_at	ANG /// RNASE4	0.0047	-0.0042
205236_x_at	SOD3	0.0052	-0.0046
209966_x_at	ESRRG	0.0052	-0.0046
202023_at	EFNA1	0.0056	-0.005
213524_s_at	G0S2	0.0058	-0.0051
205258_at	INHBB	0.0061	-0.0054
214329_x_at	TNFSF10	0.0065	-0.0057
212327_at	KIAA1102	0.0097	-0.0086
204942_s_at	ALDH3B2	0.0103	-0.0091
204984_at	GPC4	0.0122	-0.0108
205278_at	GAD1	0.0123	-0.0109
213234_at	KIAA1467	0.0127	-0.0113
