Gene	Cellular process	siAGF1 versus siAGF6	siAGF1 versus siGFP	siAGF1 versus Mock
ATP2B4	Signal transduction	2.5	2.7	2.1
AZU1	Immune response	2.4	2.1	2.3
BPI	Immune response	19	20	18
BTG1	Transcription	2.0–2.2	2.0–2.1	2.5–2.7
C11orf21	Unknown	2.7	2.4	2.4
CAT	Metabolism	2.1	2.3	3
CD24	Immune response	2.2–8.2	2.4–6.6	2.4–12
CD34	Morphology, migration	0.37	0.31	0.3
CEACAM6	Signal transduction	2.9–10	3.6–8.8	4.7–11
CKB	Signal transduction	0.48	0.38	0.39
CST7	Immune response	9.3	7.5	6.5
CTSG	Immune response	9.4	9.1	3.1
CXCR4	Morphology, migration	2.5–4–5	2.7–3.7	3.2–4.6
DEPDC6	Signal transduction	0.39	0.33	0.39
DUSP6	Signal transduction	0.43	0.37	0.23
ELK3	Transcription	0.48	0.36	0.46
FNBP1	Morphology, migration	2.2	2	2.8
HSPA6	Metabolism	2.6	2.7	2.3
ICAM3	Morphology, migration	2.7	2.3	2.7
ID1	Transcription	0.38	0.32	0.45
IFI16	Transcription	0.49	0.4	0.48
IGFBP7	Signal transduction	4.6–5.1	4.2–5.0	2.8–3.6
LAPTM5	Signal transduction	3	3.5	5.7
LST1	Signal transduction	2.7	3.4	2.6
LYZ	Immune response	2	2	2.7
MEF2C	Transcription	0.35–0.39	0.28–0.38	0.34–0.36
MS4A3	Signal transduction	11	15	41
MYO1F	Morphology, migration	2	2.5	2.3
NFE2	Transcription	4.2	3.7	3.7
NKG7	Unknown	5.3	5.4	6.2
NUCB2	Unknown	2.3	2.1	2.2
PLAC8	Unknown	4.2	4	2.8
PRG1	Unknown	4.5–4.6	4.1–4.6	4.3–8.0
PRG2	Immune response	32	38	61
PSTPIP1	Signal transduction	2.2	2.2	2
PTGER4	Immune response	2.6	2.7	2.1
RANBP2	Transport	0.44	0.3	0.47
RASGRP2	Signal transduction	3.4	2.7–3.1	2.8–3.3
RNASE2	Metabolism	3.9	4.4	4.4
RNASE3	Metabolism	7.8	6.9	6.3
RUNX1T1	Transcription	0.49	0.42	0.46
S100A8	Immune response	4.2	4.7	4.5
SAMSN1	Unknown	2.1	2.7	2
SELPLG	Morphology, migration	2.4	3.1	2.5
SLA	Signal transduction	2.0–2.5	2.2–2.8	2.3
TRGC2	Immune response	2.2–2.9	3.0–3.9	2.6–3.7
