Gene function	Accession no.	Symbol	Expression
Growth factor and chemokine receptors/hormone receptors	BC008816	CCBP2	+
Growth factor and chemokine receptors/hormone receptors	AL833597	CSF2RA	-
Growth factor and chemokine receptors/hormone receptors	AB004066	BHLHB2	-
Growth factor and chemokine receptors/hormone receptors	AB017498	LRP5	+
Growth factor and chemokine receptors/hormone receptors	BC000125	TGFB1	-
Growth factor and chemokine receptors/hormone receptors	AB020410	SHH	+
Growth factor and chemokine receptors/hormone receptors	AF052181	EPIM	+
Growth factor and chemokine receptors/hormone receptors	BC001429	ANXA5	-
Growth factor and chemokine receptors/hormone receptors	AB014887	ORM1	+
Growth factor and chemokine receptors/hormone receptors		IGF I	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AB014605	AIP1	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF254253	PHKG1	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AK091875	PPP2CB	-
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AI800682	PTPN21	-
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	BC011645	RRAD	-
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF103905	EPAC	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF144713	GDI2	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	NM_000855	GUCY1A2	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AK026690	MADH3	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	BC009050	BTG1	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF085357	FLOT1	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	BC047502	PPP1R3D	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF220656	PHLDA1	-
