Gene name	GenBank accession no.	t test paired Clontech	t test paired Clontech regulation	t test paired Affymetrix
Cyclin-dependent kinase inhibitor 1(CDKN1A; WAF1; p21)	U09579	5.58E-07	Up-regulated	0.0243
Prostate differentiation factor	AF019770	0.00014	Up-regulated	0.0216
Desmoplakin (DPI, DPII)	M77830	0.00022	Up-regulated	0.0322
Growth arrest-specific 6 (GAS)	L13720	0.00063	Up-regulated	0.6152
BTG family, member 2	U72649	0.00154	Up-regulated	0.877
UDP-glucose pyrophosphorylase 2	U27460	0.00217	Up-regulated	No expression
Nth (Escherichia coli endonuclease III)-like 1	U79718	0.00514	Up-regulated	0.1426
Ribosomal protein L13a	X56932	0.00592	Up-regulated	0.0913
IMP (inosine monophosphate)dehydrogenase 2	L33842	0.00621	Up-regulated	0.1151
Interferon, gamma-inducible protein 30	J03909	0.00795	Up-regulated	0.088
Ligase I, DNA, ATP-dependent	M36067	0.01041	Up-regulated	0.77
Thymidylate synthetase	X02308	0.01228	Up-regulated	0.641
Basigin (OK blood group)	L20471	0.01287	Down-regulated	0.1
DNA repair protein XRCC9	U70310	0.01666	Up-regulated	No expression
Protein tyrosine phosphatase type IVA, member 1	U48296	0.0208	Up-regulated	0.217
Major histocompatibility complex, class II, DR ? 5	M20430	0.02697	Down-regulated	0.687
Solute carrier family 25 (adenine nucleotide translocator), member 5	J02683	0.03112	Down-regulated	0.675
v-jun avian sarcoma virus 17 oncogene homolog	J04111	0.03133	Up-regulated	No expression
Collagen, type VI, ? 1	X15879	0.04988	Up-regulated	0.5
