Probe Set ID	Gene symbol	Ratio of medians	95% Low	95% High
211237_s_at	FGFR4	21.1	11.4	38.8
204597_x_at	STC1	19.1	8.2	44.4
210881_s_at	IGF-II	18.3	7.9	42.7
202410_x_at	IGF-II	16	6.2	41.4
203213_at	CDC2	13.8	5.7	33.6
219918_s_at	ASPM	13.4	4.2	43.5
204285_s_at	PMAIP1	13.1	5.9	29.1
213562_s_at	SQLE	12.9	6.2	27.1
205345_at	BARD1	12.8	8.6	18.9
218755_at	KIF20A	12	5.6	25.7
204056_s_at	MVK	10.6	4.1	27.4
218009_s_at	PRC1	10.4	4.2	25.9
220091_at	SLC2A6	10.2	5.3	19.7
207414_s_at	PCSK6	10	3.7	26.9
218585_s_at	RAMP	9.6	3.7	24.6
203828_s_at	NK4	9.3	4.2	20.4
204641_at	NEK2	8.6	3.3	22.5
201292_at	TOP2A	8.6	3.2	23
201890_at	RRM2	8.6	3	24.8
201291_s_at	TOP2A	8.6	2.5	29.3
213126_at	MED8	8.2	3.8	18
203708_at	PDE4B	8	3	21.4
209218_at	SQLE	8	4.1	15.3
202779_s_at	UBE2S	7.9	2.3	27.5
213479_at	NPTX2	7.8	4.4	13.9
