Probe Set ID	Gene	Ratio	95% Conf. Interval min	95% Conf. Interval max
211237_s_at	FGFR4	21.06	11.44	38.75
204597_x_at	STC1	19.12	8.24	44.39
210881_s_at	IGF2	18.31	7.85	42.7
202410_x_at	IGF2	15.97	6.16	41.42
203213_at	CDC2	13.79	5.66	33.58
219918_s_at	ASPM	13.45	4.16	43.48
204285_s_at	PMAIP1	13.13	5.92	29.1
213562_s_at	SQLE	12.91	6.16	27.07
205345_at	BARD1	12.78	8.64	18.92
218755_at	KIF20A	12.03	5.64	25.66
204056_s_at	MVK	10.61	4.1	27.45
218009_s_at	PRC1	10.44	4.21	25.91
220091_at	SLC2A6	10.18	5.25	19.73
207414_s_at	PCSK6	10	3.72	26.94
218585_s_at	RAMP	9.56	3.71	24.6
203828_s_at	NK4	9.31	4.25	20.42
204641_at	NEK2	8.64	3.31	22.54
201292_at	TOP2A	8.63	3.24	22.96
201890_at	RRM2	8.61	2.98	24.83
201291_s_at	TOP2A	8.58	2.51	29.31
213126_at	MED8	8.23	3.77	17.98
203708_at	PDE4B	8	2.98	21.44
209218_at	SQLE	7.96	4.13	15.34
202779_s_at	UBE2S	7.95	2.29	27.54
213479_at	NPTX2	7.77	4.35	13.89
205572_at	ANGPT2	7.74	2.73	21.96
204695_at	CDC25A	7.74	3.99	15.01
210400_at	GRIN2C	7.67	4.12	14.29
203027_s_at	MVD	7.61	3.13	18.51
213793_s_at	HOMER1	7.48	2.64	21.21
211966_at	COL4A2	7.25	3.12	16.85
202580_x_at	FOXM1	7.19	2.16	24.01
202409_at	IGF2	7.18	3.12	16.5
216607_s_at	CYP51A1	7.12	3.65	13.87
210337_s_at	ACLY	7.04	2.89	17.15
209608_s_at	ACAT2	6.93	4.22	11.39
210052_s_at	TPX2	6.79	3.02	15.29
201195_s_at	SLC7A5	6.79	3.77	12.25
209642_at	BUB1	6.71	2.99	15.08
210377_at	SAH	6.66	2.92	15.17
218349_s_at	FLJ10036	6.38	3.3	12.36
213008_at	FLJ10719	6.25	2.86	13.66
208079_s_at	STK6	6.15	2.79	13.54
201761_at	MTHFD2	6.13	2.12	17.71
221750_at	HMGCS1	6.1	3.61	10.3
211522_s_at	GNRHR	6.01	1.64	22.11
202503_s_at	KIAA0101	5.94	3.67	9.63
209921_at	SLC7A11	5.74	2.37	13.91
