Symbol	Genbank	Ratio And	Est	Let	Ana	Tam	Description
ADCY1	AL120173	0.96	0.93	0.67	0.68	2.53	Adenylate cyclase 1
AIBP63	NM_007216	0.91	1	1.18	1.16	0.63	? Integrin binding protein 63
AR	AF162704	1.01	1.01	0.91	0.87	1.54	Androgen receptor
ARL4	NM_005738	1.03	1.1	0.56	0.73	1.1	ADP-ribosylation factor-like 4
BUB3	AF081496	1.07	1.09	1.55	1.49	1.07	BUB3 budding uninhibited by benzimidazoles 3 homologue (yeast)
C5orf13	NM_004772	0.96	0.92	0.69	0.63	0.94	Chromosome 5 open reading frame 13
CASP3	NM_004346	0.94	0.97	1.69	1.39	1.13	Caspase 3, apoptosis-related cysteine protease
CHST8	NM_022467	1.02	1.09	1.23	1.31	1.69	Carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8
CLIC3	NM_004669	1.05	1.03	1.15	1.32	1.98	Chloride intracellular channel 3
CROT	NM_021151	0.92	0.98	2.8	1.84	1.05	Carnitine O-octanoyltransferase
CYR61	AF003114	0.94	0.98	0.77	0.52	0.63	Cysteine-rich, angiogenic inducer, 61
DHRS2	NM_005794	1.08	1.07	2.62	2.71	0.98	Dehydrogenase/reductase (SDR family) member 2
DKK1	NM_012242	0.91	0.99	0.36	0.41	0.72	Dickkopf homologue 1 (Xenopus laevis)
DMPK	L08835	1	1.05	0.98	1.06	1.52	Dystrophia myotonica protein kinase
EPHA4	NM_004438	1.05	1.1	1.3	1.07	1.63	EPH receptor A4
FKSG17	AF315951	1.01	1.04	1	1.13	1.8	FKSG17
FN1	AF130095	1.03	1.09	2.03	1.05	0.66	Fibronectin 1
GCHFR	NM_005258	0.93	1.01	0.76	0.8	0.58	GTP cyclohydrolase I feedback regulatory protein
GNA12	NM_007353	0.95	0.94	1.79	1.54	1	Guanine nucleotide–binding protein (G protein) ? 12
GULP1	AK023668	0.96	1.07	1.67	1.96	1.11	GULP, engulfment adaptor PTB domain containing 1
GUSB	NM_000181	0.93	0.98	0.63	0.72	0.52	Glucuronidase ?
HRASLS3	BC001387	1	1.01	1.73	1.59	1.23	HRAS-like suppressor 3
ID1	D13889	1.01	1.1	0.47	0.38	0.71	Inhibitor of DNA binding 1, dominant-negative helix-loop-helix protein
JMJD2B	AW237172	1.06	1.06	1.51	1.44	1.3	Jumonji domain containing 2B
LAMA3	NM_000227	0.96	0.94	1.97	1.37	0.94	Laminin ?3
MAGED1	AI557319	1	0.93	1.1	0.94	1.84	Melanoma antigen, family D1
MICAL2	BE965029	1.04	1.01	1.86	1.47	1.01	Flavoprotein oxidoreductase MICAL2
MORF	NM_012330	1.07	0.99	1.68	1.46	0.98	Monocytic leukemia zinc finger protein–related factor
NEBL	AL157398	1.02	1.02	2.85	2.18	1.24	Nebulette
NRCAM	U55258	0.91	0.97	0.54	0.67	1.24	Neuronal cell adhesion molecule
NRP1	BE620457	1.05	1.03	1.37	1.45	1.54	Neuropilin 1
NUP160	AK026236	1.08	0.98	0.63	0.88	0.71	Nucleoporin, 160 kDa
PARG1	NM_004815	0.92	1.05	1.38	1.36	1.53	PTPL1-associated RhoGAP 1
PISD	NM_014338	0.92	1	1.64	1.31	0.89	Phosphatidylserine decarboxylase
PPP3CA	AL353950	0.98	1.08	2.27	1.89	1.19	Protein phosphatase 3 (formerly 2B), catalytic subunit, ? isoform (calcineurin A?)
PTGES	AF010316	1.02	1	3.35	3.74	1.91	Prostaglandin E synthase
RAP2C	NM_021183	0.99	1	0.87	1.07	1.54	RAP2C, member of RAS oncogene family
RBPMS	D84109	0.92	1.02	0.85	0.98	0.59	RNA-binding protein with multiple splicing
RPL18A	U52111	1.03	1.02	1.25	1.5	1.2	Ribosomal protein L18a
SCC-112	AW991219	0.91	1	0.66	0.88	0.71	SCC-112 protein
SFRS6	NM_006275	1.05	1.05	1.76	0.97	1.13	Splicing factor, arginine/serine-rich 6
TESK1	NM_006285	0.97	0.91	1.11	1.06	1.81	Testis-specific kinase 1
TIMP3	NM_000362	1.01	0.96	1.14	1.04	0.67	Tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)
TP53TG1	AB007457	1.08	1.1	2.11	1.91	1.11	TP53 target gene 1
TPD52	BE974098	0.99	1.09	2.22	1.97	1.26	Tumor protein D52
