Gene function	Gene symbol	Gene name
Cellular metabolism	ACOX1	Acyl-Coenzyme A oxidase 1, palmitoyl
Cellular metabolism	AGXT2	Alanine-glyoxylate aminotransferase 2
Cellular metabolism	DHRS6	3-Hydroxybutyrate dehydrogenase, type 2
Cellular metabolism	SUCLA2	Succinate-CoA ligase, ADP-forming, beta subunit
Chromatin organization/modification	ASF1B	ASF1 anti-silencing function 1 homolog B
Chromatin organization/modification	HIST2H2AB	Histone cluster 2, H2ab
Chromatin organization/modification	PB1	Polybromo 1
Cytoskeletal organization/motility	ACTN1	Actinin, alpha 1
Cytoskeletal organization/motility	MID1	MID1 interacting protein 1
Cytoskeletal organization/motility	NPHP1	Nephronophthisis 1
Ion transport	FXYD7	FXYD domain-containing ion transport regulator 7
Ion transport	SLC2A10	Solute carrier family 2
Ion transport	SLC6A20	Solute carrier family 6
Proliferation/differentiation	CDK4	Cyclin-dependent kinase 4
Proliferation/differentiation	FGF23	Fibroblast growth factor 23
Proliferation/differentiation	GLIPR1	GLI pathogenesis-related 1
Proliferation/differentiation	IGFBPL1	Insulin-like growth factor binding proteinlike 1
Proliferation/differentiation	MNAT1	Cyclin H assembly factor
Proliferation/differentiation	MORF4	Mortality factor 4
Proliferation/differentiation	ORAOV1	Oral cancer overexpressed 1
Proliferation/differentiation	PTPRG	Protein tyrosine phosphatase, receptor type, G
Proliferation/differentiation	SKP2	S-phase kinase-associated protein 2 (p45)
Proliferation/differentiation	ST5	Suppression of tumorigenicity 5
Proliferation/differentiation	TBDN100	NMDA receptor regulated 1
Protein synthesis	FRG1	FSHD region gene 1
Protein synthesis	FXR2	Fragile X mental retardation, autosomal Homolog 2
Protein synthesis	NOLC1	Nucleolar and coiled-body phosphoprotein 1
Protein synthesis	QTRTD1	Queuine tRNA-ribosyltransferase domain containing 1
Protein synthesis	SFRS14	Splicing factor, arginine/serine-rich 14
Signal transduction	CCL13	Chemokine (C-C motif) ligand 13
Signal transduction	KIAA0599	Pleckstrin homology domain containing
Signal transduction	TACR3	Tachykinin receptor 3
Signal transduction	TIRP	Toll-like receptor adaptor molecule 2
Transcriptional regulation	ANKRD23	Ankyrin repeat domain 23
Transcriptional regulation	ATF1	Activating transcription factor 1
Transcriptional regulation	EGR1	Early growth response 1
Transcriptional regulation	GSH1	GS homeobox 1
Transcriptional regulation	HSF2BP	Heat shock transcription factor 2 binding protein
Transcriptional regulation	PCDH7	Protocadherin 7
Transcriptional regulation	SOX8	SRY (sex determining region Y)-box 8
Transcriptional regulation	ZNF605	Zinc finger protein 605
Miscellaneous	EMILIN1	Elastin microfibril interfacer 1
Miscellaneous	EYA4	Eyes absent homolog 4
Miscellaneous	GPAA1	Glycosylphosphatidylinositol anchor attachment protein 1
Miscellaneous	HPSE	Heparanase
Miscellaneous	KRTAP1–3	Keratin associated protein 1–3
Miscellaneous	NSE2	Non-SMC element 2, MMS21 homolog
Miscellaneous	OR13C5	Olfactory receptor, family 13, subfamily C
Miscellaneous	TRAPPC6B	Trafficking protein particle complex 6B
Miscellaneous	USP9X	Ubiquitin specific peptidase 9
