Probe set	Gene symbol	Gene title	SLR	Change
205919 at	HBE1	Hemoglobin, epsilon 1	0.1	NC
213515 x at	HBG1	Hemoglobin, gamma A	2.1	I
	HBG2	Hemoglobin, gamma G
211699 x at	HBA1	Hemoglobin, alpha 1	-0.3	NC
	HBA2	Hemoglobin, alpha 2
209116 x at	HBB	Hemoglobin, beta	0	NC
206834 at	HBD	Hemoglobin, delta	0.3	NC
206647 at	HBZ	Hemoglobin, zeta	0	NC
211560 s at	ALAS2	Aminolevulinate, delta-, synthase 2 (sideroblastic/hypochromic anemia)	–	–
216680 s at	EPHB4	EPH receptor B4	-2.1	D
205838 at	GYPA	Glycophorin A (MNS blood group)	-0.5	NC
209359 x at	RUNX1	Runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	0.9	I
231049 at	LMO2	LIM domain only 2 (rhombotin-like 1)	1	I
228765 at	GTF2I	General transcription factor II, i	1.7	I
206184 at	CRKL	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	-0.9	D
203115 at	FECH	Ferrochelatase (protoporphyria)	0.2	NC
205051 s at	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	-0.2	NC
207029 at	KITLG	KIT ligand	3.4	NC
219657 s at	KLF3	Kruppel-like factor 3 (basic)	-1	D
205842 s at	JAK2	Janus kinase 2 (a protein tyrosine kinase)	-0.3	NC
206937 at	SPTA1	Spectrin, alpha, erythrocytic 1 (elliptocytosis 2)	-0.2	NC
224760 at	SP1	Sp1 transcription factor	-0.8	D
228959 at	PCYT1B	Phosphate cytidylyltransferase 1, choline, beta	1.9	NC
230240 at	DYRK3	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	2.2	NC
204131 s at	FOXO3A	Forkhead box O3A	2.9	NC
201666 at	TIMP1	TIMP metallopeptidase inhibitor 1	0	NC
209930 s at	NFE2	Nuclear factor (erythroid-derived 2), 45 kDa	–	–
201250 s at	SLC2A1	Solute carrier family 2 (facilitated glucose transporter), member 1	1.4	NC
201280 s at	DAB2	Disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	0.5	I
237403 at	GFI1B	Growth factor independent 1B (potential regulator of CDKN1A, translocated in CML)	0	NC
210358 x at	GATA2	GATA binding protein 2	–	–
223670 s at	HEMGN	Hemogen	–	–
210504 at	KLF1	Kruppel-like factor 1 (erythroid)	-0.8	D
201577 at	NME1	Non-metastatic cells 1, protein (NM23A) expressed in	-0.2	D
218487 at	ALAD	Aminolevulinate, delta-, dehydratase	–	–
225219 at	SMAD5	SMAD, mothers against DPP homolog 5 (Drosophila)	0.2	NC
1554482 a at	SAR1B	SAR1 gene homolog B (S. cerevisiae)	-0.2	D
237215 s at	TFRC	Transferrin receptor (p90, CD71)	-0.8	D
208405 s at	CD 164	CD 164 molecule, sialomucin	-0.7	D
217254 s at	EPO	Erythropoietin	-2.6	NC
215152 at	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	-0.1	NC
1561211 at	TAL1	T-cell acute lymphocytic leukemia 1	-3.8	NC
