Genbank ID	Gene Title	Gene Symbol	5 h FC ± SEM	8 d FC ± SEM	1.5 mos FC ± SEM	6 mos FC ± SEM	Gene sequence
AF316985	toll-like receptor 1	Tlr1	-1.8 ± 0.4	N.C.	-2.8 ± 0.4	N.C.	13
NM_126166	toll-like receptor 3	Tlr3	-2.1 ± 0.4	N.C.	N.C.	N.C.	3
AF185285	toll-like receptor 4	Tlr4	-2.2 ± 0.4	N.C.	N.C.	N.C.	12
BB148128	chemokine (C-C motif) receptor 2	Ccr2	-5.8 ± 0.4	N.C.	-3.0 ± 0.4	-1.5 ± 0.4	1
NM_010745	lymphocyte antigen 86	Ly86	-2.0 ± 0.4	N.C.	-2.0 ± 0.4	-1.8 ± 0.4	2
AV022238	Chemokine (C-X-C motif) ligand 15 (Cxcl15), mRNA	Cxcl15	N.C.	-1.9 ± 0.4	-1.6 ± 0.4	N.C.	7
AF206697	interleukin 1 family, member 6	Il1f6	N.C.	-2.0 ± 0.5	N.C.	N.C.	8
NM_010406	hemolytic complement	Hc	N.C.	-2.1 ± 0.4	N.C.	N.C.	9
NM_009141	chemokine (C-X-C motif) ligand 5	Cxcl5	N.C.	-7.2 ± 0.5	N.C.	N.C.	10
AF128218	chemokine (C-C motif) ligand 4	Ccl4	N.C.	-1.9 ± 0.4	N.C.	N.C.	11
NM_008349	interleukin 10 receptor, beta	Il10rb	-1.8 ± 0.3	N.C.	N.C.	N.C.	120
L20048	interleukin 2 receptor, gamma chain	Il2rg	-1.5 ± 0.4	N.C.	N.C.	N.C.	112
BC011437	interleukin 1 beta	Il1b	N.C.	-1.9 ± 0.4	N.C.	N.C.	25
AF128210	interleukin 12a	Il12a	N.C.	N.C.	-1.7 ± 0.4	N.C.	27
NM_013655	chemokine (C-X-C motif) ligand 12	Cxcl12	-1.8 ± 0.4	N.C.	N.C.	N.C.	43
AI844633	neutrophil cytosolic factor 1	Ncf1	-1.6 ± 0.4	N.C.	N.C.	N.C.	1
BC022126	RIKEN cDNA E130306I01 gene	E130306I01Rik	-1.6 ± 0.3	N.C.	N.C.	N.C.	14
BG084230	PYD and CARD domain containing	Pycard	-1.7 ± 0.4	N.C.	-1.7 ± 0.3	N.C.	15
NM_008357	interleukin 15	Il15	-2.2 ± 0.4	N.C.	N.C.	N.C.	139
