Probe Set ID	Gene Symbol	Gene Title	Nonsmoker, % Present	Smoker, % Present	Smoker/Nonsmoker	PValue
205786_s_at	CR3	Complement component receptor 3	100	100	1.31	0.231
210184_at	CR4	Complement component receptor 4	100	100	1.36	0.112
201743_at	CD14	CD14	100	100	21.86	0.003
208981_at	CD31	CD31	100	100	21.01	0.946
206488_s_at	CD36	CD36 (thrombospondin receptor)	100	100	1.24	0.363
1565868_at	CD44	CD44	100	100	1.73	0.142
202878_s_at	CD93	CD93	82	100	21.01	0.932
232797_at	ITGAV	Integrin, alpha V (vitronectin receptor)	100	100	21.08	0.724
200784_s_at	LRP	Low-density lipoprotein–related protein (alpha-2-macroglobulin receptor)	100	100	1.18	0.494
242397_at	OLR1	Oxidized low density lipoprotein receptor	100	100	21.46	0.081
206028_s_at	MERTK	c-Merprotooncogenetyrosinekinase	64	100	3.6	0.003
214770_at	MSR1	Macrophage scavenger receptor 1	100	100	21.04	0.768
212723_at	PTDSR	Phosphatidylserine receptor	100	100	1.05	0.594
205216_s_at	APOH	beta2-glycoprotein I	0	0	—	—
