RefSeq Transcript ID	Probe Set ID	Mean Ratio ± Dex	P Value	tStatistics	Gene Name
NM_002276	201650_at	5	0.000034	17.2	Keratin 19
NM_006162	210162_s_at	4.2	0.000016	20.8	Nuclear factor of activated T cells, cytoplasmic, calcineurin-dependent 1
NM_003068	213139_at	3.9	0.0021	5.9	Snail homolog 2 (DROSOPHILA)
NM_000104	202437_s_at	3.6	0.000052	15.4	Cytochrome P450, family 1, subfamily B, polypeptide 1
NM_020529	201502_s_at	3.3	0.00041	9.1	Nuclear factor of ? light polypeptide gene enhancer in B-cells inhibitor, ?
NM_002925	204319_s_at	3	0.00018	11.3	Regulator of G-protein signaling 10
NM_013230	208650_s_at	2.9	0.002	5.9	CD24 antigen (small cell lung carcinoma cluster 4 antigen)
NM_000610	212063_at	2.6	0.00081	7.6	CD44 antigen (homing function and Indian blood group system)
NM_005257	210002_at	2.4	0.0003	9.9	GATA-binding protein 6
NM_004056	220234_at	2.4	0.00017	11.4	Carbonic anhydrase VIII
NM_001218	203963_at	2.4	0.0001	13.2	Carbonic anhydrase XII
NM_002999	202071_at	2.3	0.000064	14.6	Syndecan 4 (amphiglycan, ryudocan)
NM_002428	203365_s_at	2.1	0.00088	7.4	MMP 15 (membrane inserted) regulator of G-protein signaling 2, 24 kDa
NM_002923	202388_at	2	0.0036	5.1
NM_181671	219155_at	2	0.0007	7.9	Phosphatidylinositol transfer protein, cytoplasmic 1
NM_004199	202733_at	1.8	0.002	6	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), ? polypeptide II
NM_002485	202907_s_at	1.7	0.00041	9.1	Nijmegen breakage syndrome 1 (nibrin)
NM_000161	204224_s_at	1.7	0.00004	16.5	GTP cyclohydrolase 1 (dopa-responsive dystonia)
NM_144586	212909_at	0.65	0.00069	?7.9	Hypothetical protein MGC29643
NM_003107	201417_at	0.56	0.0000059	?26.6	SRY (sex-determining region Y)-box 4
NM_001546	209291_at	0.56	0.0028	?5.4	Inhibitor of DNA binding 4, dominant-negative helix-loop-helix protein
NM_003970	205826_at	3.8	0.00027	10.1	Myomesin (M protein) 2, 165 kDa
NM_007021	209183_s_at	3	0.00013	12.1	Decidual protein induced by progesterone
NM_002428	203365_s_at	1.9	0.0000083	24.4	MMP 15 (membrane inserted)
NM_003979	203108_at	1.9	0.0003	9.8	Retinoic acid induced 3
NM_000783	206424_at	1.8	0.00053	8.5	Cytochrome P450, family 26, subfamily A, polypeptide 1
NM_000633	203685_at	1.7	0.00026	10.2	B-cell CLL/lymphoma 2
NM_006988	222162_s_at	0.6	0.000062	?14.7	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1
