Gene name	Shortcut	Acc.No.	BM-MSC-M1 Log2ratio±SD	BM-MSC-M1 Log2ratio±SD	AT-MSC-M1 Log2ratio±SD	AT-MSC-M1 Log2ratio±SD	BM-MSC-M2 Log2ratio±SD	BM-MSC-M2 Log2ratio±SD	CB-MSC-M3 Log2ratio±SD	CB-MSC-M3 Log2ratio±SD	Function
ankyrin repeat and SOCS box-containing	ASB5	ai349499	-2.85	0.67	-3.64	1.05	-2.49	1.39	-3.28	0.99	Signal transduction / Cell signaling
dickkopf homolog 1 (Xenopus laevis)	DKK1	n94525	-4.18	1.08	-3.04	0.62	-3.66	1.13	-2.3	1.62	Signal transduction / Cell signaling
inositol polyphosphate-4-phosphatase	INPP4B	r86720	-2.08	0.91	-2.35	0.7	-2.33	0.46	-2.58	1.16	Signal transduction / Cell signaling
protein tyrosine phosphatase, receptor B	PTPRB	h18633	-3.11	1.72	-3.12	0.67	-2.54	0.89	-2.26	1.26	Signal transduction / Cell signaling
interleukin 1, b	IL1B	w47101	-3.17	1.07	-3.79	0.42	-3.15	0.82	-4.06	0.51	Signal transduction / Cell signaling
secreted frizzled-related protein 1	SFRP1	aa150696	-3.45	0.86	-3.86	1.24	-4.56	1.14	-4.73	1.01	Signal transduction / Cell signaling
stathmin-like 2	STMN2	r19072	-2.58	1.27	-2.7	3.00	-4.18	1.14	-5.19	0.86	Signal transduction / Cell signaling
v-kit feline sarcoma viral oncogene	KIT	n26098	-3.18	1.63	-3.63	0.95	-2.78	0.75	-2.51	1.06	Signal transduction / Cell signaling
chemokine (C-C motif) receptor-like 1	CCRL1	aa400266	-3.18	1.04	-3.05	0.5	-3.27	0.72	-4.04	0.45	Signal transduction / Cell signaling
matrix metalloproteinase 1 (interstitial)	MMP1	w49496	-5.09	1.59	-2.51	1.52	-5.36	1.38	-5.34	1.3	Protein metabolism
matrix metalloproteinase 10	MMP10	ai085155	-2.29	0.62	-2.2	0.77	-2.69	0.61	-2.47	0.53	Protein metabolism
matrix metalloproteinase 3	MMP3	w47091	-6.15	0.97	-3.95	1.13	-6.98	0.77	-6.46	0.94	Protein metabolism
Plasminogen activator inhibitor-2	SERPINB2	aa780136	-3.71	1.23	-2.59	1.11	-4.32	1.1	-3.66	1.79	Protein metabolism
Plasminogen activator inhibitor-2	SERPINB2	h82067	-3.69	0.89	-2.55	0.88	-3.66	0.73	-3.31	1.04	Protein metabolism
Ubiquitin-specific protease 53	USP53	af085848	-2.85	0.97	-2.48	0.65	-2.35	0.79	-2.47	1.45	Protein metabolism
Ubiquitin-specific protease 53	USP53	ai567034	-2.84	0.31	-2.14	0.66	-2.89	0.77	-2.63	1.2	Protein metabolism
lysyl oxidase-like 4	LOXL4	ai028603	-3.71	0.66	-4.41	0.47	-2.32	0.46	-3.8	0.88	Protein metabolism
Pregnancy-specific b-1-glycoprotein 1	PSG1	r68101	-4.28	1.12	-3.59	0.69	-2.96	0.82	-2.54	1.37	Immune response
Pregnancy-specific b-1-glycoprotein 2	PSG2	h01004	-3.77	1.57	-3.83	0.64	-2.96	0.47	-2.75	1.57	Immune response
Pregnancy-specific b-1-glycoprotein 3	PSG3	h12630	-3.29	0.84	-3.46	0.64	-2.93	1.04	-2.28	1.59	Immune response
Pregnancy-specific b-1-glycoprotein 4	PSG4	r28356	-2.48	0.7	-2.2	0.84	-2.5	0.91	-2.48	1.04	Immune response
Pregnancy-specific b-1-glycoprotein 4	PSG4	r26442	-4.96	1.15	-4.68	0.77	-3.22	0.61	-3.08	1.58	Immune response
Pregnancy-specific b-1-glycoprotein 9	PSG9	t83938	-2.93	1.44	-3.17	0.47	-2.22	0.5	-2.14	1.22	Immune response
T-box 5	TBX5	ai143430	-2.63	1.19	-2.11	0.75	-2.59	0.94	-2.24	1.04	Transcription factor
transcription factor AP-2alpha	TFAP2A	r33626	-4.1	1.36	-3.46	2.17	-3.16	1.06	-2.09	1.28	Transcription factor
Aldehyde dehydrogenase 1A1	ALDH1A1	n75392	-5.36	1.28	-5.42	0.57	-5.38	1.11	-3.89	3.66	Metabolism
monooxygenase, DBH-like 1	MOXD1	aa424574	-2.22	0.65	-3.13	0.83	-3.07	0.6	-3.13	0.98	Metabolism
Adenomatosis polyposis coli down-reg	APCDD1	r10703	-2.67	1.29	-2.59	0.7	-2.42	0.48	-2.87	0.93	Other
chromosome 10 open reading frame 48	C10orf48	aa142923	-3.89	2.19	-4.52	1.24	-2.37	1.39	-4.03	1.37	Other
chromosome 8 open reading frame 4	C8orf4	h16793	-3.74	0.59	-4	0.42	-3.86	1.33	-3.25	2.25	Other
hypothetical protein FLJ11259	FLJ11259	w67782	-3.03	0.49	-4.08	0.29	-2.46	0.62	-2.34	1.19	Other
normal mucosa of esophagus specific 1	NMES1	aa620995	-2.1	1.94	-2.36	2.16	-2.43	0.3	-2.15	2.55	Other
RGM domain family, member B	RGMB	n29591	-2.01	2.47	-2.77	1.25	-2.23	0.87	-2.53	0.51	Other
