Gene title	Gene symbol	Affymetrix identifier	Model score (M)	Sensitivity (Z score)	RNAi validation score
Damage-specific DNA binding protein 2, 48 kDa	DDB2	203409_at	18.74	18.24	10.74
CD38 antigen (p45)	CD38	205692_s_at	36.69	14.77	9.02
Ferredoxin reductase	FDXR	207813_s_at	79.82	13.19	7.72
Hypothetical protein FLJ22457	FLJ22457	221081_s_at	60.45	11.01	6.33
Tripartite motif-containing 22	TRIM22	213293_s_at	41.36	10.99	6.07
Carnitine O-octanoyltransferase	CROT	204573_at	84.4	10.98	3.8
Glutaminase 2 (liver, mitochondrial)	GLS2	205531_s_at	42.83	10.28	2.52
Leucine-rich repeats and death domain containing	LRDD	219019_at	78.8	9.9	3.09
Hect domain and RLD 5	HERC5	219863_at	37.65	9.55	1.91
Cyclin G1	CCNG1	208796_s_at	17.04	9.37	5.18
BCL2-interacting killer	BIK	205780_at	19.43	9.35	6.57
Activating signal cointegrator 1 complex subunit 3	ASCC3	212815_at	60.34	9.26	5.93
Sestrin 1	SESN1	218346_s_at	8.37	9.25	3.9
p53 target zinc finger protein	WIG1	219628_at	41.33	9.19	3.7
Tumor necrosis factor receptor superfamily, member 10b	TNFRSF10B	209295_at	27.34	9.05	6.52
Chromosome 6 open reading frame 4	C6orf4	215411_s_at	86.45	8.81	6.64
Cyclin-dependent kinase inhibitor 1A(p21)	CDKN1A	202284_s_at	24.98	8.4	8.07
Etoposide induced 2.4 mRNA	EI24 / PIG8	216396_s_at	88.04	8.2	4.09
Mitogen-activated protein kinase kinase kinase kinase 4	MAP4K4	206571_s_at	62.88	7.54	1.88
Lymphoid-restricted membrane protein	LRMP	204674_at	26.92	7.36	3.4
Xeroderma pigmentosum, group C	XPC	209375_at	43.09	7.36	5.8
TNF (ligand) superfamily, member 4 (Ox40L)	TNFSF4	207426_s_at	34.73	7.15	5.26
Human cleavage/polyadenylation specificity factor	CPSF1	33132_at	77.75	7.09	-1.44
AMP-activated protein kinase, beta 1 subunit	PRKAB1	201834_at	25.72	7.01	6.3
Transducer of ERBB2, 1	TOB1	202704_at	92.69	6.79	5.78
p53-inducible cell-survival factor	P53CSV	218403_at	48.33	6.5	7.75
Sortilin-related receptor, L(DLR class)	SORL1	203509_at	15.66	6.34	1.7
Fas (TNF receptor superfamily, member 6)	FAS	216252_x_at	44.31	6.23	4.54
Ribonucleotide reductase M1 polypeptide	RRM1	201477_s_at	46.58	6.19	0.41
Archaemetzincins-2	AMZ2	218167_at	37.48	6.16	1.22
Galactose-3-O-sulfotransferase 4	GAL3ST4	219815_at	38.62	5.97	3.12
Growth arrest and DNA-damage-inducible, alpha	GADD45A	203725_at	84.23	5.89	11.05
Hypothetical protein FLJ11259	FLJ11259	218627_at	7.23	5.87	3.56
Major histocompatibility complex, class I, B	HLA-B	209140_x_at	89.77	5.79	0.63
Testis specific, 10	TSGA10	220623_s_at	20.85	5.67	0.47
Hypothetical protein MDS025	MDS025	218288_s_at	31.35	5.66	2.38
TP53 activated protein 1	TP53AP1	209917_s_at	22.22	5.65	4.05
Leukemia inhibitory factor	LIF	205266_at	14.86	5.62	3.42
Interferon stimulated exonuclease gene 20 kDa-like 1	ISG20L1	219361_s_at	48.55	5.56	5.43
Lymphoid-restricted membrane protein	LRMP	35974_at	42.06	5.56	3.69
Integral membrane protein 2B	ITM2B	217732_s_at	20.25	5.52	-0.19
Tumor necrosis factor receptor superfamily, member 10b	TNFRSF10B	210405_x_at	46.05	5.52	1.69
REV3-like, catalytic subunit DNA polymerase zeta	REV3L	208070_s_at	65.17	5.45	6.73
TP53 activated protein 1	TP53AP1	210886_x_at	30.15	5.42	2.88
Leucine-rich repeats and death domain containing	LRDD	221640_s_at	55.27	5.31	1.54
AMP-activated protein kinase, beta 1	PRKAB1	201835_s_at	25.45	5.27	5.92
Nonmetastatic cells 1 (NM23A)	NME1	201577_at	83.39	5.15	3.38
Tubulin, gamma 1	TUBG1	201714_at	41.74	5.09	0.02
Solute carrier family 7, member 6	SLC7A6	203579_s_at	18.59	4.98	2.56
RAD51 homolog	RAD51C	209849_s_at	21.02	4.92	1.11
