GenBank	Symbol	Functional category	Fold changea	Cell Cycle Phase
J04111	JUN	Regulation of cell cycle	3.68 ± 0.76	G1/S
U09579	CDKN1A (p21)	CDK inhibitor	2.06 ± 0.58	G1/S
U77949	CDC6	DNA replication	1.95 ± 0.48	G1/S
M74093	CCNE1	Cell cycle control	1.77 ± 0.31	G1/S
X89398	UNG	DNA repair	1.68 ± 0.30	G1/S
S49592	E2F1	G1 phase of mitotic cell cycle	1.60 ± 0.19	G1/S
X61123	BTG1	Negative regulation of cell proliferation	1.60 ± 0.28	G1/S
L13689	BMI1	Modifies chromatin	0.67 ± 0.09	G1/S
U67369	GFI1	G1/S-specific transcription in mitotic cell cycle	0.54 ± 0.06	G1/S
U22376	c-Myb	Cell cycle control	0.30 ± 0.10	G1/S
U66838	CCNA1	Regulation of CDK activity	0.60 ± 0.12	G2
Z36714	CCNF	Regulation of cell cycle	0.60 ± 0.11	G2
J04088			0.57 ± 0.14	G2
L47276	TOP2A b	Spindle assembly, chromsome condensation	0.42 ± 0.07	G2
X05360	CDC2	Start control point of mitotic cell cycle	0.57 ± 0.11	G2
U28386	KPNA2	Cytoskeleton organization and biogenesis	0.51 ± 0.05	G2
D14678	KIFC1	Spindle assembly, chromsome condensation	0.44 ± 0.10	G2
U14518	CENPA	Chromosome organization and biogenesis	0.38 ± 0.06	G2
U48807	DUSP4	Regulation of cell cycle	1.40 ± 0.35	G2/M
U63743	KIF2C	Microtubule motor activity	0.72 ± 0.10	G2/M
U83115	AIM1	Tumor supressor, cytoskeleton	0.71 ± 0.07	G2/M
M34458	LMNB1	Cytoskeletal anchoring	0.66 ± 0.16	G2/M
D63880	CNAP1	Mitotic surveilance	0.63 ± 0.05	G2/M
X65550	MKI67	Chromatin/chromosome structure	0.61 ± 0.09	G2/M
S78187	CDC25B	Cell cycle control	0.60 ± 0.05	G2/M
D38553	BRRN1	Chromatid separation	0.59 ± 0.08	G2/M
U73379	UBE2C	Protein degradation	0.54 ± 0.08	G2/M
U30872	CENPF	Mitosis	0.53 ± 0.07	G2/M
Z15005	CENPE	Mitotic chromosome movement	0.53 ± 0.10	G2/M
U29343	HMMR	Mitotic surveilance, cell motility	0.51 ± 0.11	G2/M
U05340	CDC20	Ubiquitin-dependent protein degradation	0.49 ± 0.07	G2/M
M86699	TTK	Spindle assembly/mitotic checkpoint	0.47 ± 0.05	G2/M
U01038	PLK	Mitosis	0.44 ± 0.04	G2/M
M25753	CCNB1	Mitotic checkpoint	0.43 ± 0.07	G2/M
D38751	KIF22	Mitosis	0.40 ± 0.18	G2/M
U04810	TROAP	Cell adhesion	0.24 ± 0.03	G2/M
