Gene	Regulation	GO categories	Gene type
 HIF1A	Up	Transcription factor, response to stress	S-specific genes
 DUSP10	Up	Response to stress, JNK cascade	S-specific genes
 STAT5A	Up	Transcription factor, immune response	S-specific genes
 MAP3K8	Up	Cell growth and/or maintenance	S-specific genes
 PDE4D	Up	CAMP-specific phosphodiesterase activity	S-specific genes
 G3BP	Up	Protein-nucleus import, RAS signal transduction	S-specific genes
 GDI2	Up	Non-selective vesicle transport, protein transport	S-specific genes
 IFNGR2	Up	Receptor, resistance to pathogenic bacteria	S-specific genes
 BCL2A1	Up	Anti-apoptosis	S-specific genes
 ZNF217	Up	Transcription factor	S-specific genes
 BAX	Down	Induction of apoptosis by extracellular signals	S-specific genes
 ADRM1	Down	Cell adhesion molecule activity	S-specific genes
 IL4	Down	Cell proliferation, cellular defence response	S-specific genes
 PTMS	Down	Cellular defence, regulation of cell cycle	S-specific genes
 IL1?	UP	Antimicrobial response, inflammatory response	T-specific genes
 TNFAIP6	UP	Cell adhesion, signalling, inflammatory response	T-specific genes
 PBEF	UP	Cytokine, signal transduction, cell signalling	T-specific genes
 CSF3	UP	Surface receptor, cell signalling, cellular defence	T-specific genes
 CDC42	Down	Cytoskeleton organization, Rho signalling	T-specific genes
 CEACAM6	Down	Cell–cell signalling, signal transduction	T-specific genes
 BCL2A1	Up	BCL2-related protein A1, anti-apoptosis	S and T overlapping genes
 STAT5A	Up	Immune response, signal tranducer, transription factor	S and T overlapping genes
 ZFP36L2	Down	Zinc finger protein 36, DNA binding	S and T overlapping genes
 EEF1A1	Down	Eukaryotic translation elongation factor 1 alpha 1	S and T overlapping genes
 FZR1	Down	Cell cycle, mitosis	S and T overlapping genes
 NFIX	Down	Nuclear factor I/X, transcription factor	S and T overlapping genes
 ST5	Down	Suppression of tumourigenicity 5	S and T overlapping genes
 WAS	Down	Actin cytoskeleton, defence response	S and T overlapping genes
 IL11	Up	Cell–cell signalling, B-cell differentiation	Y-specific genes
 FGG	Down	Cell proliferation, blood coagulation	Y-specific genes
 FGB	Down	Cell proliferation, blood coagulation	Y-specific genes
 ANXA13	Down	Cell differentiation	Y-specific genes
 FN2	Down	Cell adhesion, signal transduction, cell motility	Y-specific genes
 VTN	Down	Immune response, cell adhesion	Y-specific genes
 S100P	Down	Protein binding, calcium ion binding	Y-specific genes
 ERBB3	Down	Protein tyrosine kinase	Y-specific genes
 ANG5	Down	mRNA cleavage, antimicrobial protein	Y-specific genes
 ABCC5	Down	ABC transporter	Y-specific genes
 CEACAM5	Down	Tumour antigen, integral to plasma membrane	Y-specific genes
 MUC5AC	Down	Extracellular matrix	Y-specific genes
 GYPE	Down	Blood group antigen, integral plasma membrane	Y-specific genes
