Gene bank	Gene name	PC (fold change) compared to NP-P	PC (fold change) compared to CP-P
NM_002580.1	Pancreatitis-associated protein (HIP/PAP)a	130.6	9.9
NM_002343.1	Lactotransferrin (LTF)a	40.6	3.1
M80927.1	Human Cartilage glycoprotein-39 (HC-gp39)a	18.2	6.8
NM_006507.1	Regenerating islet-derived 1 beta (pancreatic stone protein, pancreatic thread protein) (REG1B)	17.3	7.1
NM_006508.1	Rat regenerating islet-derived-like, human homolog (REGL)	14.8	15.2
NM_018295.1	Homo sapiens hypothetical protein FLJ11000 (FLJ11000)	10.7	8.5
NM_018234.1	Homo sapiens hypothetical protein FLJ10829 (FLJ10829)	7.7	3.6
NM_021871.1	Fibrinogen, A alpha polypeptide (FGA), transcript variant alpha	7.3	8.5
NM_020997.1	Left–right determination, factor B (LEFTB)	6.7	4.2
NM_001085.2	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1antiproteinase, antitrypsin), member 3 (SERPINA3)	6.2	3.6
NM_000715.1	Complement component 4-binding protein, alpha (C4BPA)a	5.6	4.1
NM_001022.1	Ribosomal protein S19 (RPS19)	5	4.4
NM_001871.1	Carboxypeptidase B1 (tissue) (CPB1)	5	3.3
NM_003761.1	Vesicle-associated membrane protein 8 (endobrevin) (VAMP8)	4.6	6.6
BC006134.1	Homo sapiens, clone MGC:13053	4.3	11.3
NM_015849.1	Pancreatic elastase IIB (LOC51032)	3.8	6.7
NM_006994.2	Butyrophilin, subfamily 3, member A3 (BTN3A3)	3.6	4.3
NM_000096.1	Ceruloplasmin (ferroxidase) (CP)	3.5	3.3
NM_017422.2	Calmodulin-like skin protein (CLSP)	3.3	4.3
AB018580.1	hluPGFS (3-alpha hydroxysteroid dehydrogenase, type II)	3.3	3.6
