Gene	Description
ZNF703	Zinc finger protein 703
ERLIN2	ER lipid raft associated 2
PROSC	Proline synthetase cotranscribed homolog (bacterial)
BRF2	BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like
RAB11FIP1	Rab coupling protein = RCP
EIF4EBP1	Elongation factor 4 binding protein 1
ASH2L	Ash2 (absent, small, or homeotic)-like (Drosophila)
LSM1	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)
BAG4	BCL2-associated athanogene 4
DDHD2	DDHD domain containing 2
PPAPDC1B	Phosphatidic acid phosphatase type 2 domain containing 1B
WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1
LETM2	Leucine zipper-EF-hand containing transmembrane protein 2
FGFR1	Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)
TACC1	Transforming acidic coiled-coil
TM2D2	TM2 domain containing 2
C8orf4	Chromosome 8 open reading frame 4 = TC-1
AP3M2	Adaptor-related protein complex 3, ? 2 subunit
POLB	Polymerase (DNA directed), ?
VDAC3	Voltage-dependent anion channel 3
HOOK3	Hook homolog 3 (Drosophila)
