Accession no.	Symbol	Gene name	Fold change	Function	Expression
AV373378	Clca3	Gob-5	23.7	Mucin production	Up-regulated
AB016592	gob-4	GOB-4	9.2	Mucin production	Up-regulated
U78770	Tff2	Trefoil factor 2 (spasmolytic protein 1)	7.7	Mucin production	Up-regulated
AW123781	2810037c14rik	SVH protein	3.7	Cancer related	Up-regulated
AW209486	Psca	Prostate stem cell antigen	3.3	Cancer related	Up-regulated
U35836	Tage4	Tumor-associated glycoprotein E4	2.1	Cancer related	Up-regulated
D63362	Reg3g	Regenerating islet-derived 3 ?	6.5	Inflammation	Up-regulated
X03505	Saa3	Serum amyloid A3 protein	5.9	Inflammation	Up-regulated
AF109906	Hspa1b	Heat shock protein 1	3.7	Inflammation	Up-regulated
M12571	Hspa1a	Heat shock protein 1A	2.8	Inflammation	Up-regulated
M15131	IL-1	Interleukin 1-?	2.6	Inflammation	Up-regulated
AF044672	Snca	?-Synuclein	2.4	Inflammation	Up-regulated
M27008	Orm1	Orosomucoid 1	2	Inflammation	Up-regulated
X00697	Tcrg-v2	T-cell receptor ?-subunit	3.1	Immune system	Up-regulated
M82831	Mmp12	Matrix metalloproteinase 12	2.8	Immune system	Up-regulated
AB016496	Itlna	Intelectin b	2.7	Immune system	Up-regulated
X94422	Igh-6	IgA V-D-J-heavy chain	2.6	Immune system	Up-regulated
L33954	Igh-4	Ig heavy chain 4	2.6	Immune system	Up-regulated
AF036736	Igh-VJ558	Immunoglobulin heavy chain variable region precursor	2.6	Immune system	Up-regulated
AF076482	Pglyrp1	Peptidoglycan recognition protein 1	2.6	Immune system	Up-regulated
AV092014	Pglyrp	Peptidoglycan recognition protein	2.2	Immune system	Up-regulated
AF099977	Slfn4	Schlafen 4	2.1	Immune system	Up-regulated
M82831	MME	Macrophage metalloelastase	2.1	Immune system	Up-regulated
AA275196	2610201A12Rik	Soares mouse lymph node NbMLN	2.1	Immune system	Up-regulated
L31580	Ccr7	Chemokine (C-C motif) receptor 7	2	Immune system	Up-regulated
L12029	SDF-1	Stromal cell–derived factor-1?	2	Immune system	Up-regulated
AF061272	Mcl	Mouse macrophage-restricted C-type lectin	2	Immune system	Up-regulated
U05265	Gp49b	Gp49b gene	2	Immune system	Up-regulated
AI461631	1110025G12Rik	Soares_mammary_gland_NMLMG	2	Immune system	Up-regulated
AV220470	Tbx2	T-box gene (2)	2	Immune system	Up-regulated
L29480	Sak-b	Serine/threonine kinase Sak-b	2	Immune system	Up-regulated
X60452	Cyp3a11	Cytochrome P450, family 3, subfamily a, polypeptide 11	2.3	Sterol metabolism	Up-regulated
D26137	Cyp3a16	Cytochrome P450, family 3, subfamily a, polypeptide 16	2.9	Sterol metabolism	Up-regulated
Y11638	Cyp4a14	Cytochrome P450, family 4, subfamily a, polypeptide 14	3.2	Prostaglandin synthesis	Up-regulated
