Affymetrix probe ID	Gene Symbol	Gene Title	Fold change	Functional Category
209788_s_at	ARTS-1	Type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	3.1	Antigen processing and presentation
211911_x_at	HLA-B	Major histocompatibility complex, class I, B	1.5	Antigen processing and presentation
210982_s_at	HLA-DRA	Major histocompatibility complex, class II, DR alpha	2	Antigen processing and presentation
208894_at	HLA-DRA	Major histocompatibility complex, class II, DR alpha	1.8	Antigen processing and presentation
204670_x_at	HLA-DRB1	Major histocompatibility complex, class II, DR beta 1	1.6	Antigen processing and presentation
209312_x_at	HLA-DRB1	Major histocompatibility complex, class II, DR beta 1	1.7	Antigen processing and presentation
201925_s_at	CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	1.5	Defense response
211919_s_at	CXCR4	Chemokine (C-X-C motif) receptor 4	1.5	Defense response
214627_at	EPX	Eosinophil peroxidase	1.9	Defense response
211734_s_at	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	1.7	Defense response
209806_at	HIST1H2BK	Histone cluster 1, H2bk	2	Defense response
204549_at	IKBKE	Inhibitor of kappa light polypeptide gene enhancer in B cells, kinase epsilon	1.9	Defense response
204959_at	MNDA	Myeloid cell nuclear differentiation antigen	2.9	Defense response
203949_at	MPO	Myeloperoxidase	1.8	Defense response
205147_x_at	NCF4	Neutrophil cytosolic factor 4, 40kDa	1.9	Defense response
207677_s_at	NCF4	Neutrophil cytosolic factor 4, 40kDa	1.6	Defense response
211743_s_at	PRG2	Proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein)	2	Defense response
206111_at	RNASE2	Ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)	2.2	Defense response
207741_x_at	TPSAB1 / TPSB2	Tryptase alpha/beta 1 / tryptase beta 2	1.5	Defense response
216474_x_at	TPSAB1	Tryptase alpha/beta 1	2.7	Defense response
215382_x_at	TPSAB1	Tryptase alpha/beta 1	4.3	Defense response
205683_x_at	TPSAB1	Tryptase alpha/beta 1	3	Defense response
210084_x_at	TPSAB1	Tryptase alpha/beta 1	4.2	Defense response
207134_x_at	TPSB2	Tryptase beta 2	3.4	Defense response
218487_at	ALAD	Aminolevulinate, delta-, dehydratase	-1.7	Heme / globin synthesis
211560_s_at	ALAS2	Aminolevulinate, delta-, synthase 2 (sideroblastic/hypochromic anemia)	-12.5	Heme / globin synthesis
203771_s_at	BLVRA	Biliverdin reductase A	-1.6	Heme / globin synthesis
209458_x_at	HBA1	Hemoglobin, alpha 1	-3	Heme / globin synthesis
211699_x_at	HBA1	Hemoglobin, alpha 1	-3.1	Heme / globin synthesis
214414_x_at	HBA1	Hemoglobin, alpha 1	-2.3	Heme / globin synthesis
204018_x_at	HBA1	Hemoglobin, alpha 1	-2.9	Heme / globin synthesis
217414_x_at	HBA1 / HBA2	Hemoglobin, alpha 1 / alpha 2	-2.9	Heme / globin synthesis
211745_x_at	HBA2	Hemoglobin, alpha 2	-2.8	Heme / globin synthesis
209116_x_at	HBB	Hemoglobin, beta	-1.7	Heme / globin synthesis
217232_x_at	HBB	Hemoglobin, beta	-1.6	Heme / globin synthesis
204788_s_at	PPOX	Protoporphyrinogen oxidase	-1.6	Heme / globin synthesis
205268_s_at	ADD2	Adducin 2 (beta)	-2.7	Blood group antigens / erythroid factors
208353_x_at	ANK1	Ankyrin 1, erythrocytic	-1.7	Blood group antigens / erythroid factors
205390_s_at	ANK1	Ankyrin 1, erythrocytic	-1.9	Blood group antigens / erythroid factors
39248_at	AQP3	Aquaporin 3 (Gill blood group)	-2	Blood group antigens / erythroid factors
208677_s_at	BSG	Basigin (Ok blood group)	-1.5	Blood group antigens / erythroid factors
211812_s_at	B3GALNT1	Beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	-1.9	Blood group antigens / erythroid factors
208335_s_at	DARC	Duffy blood group, chemokine receptor	-4.1	Blood group antigens / erythroid factors
210746_s_at	EPB42	Erythrocyte membrane protein band 4.2	-2	Blood group antigens / erythroid factors
209963_s_at	EPOR	Erythropoietin receptor	-1.7	Blood group antigens / erythroid factors
205592_at	SLC4A1	Solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)	-18.8	Blood group antigens / erythroid factors
208416_s_at	SPTB	Spectrin, beta, erythrocytic (includes spherocytosis, clinical type I)	-2	Blood group antigens / erythroid factors
