Gene symbol	Fold change in leukemic LGLs compared with activated enriched CD8+ cells	Gene description
TNFAIP3	6.73	TNF-alpha–induced protein 3
GZMH	6.5	Granzyme H
BCL2A1	4.47	BCL2-related protein A1
LITAF	3.78	Lipopolysaccharide-induced TNF factor
TNFSF13	3.73	TNF superfamily, member 13
CTSB	3.46	Cathepsin B
FAIM3	3.43	Fas apoptotic inhibitory molecule 3
CASP8	3.41	Caspase-8
SERPINB9	3.36	Serpin peptidase inhibitor, clade B
GADD45B	3.36	Growth arrest and DNA-damage inducible, beta
RHOT2	2.71	Ras homolog gene family, member T2
RAF1	2.28	v-raf-1 leukemia viral oncogene homolog 1
NFKBIA	2.27	Nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha
MCL1	2.25	Myeloid cell leukemia sequence 1 (BCL2 related)
PDCD4	2.19	Programmed cell death 4
TP53BP2	2.19	Tumor protein p53 binding protein, 2
PRF1	2.16	Perforin 1
RELA	2.13	v-rel,p65
TP53	0.5	Tumor protein p53
TNFAIP8	0.47	TNF alpha-induced protein 8
CASP3	0.46	Caspase-3
STAT1	0.45	Signal transducer and activator of transcription 1
IL2RB	0.44	Interleukin 2 receptor, beta
LCK	0.41	Lymphocyte-specific protein tyrosine kinase
FAS	0.37	Fas (TNFSF6)
SIVA	0.33	CD27-binding (Siva) protein
BAG2	0.23	BCL2-associated athanogene 2
BAX	0.22	BCL2-associated X protein
BCL2	0.21	B-cell CLL
GZMA	0.17	Granzyme A
PRDX2	0.16	Peroxiredoxin 2
CASP6	0.15	Caspase-6
TNFSF10	0.15	TNF superfamily, member 10
TUBB	0.1	Tubulin, beta
