Gene symbol	Chromosomal location	Gene description	Cell line	Fold change
211781_x_at	NA	NA	U266	11.7
216731_s_at	NA	NA	U266	10.2
AASS	7q31.3	aminoadipate-semialdehyde synthase	U266, NCI-H929	22.0, 13.3
ABAT	16p13.2	4-aminobutyrate aminotransferase	U266	107.1
ACACA	17q21	acetyl-Coenzyme A carboxylase alpha	U266	5.9
ACSL3	2q34-q35	acyl-CoA synthetase long-chain family member 3	U266	5.6
ADAM15	1q21.3	a disintegrin and metalloproteinase domain 15 (metargidin)	NCI-H929	17.3
ADARB1	21q22.3	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	U266	65.6
ADCY9	16p13.3	adenylate cyclase 9	U266	22.5
AGRN	1p36.33	agrin	U266, NCI-H929	11.2, 19.6
AKAP12	6q24-q25	A kinase (PRKA) anchor protein (gravin) 12	MM1, U266, NCI-H929	7.7, 11.2, 9.1
AKR1C3	10p15-p14	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	U266	20.8
ALDH4A1	1p36	aldehyde dehydrogenase 4 family, member A1	U266	6
ALDOC	17cen-q12	aldolase C, fructose-bisphosphate	MM1, NCI-H929	5.7, 6.5
ANKRD6	6q14.2-q16.1	ankyrin repeat domain 6	U266	9.4
APG4B	2q37.3	APG4 autophagy 4 homolog B (S. cerevisiae)	NCI-H929	6.2
APLP1	19q13.1	amyloid beta (A4) precursor-like protein 1	MM1, NCI-H929	23.0, 19.3
APLP2	11q23-q25|11q24	amyloid beta (A4) precursor-like protein 2	MM1, NCI-H929	6.0, 4.7
ARG2	14q24.1-q24.3	arginase, type II	NCI-H929	108.8
ASMTL	Xp22.3; Yp11.3	acetylserotonin O-methyltransferase-like	U266	8
ATP13A2	1p36	ATPase type 13A2	MM1, NCI-H929	24.1, 14.8
ATP6V0D1	16q22	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d isoform 1	NCI-H929	6.2
AZI1	17q25.3	5-azacytidine induced 1	NCI-H929	9.6
B7	12p13	B7 gene	NCI-H929	7
BAIAP3	16p13.3	BAI1-associated protein 3	U266, NCI-H929	13.1, 24.9
BCL6	3q27	B-cell CLL/lymphoma 6 (zinc finger protein 51)	NCI-H929	34.6
BEXL1	Xq22.1-q22.3	brain expressed X-linked-like 1	U266	4.6
BG1	15q23-q24	lipidosin	U266	15.8
BIRC3	11q22	baculoviral IAP repeat-containing 3	MM1	6.3
BIRC5	17q25	baculoviral IAP repeat-containing 5 (survivin)	MM1	5.2
BLVRB	19q13.1-q13.2	biliverdin reductase B (flavin reductase (NADPH))	NCI-H929	5.4
