Unigene ID	Gene Symbol	G	E	Log2(G)	Log2(E)	Cytogenetic Location	Gene
Hs.76884	ID3	1.857	2.343	0.893	1.228	1p36.13-p36.12	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
Hs.84981	XRCC5	2.04	4.044	1.029	2.016	2q35	X-ray repair complementing defective repair in Chinese hamster cells 5
Hs.162	IGFBP2	2.563	4.544	1.358	2.184	2q33-34	insulin-like growth factor binding protein 2
Hs.82793	PSMB3	1.794	3.874	0.843	1.954	2q35	proteasome subunit, beta type, 3
Hs.174007	VHL	3.119	2.044	1641	1.031	3p26-p25	von Hippel-Lindau syndrome
Hs.55173	CELSR3	1.862	2.647	0.897	1.404	3p24.1-p21.2	cadherin, EGF LAG seven-pass G-type receptor 3
Hs.180145	HSPC030	1.777	2.947	0.829	1.559	3	HSPC030 protein
Hs.350266	ARGBP2	1.823	2.028	0.866	1.02	4q35.1	Arg/Abl-interacting protein ArgBP2
Hs.179565	MCM3	1.791	4.378	0.841	2.13	6p12	MCM3 minichromosome maintenance deficient 3
Hs.278589	GTF2I	1.886	2.379	0.915	1.251	7q11.23	general transcription factor II, i
Hs.167246	POR	2.007	2.609	1.005	1.384	7q11.2	P450 (cytochrome) oxidoreductase
Hs.61762	HIG2	1.885	3.152	0.915	1.656	7q32.2	hypoxia-inducible protein 2
Hs.274424	SAS	1.743	4.944	0.802	2.306	9p24.1-p23	N-acetylneuraminic acid phosphate synthase; sialic acid synthase
Hs.184793	DKFZP434F195	1.78	2.125	0.832	1.087	9	DKFZP434F195 protein
Hs.18910	POV1	1.78	3.702	0.832	1.888	11p11.2-p11.1	prostate cancer overexpressed gene 1
Hs.91877	THRSP	6.491	3.095	2.698	1.63	11q13.5	thyroid hormone responsive
Hs.180628	DNM1L	1.758	2.715	0.814	1.441	12p12.3	dynamin 1-like
Hs.76294	CD63	1.747	6.165	0.805	2.624	12q12-q13	CD63 antigen (melanoma 1 antigen)
Hs.247888	-	2.284	3.201	1.192	1.679	16
Hs.12303	SUPT6H	1.742	2.819	0.801	1.495	17q11.2	suppressor of Ty 6 homolog (S. cerevisiae)
Hs.296281	ILF1	1.754	3.146	0.811	1.653	17q25	interleukin enhancer binding factor 1
Hs.75716	SERPINB2	2.358	3.767	1.238	1.913	18q21.3	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2
Hs.8372	UQCR	2.046	2.916	1.033	1.544	19p13.3	ubiquinol-cytochrome c reductase subunit
Hs.661	NDUFB7	1.845	2.416	0.884	1.272	19p13.12-p13.11	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7
Hs.36992	-	4.848	3.213	2.277	1.684	19
Hs.250615	CYP2A7	1.778	3.718	0.83	1.895	19q13.2	cytochrome P450, subfamily IIA, polypeptide 7
Hs.356727	FKBP1A	1.918	4.022	0.94	2.008	20p13	FK506 binding protein 1A
Hs.305890	BCL2L1	6.941	11.508	2.795	3.525	20q11.21	BCL2-like 1,Bcl-X
Hs.273385	GNAS	1.764	2.059	0.819	1.042	20q13.2-q13.3	GNAS complex locus
Hs.284380	GGT1	1.784	2.762	0.835	1.466	22q11.23	gamma-glutamyltransferase 1
