Probe_ID	Gene Symbol	Gene ID	Gene Name	Regession Coeff	R-squared	Pearson Correlation	p-value
205297_s_at	CD79B	974	CD79b molecule, immunoglobulin-associated beta	-1.75	0.44	-0.66	0.0000
202848_s_at	GRK6	2870	G protein-coupled receptor kinase 6	-4.66	0.41	-0.64	0.0000
204562_at	IRF4	3662	interferon regulatory factor 4	-1.98	0.40	-0.63	0.0000
244623_at	KCNQ5	56479	potassium voltage-gated channel, KQT-like subfamily, member 5	-1.87	0.39	-0.63	0.0000
219441_s_at	LRRK1	79705	leucine-rich repeat kinase 1	-3.17	0.39	-0.62	0.0000
225610_at	UHRF2	115426	ubiquitin-like with PHD and ring finger domains 2	-3.62	0.38	-0.62	0.0000
242104_at	Not known	Not known	Not known	-2.14	0.38	-0.62	0.0000
231418_at	MS4A1	931	membrane-spanning 4-domains, subfamily A, member 1	-2.08	0.38	-0.62	0.0000
235522_at	CLEC2D	29121	C-type lectin domain family 2, member D	-2.74	0.38	-0.62	0.0000
214106_s_at	GMDS	2762	GDP-mannose 4,6-dehydratase	-3.73	0.38	-0.62	0.0000
239427_at	Not known	Not known	Not known	-4.12	0.38	-0.61	0.0000
226879_at	HVCN1	84329	hydrogen voltage-gated channel 1	-2.49	0.37	-0.61	0.0000
244172_at	Not known	Not known	Not known	-1.99	0.37	-0.61	0.0000
229054_at	C14orf181	400223	chromosome 14 open reading frame 181	-4.18	0.37	-0.61	0.0000
1553499_s_at	SERPINA9	327657	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9	-4.43	0.37	-0.60	0.0000
204950_at	CARD8	22900	caspase recruitment domain family, member 8	-3.15	0.36	-0.60	0.0000
205861_at	SPIB	6689	Spi-B transcription factor (Spi-1/PU.1 related)	-1.70	0.36	-0.60	0.0000
235982_at	FCRL1	115350	Fc receptor-like 1	-1.61	0.36	-0.60	0.0000
243154_at	Not known	Not known	Not known	-2.31	0.36	-0.60	0.0000
230378_at	SCGB3A1	92304	secretoglobin, family 3A, member 1	-3.23	0.36	-0.60	0.0000
208488_s_at	CR1	1378	complement component (3b/4b) receptor 1 (Knops blood group)	-3.62	0.36	-0.60	0.0000
205718_at	ITGB7	3695	integrin, beta 7	-3.28	0.36	-0.60	0.0000
227182_at	SUSD3	203328	sushi domain containing 3	-1.95	0.36	-0.60	0.0000
1563674_at	FCRL2	79368	Fc receptor-like 2	-1.67	0.36	-0.60	0.0000
220423_at	PLA2G2D	26279	phospholipase A2, group IID	-2.65	0.35	-0.59	0.0000
219155_at	PITPNC1	26207	phosphatidylinositol transfer protein, cytoplasmic 1	-2.01	0.35	-0.59	0.0000
243819_at	Not known	Not known	Not known	-1.85	0.35	-0.59	0.0000
1552280_at	TIMD4	91937	T-cell immunoglobulin and mucin domain containing 4	-1.58	0.34	-0.59	0.0000
224193_s_at	FCRL2	79368	Fc receptor-like 2	-3.39	0.34	-0.59	0.0000
205484_at	SIT1	27240	signaling threshold regulating transmembrane adaptor 1	-3.73	0.34	-0.58	0.0000
206255_at	BLK	640	B lymphoid tyrosine kinase	-2.04	0.34	-0.58	0.0000
230983_at	FAM129C	199786	family with sequence similarity 129, member C	-1.72	0.34	-0.58	0.0000
234089_at	Not known	Not known	Not known	-3.32	0.34	-0.58	0.0000
223903_at	TLR9	54106	toll-like receptor 9	-4.86	0.34	-0.58	0.0000
235920_at	Not known	Not known	Not known	-4.29	0.34	-0.58	0.0000
206759_at	FCER2	2208	Fc fragment of IgE, low affinity II, receptor for (CD23)	-2.88	0.33	-0.58	0.0000
211230_s_at	PIK3CD	5293	phosphoinositide-3-kinase, catalytic, delta polypeptide	-4.18	0.33	-0.58	0.0000
222145_at	Not known	Not known	Not known	-1.86	0.33	-0.57	0.0000
209995_s_at	TCL1A	8115	T-cell leukemia/lymphoma 1A	-1.32	0.33	-0.57	0.0000
38269_at	PRKD2	25865	protein kinase D2	-3.21	0.32	-0.57	0.0000
228426_at	CLEC2D	29121	C-type lectin domain family 2, member D	-2.57	0.32	-0.57	0.0000
221969_at	Not known	Not known	Not known	-1.05	0.32	-0.57	0.0000
238894_at	Not known	Not known	Not known	-3.64	0.32	-0.57	0.0000
