Gene	N	Ne	H	He
BIRC3	1	2.99	1.53	2.31
CLK1	1	2.77	2.28	4.03
GADD45A	1	4.32	1.47	3.54
IGF2	1	2.67	1.59	1.57
IGFBP4	1	4.35	1.77	2.39
MCL1	1	3.44	3.92	5.27
ALDOA	1	1	1.43	1.59
BAG1	1	2.07	1.37	2.16
BIRC2	1	2.42	1.51	2.36
BIRC4	1	1.25	1.69	1.43
BNIP3	1	1.19	3.97	4.25
ING	1	1.48	1.83	1.97
JUN	1	1.66	2.33	3.28
MAP2K1	1	1.38	2.16	2.05
TANK	1	1.77	1.34	1.6
BAX	1	2.45	0.88	1.44
IGFBP2	1	1.83	1.21	1.3
MDM2	1	4.75	1.44	2.47
TNFRSF6	1	5.7	0.69	5.11
CASP1	1	2.84	1	1.71
GAPD	1	1.13	1.43	1.68
K-ALPHA-1	1	1.03	0.78	0.73
RPS9	1	1.3	1.19	1.48
CDK7	1	1.6	1.6	1.52
NFKB1	1	1.27	1.4	1.25
BCL2A1	1	2.01	0.85	1.27
CDKN1C	1	1.45	1.06	0.9
CDKN2B	1	1.64	0.98	0.81
MAPK12	1	1.96	1.1	1.06
RBL2	1	1.88	1.03	0.99
RBP1	1	2.05	1.01	1.16
RIPK1	1	1.58	0.87	1
TP53	1	1.82	0.68	0.85
TP73	1	1.62	1.06	0.94
YWHAZ	1	2.62	0.82	0.81
BIRC5	1	1.07	0.68	0.66
CDC25C	1	2.17	0.6	0.59
CDK2	1	1.14	0.73	0.76
MAPK9	1	1.15	0.76	0.67
TFDP1	1	1.23	0.69	0.63
GSR	1	0.72	0.92	0.6
GSA	1	0.51	0.67	0.69
BID	1	1.5	0.83	1.06
BIK	1	2.09	0.63	0.92
CDK9	1	1.48	0.75	0.72
CLU	1	1.54	0.81	1.09
BclX	1	1.85	1.11	0.81
CASP2	1	1.12	0.83	0.81
CDK4	1	0.72	0.98	0.74
CDK5R1	1	1.43	0.87	0.75
CDK6	1	1.18	1.3	0.52
CSE1L	1	1.05	1.01	0.71
GRB2	1	1.31	0.83	0.72
IGF1R	1	1.26	1.1	0.66
LTB	1	1.38	0.97	0.82
PLK	1	1.14	0.81	0.46
TNFSF7	1	1.5	1	0.74
TRAF3	1	1.4	0.89	0.76
BAK 1	1	3.42	0.75	2.13
CDKN1A	1	3.02	0.52	1.64
GPX1	1	2.88	0.69	1.43
CDC2	1	3.22	0.74	0.83
PCNA	1	2.23	0.62	1.68
AKT2	1	1.55	1	0.78
E2F5	1	1.2	1.9	0.61
