Gene Name	Description	WT Expression Log Ratio	Percentile	CKO Expression Log Ratio	Percentile	Difference Log Ratio	Fold Change	p-value
Plk1	polo-like kinase 1	10.39	90.4	7.76	63.86	-2.64	-6.21	4.20E-04
Pdlim1	PDZ and LIM domain 1	12.47	98.33	10.87	93.01	-1.6	-3.03	1.30E-04
3110007F17Rik	hypothetical protein LOC73061	8.14	69.59	6.75	10.61	-1.39	-2.62	2.11E-09
Tmem68	transmembrane protein 68	10.05	88.05	8.66	75.74	-1.39	-2.62	1.00E-04
Kcnab1	potassium voltage-gated channel, shaker-related subfamily, beta member 1	9.65	84.96	8.27	71.17	-1.38	-2.61	2.26E-05
Uts2d	urotensin 2 domain containing	8.37	72.39	7.02	39.57	-1.36	-2.56	1.30E-04
Etv4	ets variant gene 4	8.29	71.46	6.94	33.11	-1.35	-2.55	7.92E-08
Plekhb1	pleckstrin homology domain containing, family B, member 1	9.04	79.67	7.79	64.49	-1.25	-2.38	2.23E-05
Hist1h3f	histone cluster 1, H3f	8.76	76.87	7.53	59.89	-1.23	-2.34	7.24E-03
Ntn5	netrin 5	9.25	81.5	8.04	68.13	-1.21	-2.32	9.21E-06
Plekha4	pleckstrin homology domain containing, family A member 4	9.29	81.83	8.11	69.13	-1.18	-2.27	4.34E-03
Egr2	early growth response 2	8.16	69.84	7.01	38.71	-1.16	-2.23	2.54E-08
Speer3	spermatogenesis associated glutamate (E)-rich protein 3	8.86	77.86	7.74	63.64	-1.12	-2.17	1.24E-02
Ctse	cathepsin E	7.99	67.39	6.88	27.23	-1.11	-2.15	2.70E-04
Lix1	limb expression 1 homolog	9.96	87.4	8.88	78.03	-1.09	-2.13	7.82E-06
Alox12	arachidonate 12-lipoxygenase	8.72	76.43	7.66	62.31	-1.05	-2.08	1.28E-06
Rmd3	regulator of microtubule dynamics protein 3	8.91	78.43	7.86	65.57	-1.05	-2.06	2.98E-03
Adat2	adenosine deaminase, tRNA-specific 2, TAD2 homolog	11.01	93.74	9.99	87.6	-1.02	-2.02	5.40E-03
Tpmt	thiopurine S-methyltransferase	9.28	81.76	8.28	71.33	-1	-2	2.66E-02
Megf10	multiple EGF-like-domains 10	9.68	85.17	8.68	76	-1	-2	6.31E-06
Cmtm5	CKLF-like MARVEL transmembrane domain containing 5	9.75	85.76	8.78	77.1	-0.96	-1.95	1.52E-02
Dlx1	distal-less homeobox 1	7.88	65.75	6.92	31.23	-0.96	-1.95	1.81E-02
Sncg	synuclein, gamma	12.24	97.93	11.28	94.92	-0.95	-1.94	5.50E-04
Ctsc	cathepsin C	8.87	77.93	7.92	66.51	-0.95	-1.93	3.43E-03
Idb4	inhibitor of DNA binding 4	9.21	81.15	8.28	71.27	-0.94	-1.92	1.22E-02
Hjurp	Holliday junction-recognizing protein	11.27	68.09	10.34	45.25	-0.93	-1.91	3.60E-08
11-Mar	membrane-associated ring finger (C3HC4) 11	8.03	94.86	7.11	89.98	-0.93	-1.9	8.25E-05
Gpr17	G protein-coupled receptor 17	8.52	74.15	7.6	61.12	-0.92	-1.9	3.33E-02
Npy	neuropeptide Y	9.12	80.38	8.23	70.74	-0.89	-1.85	2.80E-04
Egfl8	EGF-like domain 8	8.89	78.25	8.01	67.73	-0.89	-1.85	4.80E-07
Areg	amphiregulin	8.01	67.74	7.13	46.42	-0.89	-1.85	4.50E-04
Dusp6	dual specificity phosphatase 6	11.01	93.78	10.13	88.6	-0.88	-1.85	4.31E-06
1700123O20Rik	hypothetical protein LOC58248	9.41	82.9	8.54	74.46	-0.87	-1.83	1.44E-06
Kcnk5	potassium channel, subfamily K, member 5	9.04	79.67	8.2	70.29	-0.85	-1.8	1.90E-04
Psmb5	proteasome (prosome, macropain) subunit, beta type, 5	10.68	92.05	9.84	86.57	-0.84	-1.79	3.06E-07
B3galt6	UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6	9.19	80.95	8.36	72.27	-0.82	-1.77	6.36E-03
Pak1	p21/Cdc42/Rac1-activated kinase 1	8.71	76.34	7.89	65.95	-0.82	-1.77	4.56E-05
Metrn	meteorin	10.21	89.17	9.41	82.91	-0.8	-1.74	1.35E-03
Atp6v1d	ATPase, H+ transporting, lysosomal V1 subunit D	11.7	96.4	10.9	93.17	-0.8	-1.74	9.92E-07
Ccndbp1	cyclin D-type binding-protein 1	9.19	81.02	8.39	72.6	-0.8	-1.74	5.11E-03
Vgf	VGF nerve growth factor inducible	8.25	70.94	7.45	58.03	-0.8	-1.74	2.84E-05
Moxd1	DBH-like monooxygenase protein 1	10.25	89.45	9.46	83.38	-0.8	-1.74	3.34E-02
Sct	secretin	10.11	88.52	9.32	82.09	-0.79	-1.73	3.85E-03
Fgfr1op2	FGFR1 oncogene partner 2	10.27	89.56	9.48	83.53	-0.79	-1.73	2.49E-07
Hist1h2bf	histone 1, H2bf	9.75	85.8	8.97	78.98	-0.78	-1.72	1.50E-04
Tpm2	tropomyosin 2 (beta)	8.45	73.28	7.68	62.57	-0.78	-1.71	1.70E-04
p16	proliferating cell nuclear antigen (PCNA)-interacting protein	9.82	86.35	9.05	79.7	-0.77	-1.7	8.29E-03
5033414K04Rik	hypothetical protein LOC98496	8.98	79.02	8.22	70.54	-0.76	-1.69	2.95E-05
Hist1h2bh	histone 1, H2bh	9.19	80.94	8.43	73.06	-0.76	-1.69	2.70E-04
Scrg1	scrapie responsive protein 1	8	67.59	7.25	52.02	-0.75	-1.69	1.21E-03
Dlg7	discs, large homolog 7	8.28	71.35	7.53	59.85	-0.75	-1.68	2.50E-04
Fhdc1	FH2 domain containing 1	9.99	87.63	9.24	81.38	-0.75	-1.68	7.92E-06
Spata7	spermatogenesis associated 7	7.78	64.15	7.04	41.19	-0.74	-1.67	1.80E-04
Etv1	ets variant gene 1	7.97	67.1	7.23	51.53	-0.74	-1.67	1.27E-05
Traf4af1	Putative TRAF4-associated factor 1	9.14	80.57	8.4	72.73	-0.74	-1.67	4.32E-03
Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2	9.84	86.49	9.12	80.29	-0.73	-1.66	6.50E-04
Ttc27	tetratricopeptide repeat domain 27	10.2	89.09	9.47	83.48	-0.73	-1.65	2.06E-03
Mcm10	minichromosome maintenance complex component 10	9.75	85.76	9.02	79.41	-0.72	-1.65	1.19E-02
Vat1l	synaptic vesicle amine transport protein 1 homolog-like	9.73	85.69	9.01	79.3	-0.72	-1.65	6.54E-06
Ened	expressed in nerve and epithelium during development	9.36	82.39	8.64	75.53	-0.72	-1.64	1.90E-04
Hist1h2bc	histone cluster 1, H2bc	9.99	87.58	9.27	81.6	-0.72	-1.64	5.75E-05
Tmem106b	transmembrane protein 106B	8.67	75.86	7.95	66.95	-0.72	-1.64	3.21E-02
Cep110	Centrosomal protein of 110 kDa	10.59	91.54	9.88	86.77	-0.71	-1.64	6.44E-03
Dhh	desert hedgehog	8.22	70.52	7.51	59.52	-0.7	-1.63	1.15E-03
Hba-x	hemoglobin X, alpha-like embryonic chain in Hba complex	13.86	99.65	13.16	99.1	-0.7	-1.62	6.72E-03
Zcchc9	zinc finger, CCHC domain containing 9	8.29	71.43	7.59	61.01	-0.7	-1.62	5.16E-03
Rad51	DNA repair protein RAD51 homolog 1	8.47	73.43	7.77	64.17	-0.69	-1.62	4.11E-03
Hist1h4i	histone 1, H4i	8.82	77.42	8.12	69.3	-0.69	-1.62	3.52E-03
Slc45a3	solute carrier family 45, member 3	9.01	79.35	8.32	71.76	-0.69	-1.61	1.26E-05
Cdc2a	cell division cycle 2 homolog A	10.69	92.12	10.01	87.68	-0.69	-1.61	2.76E-03
Cdca3	cell division cycle associated 3	10.99	93.67	10.31	89.82	-0.68	-1.6	1.90E-02
Bmper	BMP-binding endothelial regulator	8.05	68.38	7.38	56.26	-0.67	-1.6	1.55E-03
4930427A07Rik	hypothetical protein LOC104732	7.92	66.31	7.25	51.93	-0.67	-1.6	3.20E-04
Spry3	sprouty homolog 3	9.24	81.34	8.56	74.71	-0.67	-1.59	1.04E-06
Hist1h2ag	histone cluster 1, H2ag	11.19	94.59	10.52	91.19	-0.67	-1.59	4.75E-02
Mak16	MAK16 homolog	9.9	86.88	9.23	81.26	-0.67	-1.59	1.64E-03
Hbb-b1	hemoglobin, beta adult major chain	11.29	94.94	10.62	91.7	-0.67	-1.59	1.60E-02
Ntrk2	neurotrophic tyrosine kinase, receptor, type 2	8.6	75.09	7.93	66.65	-0.67	-1.59	3.32E-03
