Probe set ID	p-value	Gene name	Description
209165_at	0,00825	AATF	apoptosis antagonizing transcription factor
230341_x_at	0,0243	ADAMTS10	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 10
215483_at	0,0309	AKAP9	A kinase (PRKA) anchor protein (yotiao) 9
225521_at	0,038	ANAPC7	anaphase promoting complex subunit 7
222608_s_at	0,0364	ANLN	anillin, actin binding protein (scraps homolog, Drosophila)
205423_at	0,015	AP1B1	adaptor-related protein complex 1, beta 1 subunit
202399_s_at	0,0161	AP3S2	adaptor-related protein complex 3, sigma 2 subunit
227965_at	0,0344	APC2	adenomatous polyposis coli like
205784_x_at	0,0452	ARVCF	armadillo repeat gene deletes in velocardiofacial syndrome
203427_at	0,03	ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)
212081_x_at	0,0335	BAT2	NA
226674_at	0,0141	C1orf40	chromosome 1 open reading frame 40
218037_at	0,00344	C2orf17	chromosome 2 open reading frame 17
216694_at	0,00548	C2orf22	Homo sapiens mRNA; cDNA DKFZp761A17121 (from clone DKFZp761A17121).
210025_s_at	0,0193	CARD10	caspase recruitment domain family, member 10
230155_x_at	0,0169	CASC3	cancer susceptibility candidate 3
200675_at	0,0211	CD81	CD81 antigen (target of antiproliferative antibody 1)
1553166_at	0,0202	CDH24	cadherin-like 24
200999_s_at	0,0473	CKAP4	cytoskeleton-associated protein 4
201605_x_at	0,0269	CNN2	calponin 2
227702_at	0,0177	CYP4X1	likely ortholog of rat cytochrome P450 4X1
225428_s_at	0,026	DDX54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54
241650_x_at	0,0232	DKFZp434P0216	Similar to cDNA sequence BC034076 (LOC389797), mRNA
208091_s_at	0,0423	DKFZP564K0822	hypothetical protein DKFZp564K0822
224745_x_at	0,0497	DKFZp761A052	hypothetical protein DKFZp761A052
210684_s_at	0,00221	DLG4	discs, large homolog 4 (Drosophila)
202500_at	0,00748	DNAJB2	DnaJ (Hsp40) homolog, subfamily B, member 2
209187_at	0,0237	DR1	down-regulator of transcription 1, TBP-binding (negative cofactor 2)
243303_at	0,0239	ECHDC1	enoyl Coenzyme A hydratase domain containing 1
208708_x_at	0,0496	EIF5	eukaryotic translation initiation factor 5
208290_s_at	0,0178	EIF5	eukaryotic translation initiation factor 5
1564164_at	0,0154	FAM31B	family with sequence similarity 31, member B
213669_at	0,0461	FCHO1	FCH domain only 1
219060_at	0,035	FLJ10204	hypothetical protein FLJ10204
229998_x_at	0,04	FLJ10647	hypothetical protein FLJ10647
219754_at	0,0372	FLJ11016	hypothetical protein FLJ11016
1557385_at	0,00379	FLJ13305	hypothetical protein FLJ13305
222684_s_at	0,0354	FLJ14075	hypothetical protein FLJ14075
234302_s_at	0,029	FLJ20308	hypothetical protein FLJ20308
202492_at	0,0148	FLJ22169	hypothetical protein FLJ22169
218473_s_at	0,0364	FLJ22329	hypothetical protein FLJ22329
1561130_at	0,0442	FLJ34154	hypothetical protein FLJ34154
228937_at	0,0486	FLJ38725	hypothetical protein FLJ38725
213260_at	0,0159	FOXC1	forkhead box C1
213187_x_at	0,0211	FTL	602567289F1 NIH_MGC_77 Homo sapiens cDNA clone IMAGE:4691639 5, mRNA sequence.
203706_s_at	0,00509	FZD7	frizzled homolog 7 (Drosophila)
209304_x_at	0,0416	GADD45B	growth arrest and DNA-damage-inducible, beta
201738_at	0,0496	GC20	translation factor sui1 homolog
225672_at	0,0407	GOLGA2	golgi autoantigen, golgin subfamily a, 2
209769_s_at	0,0435	GP1BB	peanut-like 1 (Drosophila)
221744_at	0,0497	HAN11	WD-repeat protein
224748_at	0,0393	HAN11	WD-repeat protein
223051_at	0,0493	HSPC182	HSPC182 protein
201162_at	0,0498	IGFBP7	insulin-like growth factor binding protein 7
200699_at	0,0126	KDELR2	601655751R1 NIH_MGC_65 Homo sapiens cDNA clone IMAGE:3846156 3, mRNA sequence.
203494_s_at	0,017	KIAA0092	Homo sapiens translokin (KIAA0092), mRNA.
221501_x_at	0,0473	KIAA0220	hypothetical protein LOC339047
212140_at	0,00906	KIAA0648	KIAA0648 protein
239662_x_at	0,0381	KIAA0779	hx82f09.x1 NCI_CGAP_Kid11 Homo sapiens cDNA clone IMAGE:3194345 3, mRNA sequence.
210582_s_at	0,0245	LIMK2	LIM domain kinase 2
235032_at	0,0284	LOC134218	hypothetical protein LOC134218
227292_at	0,0241	LOC144097	hypothetical protein BC007540
225100_at	0,0314	LOC200933	hypothetical protein LOC200933
235958_at	0,03	LOC255189	hypothetical protein LOC255189
226159_at	0,0475	LOC285636	hypothetical protein LOC285636
227300_at	0,00485	LOC338773	AL521682 Homo sapiens NEUROBLASTOMA COT 10-NORMALIZED Homo sapiens cDNA clone CS0DB003YH17 3-PRIME, mRNA sequence.
214870_x_at	0,037	LOC339047	NA
214035_x_at	0,0322	LOC339047	LOC399491 protein
236738_at	0,0487	LOC401097	Hypothetical gene supported by BC031660 (LOC401097), mRNA
208154_at	0,0114	LOC51336	mesenchymal stem cell protein DSCD28
222017_x_at	0,0383	LRCH4	leucine rich repeat neuronal 4
212282_at	0,0396	MAC30	hypothetical protein MAC30
212566_at	0,0325	MAP4	microtubule-associated protein 4
224621_at	0,0309	MAPK1	mitogen-activated protein kinase 1
200797_s_at	0,0364	MCL1	qw03a03.x1 NCI_CGAP_Ut3 Homo sapiens cDNA clone IMAGE:1989964 3, mRNA sequence.
1569484_s_at	0,0212	MDN1	DKFZp686H023_r1 686 (synonym: hlcc3) Homo sapiens cDNA clone DKFZp686H023 5, mRNA sequence.
223264_at	0,0345	MESDC1	mesoderm development candidate 1
