Cancer	Normal	UniSTS_NUM	GENE	Description	P-value
57	37	268049	HSPC031 (CSF2RA)	Hypothetical protein HSPC031	0.026556
5	0	306122	GPSN2	Glycoprotein, synaptic 2	0.031748
5	0	74497	NSEP1	Nuclease sensitive element binding protein 1	0.031748
59	40	164170	VRP (RPL31)	Vascular Rab-GAP/TBC-containing(ribosomal protein L31)	0.037452
15	6	107476	ATP5L	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g	0.040422
0	6	171495	RARB	Retinoic acid receptor, beta	0.007641
0	5	89497	LMNB1	Lamin B1	0.01533
2	9	379466	UBE2A	Ubiquitin-conjugating enzyme E2A (RAD6 homolog)	0.018782
1	7	76698	SERP1	Stress-associated endoplasmic reticulum protein 1	0.01909
3	10	42251	MGC10067	Hypothetical protein MGC10067	0.027921
0	4	278479	TSPYL	TSPY-like	0.030758
0	4				0.030758
0	4				0.030758
0	4	143641	LRP3	Low-density lipoprotein receptor-related protein 3	0.030758
0	4				0.030758
0	4				0.030758
0	4				0.030758
0	4				0.030758
0	4	79123	KIAA0084	KIAA0084 protein	0.030758
1	6	79058	SUPT4H1	Suppressor of Ty 4 homolog 1 (S. cerevisiae)	0.034469
