GO ID	Go Term	p-value	Probe Set ID	Gene Symbol	Fold Change	Gene Title
GO:0005635	nuclear membrane	0.0002	205359_at	AKAP6	0.63	A kinase (PRKA) anchor protein 6
GO:0005635	nuclear membrane	0.0002	219351_at	SEDL	1.35	spondyloepiphyseal dysplasia, late
GO:0005635	nuclear membrane	0.0002	218708_at	NXT1	1.36	NTF2-like export factor 1
GO:0005635	nuclear membrane	0.0002	210766_s_at	CSE1L	1.39	CSE1 chromosome segregation 1-like (yeast)
GO:0005635	nuclear membrane	0.0002	203432_at	TMPO	1.39	thymopoietin
GO:0005635	nuclear membrane	0.0002	221642_at	TREX1	1.6	three prime repair exonuclease 1
GO:0006888	ER to Golgi transport	0.001	219351_at	SEDL	1.35	spondyloepiphyseal dysplasia, late
GO:0006888	ER to Golgi transport	0.001	218763_at	STX18	1.35	syntaxin 18
GO:0006888	ER to Golgi transport	0.001	213206_at	GOSR2	1.46	golgi SNAP receptor complex member 2
GO:0012505	endomembrane system	0.0014	205359_at	AKAP6	0.63	A kinase (PRKA) anchor protein 6
GO:0012505	endomembrane system	0.0014	209326_at	SLC35A2	1.17	solute carrier family 35 (UDP-galactose transporter), member A2
GO:0012505	endomembrane system	0.0014	219351_at	SEDL	1.35	spondyloepiphyseal dysplasia, late
GO:0012505	endomembrane system	0.0014	218708_at	NXT1	1.36	NTF2-like export factor 1
GO:0012505	endomembrane system	0.0014	210766_s_at	CSE1L	1.39	CSE1 chromosome segregation 1-like (yeast)
GO:0012505	endomembrane system	0.0014	203432_at	TMPO	1.39	thymopoietin
GO:0012505	endomembrane system	0.0014	221642_at	TREX1	1.6	three prime repair exonuclease 1
GO:0003676	nucleic acid binding	0.0015	208965_s_at	IFI16	0.62	interferon, gamma-inducible protein 16
GO:0003676	nucleic acid binding	0.0015	48825_at	ING4	0.62	inhibitor of growth family, member 4
GO:0003676	nucleic acid binding	0.0015	209317_at	POLR1C	0.72	polymerase (RNA) I polypeptide C, 30kDa
GO:0003676	nucleic acid binding	0.0015	201228_s_at	ARIH2	0.74	ariadne homolog 2 (Drosophila)
GO:0003676	nucleic acid binding	0.0015	200856_x_at	NCOR1	0.8	nuclear receptor co-repressor 1
GO:0003676	nucleic acid binding	0.0015	209393_s_at	EIF4EL3	0.84	eukaryotic translation initiation factor 4E-like 3
GO:0003676	nucleic acid binding	0.0015	213477_x_at	EEF1A1	0.88	eukaryotic translation elongation factor 1 alpha 1
GO:0003676	nucleic acid binding	0.0015	200026_at	RPL34	0.93	ribosomal protein L34
GO:0003676	nucleic acid binding	0.0015	208398_s_at	TBPL1	1.15	TBP-like 1
GO:0003676	nucleic acid binding	0.0015	207347_at	ERCC6	1.19	excision repair cross-complementing rodent repair deficiency, complementation group 6
GO:0003676	nucleic acid binding	0.0015	202858_at	U2AF1	1.22	U2(RNU2) small nuclear RNA auxiliary factor 1
GO:0003676	nucleic acid binding	0.0015	212966_at	HIC2	1.27	hypermethylated in cancer 2
GO:0003676	nucleic acid binding	0.0015	202474_s_at	HCFC1	1.3	host cell factor C1 (VP16-accessory protein)
GO:0003676	nucleic acid binding	0.0015	204749_at	NAP1L3	1.32	nucleosome assembly protein 1-like 3
GO:0003676	nucleic acid binding	0.0015	214728_x_at	SMARCA4	1.32	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GO:0003676	nucleic acid binding	0.0015	213720_s_at	SMARCA4	1.33	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GO:0003676	nucleic acid binding	0.0015	202173_s_at	ZNF161	1.33	zinc finger protein 161
GO:0003676	nucleic acid binding	0.0015	209849_s_at	RAD51C	1.35	RAD51 homolog C (S. cerevisiae)
GO:0003676	nucleic acid binding	0.0015	209388_at	PAPOLA	1.36	poly(A) polymerase alpha
GO:0003676	nucleic acid binding	0.0015	212783_at	RBBP6	1.36	retinoblastoma binding protein 6
GO:0003676	nucleic acid binding	0.0015	202171_at	ZNF161	1.36	zinc finger protein 161
GO:0003676	nucleic acid binding	0.0015	218968_s_at	ZFP64	1.37	zinc finger protein 64 homolog (mouse)
GO:0003676	nucleic acid binding	0.0015	204977_at	DDX10	1.38	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10
GO:0003676	nucleic acid binding	0.0015	216241_s_at	TCEA1	1.38	transcription elongation factor A (SII), 1
GO:0003676	nucleic acid binding	0.0015	203432_at	TMPO	1.39	thymopoietin
GO:0003676	nucleic acid binding	0.0015	208673_s_at	SFRS3	1.4	splicing factor, arginine/serine-rich 3
GO:0003676	nucleic acid binding	0.0015	201025_at	EIF5B	1.46	eukaryotic translation initiation factor 5B
GO:0003676	nucleic acid binding	0.0015	218738_s_at	RNF138	1.48	ring finger protein 138
GO:0003676	nucleic acid binding	0.0015	201222_s_at	RAD23B	1.58	RAD23 homolog B (S. cerevisiae)
GO:0003676	nucleic acid binding	0.0015	221642_at	TREX1	1.6	three prime repair exonuclease 1
GO:0003676	nucleic acid binding	0.0015	209332_s_at	MAX	1.63	MAX protein
GO:0008026	ATP-dependent helicase activity	0.0058	207347_at	ERCC6	1.19	excision repair cross-complementing rodent repair deficiency, complementation group 6
GO:0008026	ATP-dependent helicase activity	0.0058	201459_at	RUVBL2	1.26	RuvB-like 2 (E. coli)
GO:0008026	ATP-dependent helicase activity	0.0058	214728_x_at	SMARCA4	1.32	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GO:0008026	ATP-dependent helicase activity	0.0058	213720_s_at	SMARCA4	1.33	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GO:0008026	ATP-dependent helicase activity	0.0058	204977_at	DDX10	1.38	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10
GO:0005622	intracellular	0.0068	209646_x_at	ALDH1B1	0.42	aldehyde dehydrogenase 1 family, member B1
GO:0005622	intracellular	0.0068	220386_s_at	EML4	0.56	echinoderm microtubule associated protein like 4
GO:0005622	intracellular	0.0068	208965_s_at	IFI16	0.62	interferon, gamma-inducible protein 16
GO:0005622	intracellular	0.0068	205359_at	AKAP6	0.63	A kinase (PRKA) anchor protein 6
