Genbank ID	Gene Title	Gene Symbol	5 h                               FC ± SEM	8 d                FC ± SEM	1.5 mos                              FC ± SEM	6 mos                                       FC ± SEM	Gene sequence
BB277520	Sprouty protein with EVH-1 domain 1, related sequence	Spred1	N.C.	-2.5 ± 0.4	N.C.	N.C.	1
BE196957	inositol 1,4,5-trisphosphate 3-kinase B	Itpkb	N.C.	N.C.	N.C.	-1.5 ± 0.4	2
NM_010071	docking protein 2	Dok2	N.C.	N.C.	-1.6 ± 0.4	N.C.	3
BC027331	pyrimidinergic receptor P2Y, G-protein coupled, 6	P2ry6	-2.0 ± 0.4	N.C.	-1.5 ± 0.4	N.C.	4
BB236617	membrane-spanning 4-domains, subfamily A, member 1	Ms4a1	-3.6 ± 0.4	N.C.	-4.4 ± 0.4	N.C.	5
D83648	chemokine (C-C motif) receptor 5	Ccr5	-3.6 ± 0.5	N.C.	-2.1 ± 0.4	N.C.	6
D87747	chemokine (C-X-C motif) receptor 4	Cxcr4	-2.7 ± 0.4	N.C.	-2.1 ± 0.4	-1.9 ± 0.4	7
NM_019391	lymphocyte specific 1	Lsp1	N.C.	N.C.	-1.5 ± 0.4	N.C.	8
BG069616	phosphodiesterase 2A, cGMP-stimulated	Pde2a	N.C.	N.C.	-1.5 ± 0.4	N.C.	9
AV376100	SAM domain and HD domain, 1	Samhd1	-1.7 ± 0.4	N.C.	N.C.	N.C.	10
AK015763	breast cancer anti-estrogen resistance 3	Bcar3	N.C.	-1.8 ± 0.4	N.C.	N.C.	11
BE984325	arrestin 3, retinal	Arr3	N.C.	-1.9 ± 0.4	N.C.	N.C.	12
BB312086	progestin and adipoQ receptor family member V	Paqr5	N.C.	-2.5 ± 0.4	N.C.	N.C.	13
AK005949	phospholipase C, zeta 1	Plcz1	N.C.	-4.0 ± 0.5	N.C.	N.C.	14
BB667837	ribosome binding protein 1	Rrbp1	N.C.	-1.7 ± 0.4	N.C.	N.C.	15
BE952603	Prostaglandin E receptor 3 (subtype EP3)	Ptger3	N.C.	-1.8 ± 0.4	N.C.	N.C.	16
BB337886	Membrane associated guanylate kinase, WW and PDZ domain containing 2	Magi2	N.C.	-2.5 ± 0.5	N.C.	N.C.	17
AV312603	G protein-coupled receptor 174	Gpr174	N.C.	-1.9 ± 0.4	N.C.	N.C.	18
BB532588	RAB GTPase activating protein 1	Rabgap1	N.C.	-2.3 ± 0.4	N.C.	N.C.	19
BB466174	zinc finger, A20 domain containing 3	Za20d3	N.C.	-10.0 ± 1.1	N.C.	N.C.	20
BB431008	5 hydroxytryptamine (serotonin) receptor 4	Htr4	N.C.	-3.3 ± 0.4	N.C.	N.C.	21
BB200358	LPS-responsive beige-like anchor	Lrba	N.C.	-4.3 ± 0.4	N.C.	N.C.	22
BB051025	Protein kinase, cGMP-dependent, type I	Prkg1	N.C.	-2.7 ± 0.4	N.C.	N.C.	23
BG066962	Kalirin, RhoGEF kinase	Kalrn	N.C.	-2.0 ± 0.4	N.C.	N.C.	24
BG072157	G protein-coupled receptor kinase 5	Gprk5	N.C.	-2.3 ± 0.4	N.C.	N.C.	25
BB044824	A kinase (PRKA) anchor protein 13	Akap13	N.C.	-1.7 ± 0.4	N.C.	N.C.	26
AU043193	frizzled homolog 3 (Drosophila)	Fzd3	N.C.	-1.7 ± 0.3	N.C.	N.C.	27
BB526932	G protein-coupled receptor 103	Gpr103	N.C.	-3.2 ± 0.5	N.C.	N.C.	28
BE690800	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	Stam	N.C.	-2.2 ± 0.6	N.C.	N.C.	29
BB533360	IQ motif containing GTPase activating protein 1	Iqgap1	N.C.	-2.0 ± 0.4	N.C.	N.C.	30
AW541072	G protein-coupled receptor 1	Gpr1	N.C.	-1.9 ± 0.4	N.C.	N.C.	31
AI644595	Unc-5 homolog C (C. elegans) (Unc5c), mRNA	Unc5c	N.C.	N.C.	-1.8 ± 0.4	N.C.	32
AV228493	interleukin-1 receptor-associated kinase 3	Irak3	-2.0 ± 0.4	N.C.	N.C.	N.C.	33
AV230778	guanine nucleotide binding protein, alpha 14	Gna14	-1.7 ± 0.4	N.C.	N.C.	N.C.	34
AV304616	sonic hedgehog	Shh	-2.3 ± 0.4	N.C.	N.C.	-1.8 ± 0.4	35
AV308954	HS1 binding protein	Hs1bp1	-1.6 ± 0.4	N.C.	N.C.	N.C.	36
AV348753	Protein phosphatase 1, regulatory (inhibitor) subunit 14c	Ppp1r14c	-1.5 ± 0.4	-1.7 ± 0.4	N.C.	N.C.	37
AW228687	chemokine-like receptor 1	Cmklr1	N.C.	N.C.	-1.6 ± 0.4	N.C.	38
AW541327	HS1 binding protein 3	Hs1bp3	-2.8 ± 0.4	N.C.	N.C.	N.C.	39
BB067079	wingless-related MMTV integration site 5A	Wnt5a	-1.6 ± 0.4	N.C.	N.C.	N.C.	40
BB141897	serine/threonine kinase 4	Stk4	-1.9 ± 0.4	N.C.	N.C.	N.C.	41
BB218965	Membrane-spanning 4-domains, subfamily A, member 6B, mRNA (cDNA clone MGC:35625 IMAGE:3984299)	Ms4a6b	N.C.	N.C.	-2.7 ± 0.4	N.C.	42
BB241535	suppressor of cytokine signaling 3	Socs3	N.C.	N.C.	-1.5 ± 0.4	N.C.	43
BB241847	PREDICTED: similar to putative purinergic receptor FKSG79 [Mus musculus], mRNA sequence	Gm376	N.C.	N.C.	-3.3 ± 0.5	N.C.	44
BB461269	G protein-coupled receptor kinase 6	Gprk6	N.C.	N.C.	-1.5 ± 0.4	N.C.	45
BB553369	Pyruvate dehydrogenase kinase, isoenzyme 1	Pdk1	-1.7 ± 0.4	N.C.	N.C.	N.C.	46
BB768194	Deleted in liver cancer 1	Dlc1	-1.8 ± 0.4	N.C.	N.C.	N.C.	47
BG075928	RIKEN cDNA 1700012F10 gene	1700012F10Rik	-2.2 ± 0.5	N.C.	N.C.	N.C.	48
BM203526	Protein phosphatase 2, regulatory subunit B (B56), epsilon isoform	Ppp2r5e	-1.5 ± 0.4	N.C.	N.C.	N.C.	49
BM242490	Epstein-Barr virus induced gene 2	Ebi2	N.C.	N.C.	-1.8 ± 0.4	N.C.	50
BM248471	intersectin 1 (SH3 domain protein 1A)	Itsn1	-1.9 ± 0.4	N.C.	N.C.	N.C.	51
BQ174397	Guanine nucleotide binding protein, beta 4	Gnb4	-2.9 ± 0.4	N.C.	N.C.	N.C.	52
BQ176520	activin receptor interacting protein 1	Acvrinp1	-1.7 ± 0.4	N.C.	N.C.	N.C.	53
M58149	CD3 antigen, gamma polypeptide	Cd3g	N.C.	N.C.	-1.7 ± 0.4	N.C.	54
NM_015811	regulator of G-protein signaling 1	Rgs1	N.C.	-2.1 ± 0.4	N.C.	N.C.	55
NM_032400	succinate receptor 1	Sucnr1	N.C.	-2.7 ± 0.5	N.C.	N.C.	56
NM_010170	coagulation factor II (thrombin) receptor-like 2	F2rl2	N.C.	-1.5 ± 0.4	N.C.	N.C.	57
NM_010323	gonadotropin releasing hormone receptor	Gnrhr	N.C.	-2.4 ± 0.4	N.C.	N.C.	58
NM_133235	KH domain containing, RNA binding, signal transduction associated 2	Khdrbs2	N.C.	-2.1 ± 0.4	N.C.	N.C.	59
NM_020291	olfactory receptor 480	Olfr480	N.C.	-2.2 ± 0.4	N.C.	N.C.	60
NM_020501	taste receptor, type 2, member 105	Tas2r105	N.C.	-2.6 ± 0.4	N.C.	N.C.	61
BC026975	G protein-coupled receptor 85	Gpr85	N.C.	-3.5 ± 0.4	N.C.	N.C.	62
