Unigene ID	Gene symbol	Gene name	Function	Expression
Hs.2375	EMR1	Epidermal growth factor–like module containing, mucin-like, hormone receptor–like sequence 1	Hormone receptor	Down-regulated genes
Hs.248201	NOG	Noggin	Inactivates members of transforming growth factor ? signaling proteins	Down-regulated genes
Hs.179657	PLAUR	Urokinase-type plasminogen activator receptor	Proteolysis-independent signal transduction activation	Down-regulated genes
Hs.511739	UBA2	SUMO-1 activating enzyme, subunit 2	Sumoylate conjugation of proteins involved in nucleocytoplasmic trafficking	Down-regulated genes
Hs.354056	POR	Cytochrome P450 oxidoreductase	Drug metabolism	Down-regulated genes
Hs.440394	MSH2	MutS homologue 2, nonpolyposis type 1	Postreplication DNA mismatch repair	Down-regulated genes
Hs.164140	MGMT	O-6-methylguanine-DNA methyltransferase	DNA repair of alkylated guanine	Down-regulated genes
Hs.32539	PAK7	p21(CDKN1A)-activated kinase 7	Cell cycle regulator and cell survival signaling	Down-regulated genes
Hs.16622	ZNF185	Zinc finger protein 185	Protein-protein interaction in regulation of cellular proliferation and differentiation	Down-regulated genes
Hs.511887	DEFA1	Defensin, ?1	Cytotoxic peptides in phagocyte-mediated host defense	Down-regulated genes
Hs.172589	PWP1	Nuclear phosphoprotein	Transcriptional regulation	Down-regulated genes
Hs.90858	CBFA2T1	Core-binding factor, ?2	Zinc finger transcription factor and oncoprotein	Down-regulated genes
Hs.78788	LZTR1	Leucine-zipper-like transcriptional regulator 1	Transcriptional regulator	Down-regulated genes
Hs.434102	HMGB1	High-mobility group box 1	Unwinds double-stranded DNA	Down-regulated genes
Hs.13495	REQ	Requiem, apoptosis response zinc finger gene	Transcription factor necessary for apoptotic response and regulation of cell turnover	Down-regulated genes
Hs.78765	ZNF32	Zinc finger protein 32	Transcriptional regulation	Down-regulated genes
Hs.356285	HMGN1	High-mobility group nucleosome binding domain 1	Maintenance of transcribed genes in unique chromatin conformation	Down-regulated genes
Hs.155591	FOXF1	Forkhead box F1	Transcription activator	Down-regulated genes
Hs.210343	LRP6	Low-density lipoprotein receptor–related protein 6	Co-receptor in Wnt signaling pathway	Down-regulated genes
Hs.256297	ITGA11	Integrin, ?11	Collagen receptor	Down-regulated genes
Hs.112049	SBF1	SET binding factor 1	Oncogenic transformation	Down-regulated genes
Hs.145599	MKLN1	Muskelin 1, intracellular mediator, kelch motifs	Cell spreading	Down-regulated genes
Hs.414241	PIGS	Phosphatidylinositol glycan, class S	Glycosylphosphatidylinositol-anchor biosynthesis	Down-regulated genes
Hs.376064	NOL5A	Nucleolar protein 5A	Ribosomal subunit biogenesis	Down-regulated genes
Hs.808	HNRPF	Heterogeneous nuclear ribonucleoprotein F	Pre-mRNA processing, metabolism and shuttle transportation between nucleus and cytoplasm	Down-regulated genes
Hs.10724	MRPS35	Mitochondrial ribosomal protein S35	Protein synthesis within mitochondrion	Down-regulated genes
Hs.92261	PDK2	Pyruvate dehydrogenase kinase, isoenzyme 2	Glucose metabolism	Down-regulated genes
Hs.125338	GRIN2A	Glutamate receptor, ionotropic, N-methyl D-aspartate 2A	Glutamate-gated ion channels with high Ca2+ permeability	Down-regulated genes
Hs.334045	SKD3	Suppressor of potassium transport defect 3	Ion transporter	Down-regulated genes
Hs.427202	TTR	Transthyretin	Thyroid hormone-binding protein	Down-regulated genes
Hs.7476	ATP6V0B	H+ transporting ATPase	Intracellular protein sorting, zymogen activation, and receptor-mediated endocytosis	Down-regulated genes
Hs.7189	PSCD4	Pleckstrin homology, Sec7 and coiled-coil domain 4	Protein sorting and membrane trafficking	Down-regulated genes
Hs.78466	PSMD8	Proteasome 26S subunit, non-ATPase 8	Activation of cdc28 kinase	Down-regulated genes
Hs.439660	RNF19	Ring finger protein 19	Ubiquitin ligase	Down-regulated genes
Hs.156324	PRKACB	Protein kinase, cyclic AMP-dependent, catalytic ?	Substrate phosphorylation in cytoplasm and nucleus	Down-regulated genes
Hs.181046	DUSP3	Dual-specificity phosphatase 3	Negative regulator of MAP kinase pathway	Down-regulated genes
Hs.89560	IDUA	?-L-Iduronidase	Lysosomal degradation	Down-regulated genes
Hs.355832	CDC42	Cell division cycle 42	Signaling pathways in migration, endocytosis, and cell cycle progression	Up-regulated genes
Hs.283522	PEN2	Presenilin enhancer 2	Notch pathway signaling	Up-regulated genes
Hs.458414	IFITM1	IFN-induced transmembrane protein 1	Transduction of antiproliferative and homotypic adhesion signals	Up-regulated genes
Hs.127799	BIRC3	Baculoviral inhibitor of apoptosis repeat–containing 3	Apoptotic suppressor	Up-regulated genes
Hs.20977	GDAP1L1	Ganglioside-induced differentiation-associated protein 1–like 1	Induce cellular differentiation	Up-regulated genes
Hs.135554	APG-1	Heat shock protein (hsp110 family)	Chaperone protein	Up-regulated genes
Hs.151706	DHX34	DEAH (Asp-Glu-Ala-His) box polypeptide 34	Transcriptional regulation of cell growth and division	Up-regulated genes
Hs.386404	UBE4B	Ubiquitination factor E4B	Catalyzes ubiquitin chain assembly and protein degradation	Up-regulated genes
Hs.68257	GTF2F1	General transcription factor IIF, polypeptide 1	Transcription initiation factor, promotes transcription elongation	Up-regulated genes
Hs.232021	REV3L	REV3-like, catalytic subunit of DNA polymerase ?	Translation replication	Up-regulated genes
Hs.200586	BAI2	Brain-specific angiogenesis inhibitor 2	Secretin receptor	Up-regulated genes
Hs.380089	EphB6	EPHB6	Tyrosine kinase receptor	Up-regulated genes
Hs.356900	SLC5A2	Solute carrier family 5, member 2	Substrate transport, sodium/glucose co-transporter	Up-regulated genes
Hs.498154	SNX1	Sorting nexin 1	Intracellular trafficking	Up-regulated genes
Hs.414099	TNRC5	Trinucleotide repeat containing 5	Organelle transport	Up-regulated genes
Hs.326445	AKT2	v-akt murine thymoma viral oncogene homologue 2	Oncogene encoding a serine/threonine kinase	Up-regulated genes
Hs.303154	IDS	Iduronate 2-sulfatase	Lysosomal degradation	Up-regulated genes
Hs.129700	TLL1	Tolloid-like 1	Zinc-dependent metalloprotease	Up-regulated genes
