ID	Symbol	Name	Ratio (Barretts/normal)	Ratio (tumor/normal)
201301_s_at	ANXA4	Annexin A4	2.28	3.13
201954_at	ARPC1B	Actin-related protein 2/3 complex, subunit 1B	3.2	5.42
214439_x_at	BIN1	Ridging integrator 1	2.23	3.26
202901_x_at	CTSS	Cathepsin S	3.08	5.26
210002_at	GATA6	GATA-binding protein 6	6.27	10.77
221875_x_at	HLA-F	MHC, class I, F	2.28	3.35
204806_x_at	HLA-F	MHC, class I, F	2.17	3.2
204779_s_at	HOXB7	Homeo box B7	3.56	5.82
216973_s_at	HOXB7	Homeo box B7	2.71	4.42
201422_at	IFI30	IFN-?-inducible protein 30	2.23	4.11
212110_at	KIAA0062	SLC39A14: solute carrier family 39 (zinc transporter), member 14	5.26	7.86
203943_at	KIF3B	Kinesin family member 3B	2.27	3.43
218376_s_at	NICAL	NEDD9 interacting protein with calponin homology and LIM domains	2.03	3.12
219622_at	RAB20	RAB20, member RAS oncogene family	2.9	4.66
201206_s_at	RRBP1	Ribosome binding protein 1	4.02	5.8
201204_s_at	RRBP1	Ribosome binding protein 1	2.46	3.34
213811_x_at	TCF3	Transcription factor 3	2.84	4.45
208998_at	UCP2	Uncoupling protein 2	3.52	6.57
