Accession no.	Unigene ID	Symbol	Description	Fold of change
R55809	Hs.284122	WIF1	WNT inhibitory factor 1	31.12
R53942	Hs.246506	SLC25A4	Solute carrier family 25, member 4	28.43
AA858175	Hs.535845	RUNX2	Runt-related transcription factor 2	25.8
AA156964	Hs.471200	NRP2	Neuropilin 2	19.22
AA425628	Hs.77578	USP9X	Ubiquitin specific protease 9, X-linked (fat facets-like, Drosophila)	17.23
H06516	Hs.212838	A2M	?-2-macroglobulin	16.64
T51538	Hs.368592	SORL1	Sortilin-related receptor, L(DLR class) A repeats-containing	14.85
AA677306	Hs.158560	TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250 kDa	13.32
AI016456	Hs.333497	CYP2D7P1	Cytochrome P450, family 2, subfamily D, polypeptide 7 pseudogene 1	13.28
AA442092	Hs.476018	CTNNB1	Catenin (cadherin-associated protein), ? 1, 88 kDa	13.15
AA055979	Hs.524484	ITGA7	Integrin, ? 7	13.06
AA490459	Hs.417948	TCN2	Transcobalamin II; macrocytic anemia	12.68
AA464532	Hs.164226	THBS1	Thrombospondin 1	12.53
AA705237	Hs.370480	ABCB7	ATP-binding cassette, subfamily B (MDR/TAP), member 7	12.2
AA676805	Hs.336994	MTSS1	Metastasis suppressor 1	11.36
AA404486	Hs.522767	SLC25A5	Solute carrier family 25, member 5	10.28
AA487231	Hs.148641	CTSH	Cathepsin H	10.14
H96738	Hs.116471	CDH11	Cadherin 11, type 2, OB-cadherin (osteoblast)	9.82
AA446600	Hs.136905	UREB1	HECT, UBA and WWE domain containing 1	9.7
AA227885	Hs.80395	MAL	Mal, T cell differentiation protein	8.97
N29914	Hs.82002	EDNRB	Endothelin receptor type B	8.93
AA810225	Hs.552573	GPR30	G protein–coupled receptor 30	8.39
AA452149	Hs.173135	DYRK2	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	8.34
AA443093	Hs.533683	FGFR2	Fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	8.29
AA682819	Hs.470171	ACVR2	Activin A receptor, type II	8.26
AA970865	Hs.21145	ODAG	GATA zinc finger domain containing 1	7.48
AA775616		SPP1	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein 1)	7.45
N69689	Hs.310645	RAB1A	RAB1A, member RAS oncogene family	7.4
R85213	Hs.22543	UBE3A	Ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)	7.28
AA706987	Hs.514806	GALNT1	UDP-N-acetyl-?-D-galactosamine: polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	7.28
R41839	Hs.154073	SLC35B1	Solute carrier family 35, member B1	7.27
N71628	Hs.437905	SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	7.26
AI129421	Hs.83077	IL18	Interleukin 18 (IFN-?-inducing factor)	7.25
AA101617	Hs.220971	FOSL2	FOS-like antigen 2	7.18
AA180742	Hs.75318	TUBA1	Tubulin, ? 1 (testis specific)	7.15
AA446108	Hs.76753	ENG	Endoglin (Osler-Rendu-Weber syndrome 1)	7.11
T60048	Hs.516105	ACTG2	Actin, ? 2, smooth muscle, enteric	7.06
AA454585	Hs.73965	SFRS2	Splicing factor, arginine/serine-rich 2	6.96
AA418813	Hs.309090	SFRS7	Splicing factor, arginine/serine-rich 7, 35 kDa	6.93
AA626845	Hs.380774	DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	6.82
T66839	Hs.325846	FLJ11806	Nuclear protein UKp68	6.78
T50498	Hs.433795	SHC1	SHC (Src homology 2 domain containing) transforming protein 1	6.73
AA496691	Hs.76111	DAG1	Dystroglycan 1 (dystrophin-associated glycoprotein 1)	6.72
AA598670	Hs.533273	UBE1	Ubiquitin-activating enzyme E1 (A1S9T and BN75 temperature sensitivity complementing)	6.63
AA281784	Hs.518451	PIK3CD	Phosphoinositide-3-kinase, catalytic, ? polypeptide	6.37
H20138	Hs.503222	RAB6A	RAB6A, member RAS oncogene family	6.35
AA912448	Hs.46523	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	6.33
N68166	Hs.185172	GNB2	Guanine nucleotide binding protein (G protein), ? polypeptide 2	6.22
AI392759	Hs.515840	DNMT3A	DNA (cytosine-5-)-methyltransferase-3?	6.21
AA281635	Hs.411311	IL24	Interleukin 24	6.16
