Function	Accession	Description	TE-2	TE-9	TE-13	KYSE170
Apoptosis	W45688	caspase 6, apoptosis-related cysteine protease (CASP6)	0.09	0.14	0.04	0.04
Carbohydrate metabolism	AA193116	glycerol-3-phosphate dehydrogenase 1 (soluble) (GPD1)	1.64	0.37	0.44	0.37
Cell adhesion	H97778	cadherin 1, type 1, E-cadherin (epithelial) (CDH1)	0.05	0.25	0.07	0.02
Cell adhesion	AA425217	cadherin 3, type 1, P-cadherin (placental) (CDH3)	0.05	0.22	0.03	0.02
Cell adhesion	N63057	protocadherin 9 (PCDH9)	0.43	0.07	0.69	0.36
Cell growth, cell–cell signalling	W56771	endometrial bleeding associated factor (left–right determination, factor A; transforming growth factor beta superfamily) (EBAF)	0.45	1	0.19	0.4
Epidermal differentiation	W23757	keratin 13 (KRT13)	0.37	0.3	3.32	0.19
Intracellular protein transport	R28020	RAB2, member RAS oncogene family (RAB2)	0.07	0.2	0.03	0.03
Intracellular signalling cascade	R91570	signal transducer and activator of transcription 4 (STAT4)	0.19	0.12	0.09	0.06
Ion transport	T52201	chloride intracellular channel 2 (CLIC2)	0.6	0.4	0.48	0.32
Metabolism	AA668821	chitinase 3-like 2 (CHI3L2)	0.42	0.45	0.61	0.15
Mitosis, regulation of CDK activity	AA608568	cyclin A2 (CCNA2)	0.36	0.42	0.44	2.9
Neurogenesis	AA425008	cerebellin 1 precursor (CBLN1)	1.09	0.37	0.2	0.21
Oncogenesis	W69960	Wolf–Hirschhorn syndrome candidate 1 (WHSC1)	0.12	0.1	0.05	0.1
Protein amino-acid phosphorylation	AA598841	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A) (NPR1)	0.46	0.34	0.74	0.41
Proteolysis and peptidolysis	H94487	cathepsin E (CTSE)	0.79	0.39	0.34	0.12
Regulation of cell cycle	H73724	cyclin-dependent kinase 6 (CDK6)	0.27	0.53	0.15	0.1
Regulation of transcription, DNA dependent	H82435	myeloid/lymphoid or mixed-lineage leukaemia 3 (MLL3)	0.29	0.46	0.39	0.56
Regulation of transcription, DNA dependent	AA480906	protein kinase C binding protein 1 (PRKCBP1)	0.4	0.23	1.1	0.48
Signal transduction	H93332	apolipoprotein B (including Ag(x) antigen) (APOB)	0.37	0.49	0.56	0.46
Skeketal development	W58032	frizzled-related protein (FRZB)	0.67	0.45	0.43	0.35
Steroid metabolism	N92404	sulphotransferase, oestrogen-preferring (STE)	1	0.28	0.18	0.3
Unclassified	AA454819	mitogen-activated protein kinase 3 (MAPK3)	0.21	0.29	0.07	0.11
Unclassified	AA450024	T-cell lymphoma invasion and metastasis 2 (TIAM2)	0.16	0.17	0.04	0.07
Unclassified	R89492	cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 9 (CYP2C9)	0.49	0.5	0.55	0.29
Unclassified	AA487505	immunoglobulin superfamily, member 4 (IGSF4)	0.39	0.28	0.55	0.44
Unclassified	AA490903	pleckstrin homology, Sec7 and coiled/coil domains, binding protein (PSCDBP)	0.43	0.4	0.83	0.49
Unclassified	AA417616	B-cell CLL/lymphoma 7A (BCL7A)	0.35	0.22	0.13	0.09
