Probe Set ID	Gene Title	Gene Symbol	RefSeq Transcript ID	FC@ 2h	FC@ 4h	FC @ 8h	FC @ 24h	FC @ 21 d
100617_at	---	---	---	0.93	1	0.97	1.01	0.72
100681_f_at	---	---	---	2.1	1.29	1.82	4.79	0.44
98965_at	---	---	---	0.89	0.83	0.82	0.82	0.63
99849_at	RIKEN cDNA 1200016E24 gene	1200016E24Rik	XM_489305	2.78	1.38	2.3	1.86	1.71
160145_at	RIKEN cDNA 1810010M01 gene	1810010M01Rik	NM_026918	2.12	1.41	1.45	4.77	0.14
96713_at	RIKEN cDNA 1810018P12 gene	1810018P12Rik	---	0.69	0.33	0.15	0.4	0.1
96122_at	RIKEN cDNA 2310016A09 gene	2310016A09Rik	NM_181588	0.91	0.77	0.85	0.71	1.38
160119_at	RIKEN cDNA 5730592L21 gene	5730592L21Rik	NM_029720	0.67	0.57	1.33	1.64	0.21
93484_at	RIKEN cDNA 9130427A09 gene	9130427A09Rik	NM_026240	0.8	0.87	0.7	0.93	0.66
101058_at	amylase 1, salivary	Amy1	NM_007446	1.61	1.53	1.56	2.27	0.53
97523_i_at	amylase 2, pancreatic	Amy2	NM_009669	1.71	1.69	1.64	1.82	0.09
97524_f_at	amylase 2, pancreatic	Amy2	NM_009669	1.58	1.4	1.5	1.71	0.19
98398_s_at	apolipoprotein B editing complex 1	Apobec1	NM_031159	1.21	1.04	1.12	0.67	0.66
99570_s_at	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	Atp2a2	NM_009722	1.07	0.83	0.8	0.78	0.61
100913_at	cDNA sequence BC026682	BC026682	NM_146149	0.71	0.58	0.39	0.98	0.33
98133_at	calbindin-28K	Calb1	NM_009788	0.97	1.04	1.16	1.26	2.09
94217_f_at	cell division cycle associated 3	Cdca3	NM_013538	0.77	1	1.04	5.06	1.65
99667_at	cytochrome c oxidase, subunit VI a, polypeptide 2	Cox6a2	NM_009943	0.72	0.6	0.64	0.6	0.62
160680_at	cytoplasmic polyadenylation element binding protein 1	Cpeb1	NM_007755	1.05	1.19	1.05	0.82	0.77
104045_at	DNA segment, Chr 10, Brigham & Womens Genetics 0791 expressed	D10Bwg0791e	NM_030203 /// NM_133745	0.65	0.66	0.7	0.6	1.11
160074_at	dopa decarboxylase	Ddc	NM_016672	0.81	0.75	0.62	1.36	1.7
100882_at	defensin beta 1	Defb1	NM_007843	0.69	0.48	0.4	0.72	0.43
94343_at	DnaJ (Hsp40) homolog, subfamily C, member 3	Dnajc3	NM_008929	0.97	0.73	1.18	1.37	0.6
93783_at	elastase 1, pancreatic	Ela1	NM_033612	1.68	1.35	1.28	2.44	0.16
94037_at	elastase 2	Ela2	NM_007919	1.78	1.61	1.5	2.02	0.3
103891_i_at	elongation factor RNA polymerase II 2	Ell2	XM_484289	1.35	0.99	1.31	1.42	2.17
160774_at	ectonucleoside triphosphate diphosphohydrolase 1	Entpd1	NM_009848	1.8	0.84	1.09	0.86	0.6
103248_at	FK506 binding protein 1b	Fkbp1b	NM_016863	0.79	0.66	0.63	0.79	0.32
95330_at	glucose-6-phosphatase, catalytic, 2	G6pc2	NM_021331	1.18	0.9	0.63	0.7	0.38
