Gene symbol	Gene title
LAMA4	Laminin, ? 4
ASF1A	ASF1 anti-silencing function 1 homologue A (S. cerevisiae)
PPP2R5C	Protein phosphatase 2, regulatory subunit B (B56), gamma isoform
ANG	Angiogenin, ribonuclease, RNase A family, 5
—	CDNA FLJ36638 fis
ROD1	ROD1 regulator of differentiation 1 (S. pombe)
FLJ10404	Hypothetical protein FLJ10404
—	EST
DKFZP434B0335	DKFZP434B0335 protein
MGC26717	Hypothetical protein MGC26717
UBE4B	Ubiquitination factor E4B (UFD2 homolog, yeast)
YY1	YY1 transcription factor
—	Clone IMAGE:4871993, mRNA
PPP2R5C	Protein phosphatase 2, regulatory subunit B (B56), gamma isoform
DR1	Down-regulator of transcription 1, TBP-binding (negative cofactor 2)
FLJ10359	Protein BAP28
—	EST
LYAR	Hypothetical protein FLJ20425
DKFZp434N2030	Hypothetical protein DKFZp434N2030
RARA	Retinoic acid receptor, ?
CELSR3	Cadherin, EGF LAG seven-pass G-type receptor 3
KPNA6	Karyopherin ? 6 (importin ? 7)
FLJ20516	Timeless-interacting protein
—	EST
HOXC6	Homeobox C6
LOC88523	CG016
EED	Embryonic ectoderm development
C14orf65	Chromosome 14 open reading frame 65
—	EST
NPDC1	Neural proliferation, differentiation and control, 1
C5orf14	Chromosome 5 open reading frame 14
RND1	Rho family GTPase 1
C10orf18	Chromosome 10 open reading frame 18
HOXD8	Homeobox D8
MTX3	Metaxin 3
C6orf66	Chromosome 6 open reading frame 66
TIMM22	Translocase of inner mitochondrial membrane 22 homologue (yeast)
FLJ39963	Hypothetical protein FLJ39963
