Gene Symbol	 Fold change	Functional Category
ADAM15	4.1	 Cell migration 
CCL2	-15.4	 Cell migration 
CCR8	2	 Cell migration 
CXCR4	-1.9	 Cell migration 
EDN1	-5.3	 Cell migration 
HPSE	3.5	 Cell migration 
ID1	2.6	 Cell migration 
ID3	-3.1	 Cell migration 
IGF2	4.1	 Cell migration 
IL8	-2.9	 Cell migration 
KDR	-2.6	 Cell migration 
NOS3	2.7	 Cell migration 
PTHLH	7.5	 Cell migration 
SEMA3F	6.6	 Cell migration 
SERPINE1	-7.4	 Cell migration 
THBS1	-7.8	 Cell migration 
BMP4	-2.7	 Angiogenesis, vascularization, and development of the artery 
CCL2	-15.4	 Angiogenesis, vascularization, and development of the artery 
CTGF	-2.8	 Angiogenesis, vascularization, and development of the artery 
ECM1	2.8	 Angiogenesis, vascularization, and development of the artery 
FGF5	-2.5	 Angiogenesis, vascularization, and development of the artery 
HPSE	3.5	 Angiogenesis, vascularization, and development of the artery 
ID1	2.6	 Angiogenesis, vascularization, and development of the artery 
ID3	-3.1	 Angiogenesis, vascularization, and development of the artery 
IL8	-2.9	 Angiogenesis, vascularization, and development of the artery 
ITGB5	3.2	 Angiogenesis, vascularization, and development of the artery 
KDR	-2.6	 Angiogenesis, vascularization, and development of the artery 
NOS3	2.7	 Angiogenesis, vascularization, and development of the artery 
PPAP2B	2.6	 Angiogenesis, vascularization, and development of the artery 
PTHLH	7.5	 Angiogenesis, vascularization, and development of the artery 
PTPRJ	3.3	 Angiogenesis, vascularization, and development of the artery 
SEMA3F	6.6	 Angiogenesis, vascularization, and development of the artery 
SERPINE1	-7.4	 Angiogenesis, vascularization, and development of the artery 
THBS1	-7.8	 Angiogenesis, vascularization, and development of the artery 
TIMP1	2.7	 Angiogenesis, vascularization, and development of the artery 
ACE	-3	 Vasomotor and blood pressure regulation 
ADM	-7.7	 Vasomotor and blood pressure regulation 
AGTRL1	3.4	 Vasomotor and blood pressure regulation 
APLN	-2.4	 Vasomotor and blood pressure regulation 
EDN1	-5.3	 Vasomotor and blood pressure regulation 
