Binreg coefficient	Probe ID	Gene symbol	Description
0.024109	206442_at	SEMG1	semenogelin I
0.021415	206286_s_at	TDGF1 /// TDGF3	teratocarcinoma-derived growth factor 1 /// teratocarcinoma-derived growth factor 3, pseudogene
0.019009	210905_x_at	LOC645682	similar to POU domain, class 5, transcription factor 1-like protein 3
0.018111	214791_at	LOC93349	hypothetical protein BC004921
0.016562	218319_at	PELI1	Pellino homolog 1 (Drosophila)
0.016494	204294_at	AMT	aminomethyltransferase
0.016203	213721_at	SOX2	SRY (sex determining region Y)-box 2
0.015723	203449_s_at	TERF1	telomeric repeat binding factor (NIMA-interacting) 1
0.015397	218338_at	PHC1 /// LOC653441	polyhomeotic-like 1 (Drosophila) /// similar to polyhomeotic 1-like
0.01539	206857_s_at	FKBP1B	FK506 binding protein 1B, 12.6 kDa
0.014909	206424_at	CYP26A1	cytochrome P450, family 26, subfamily A, polypeptide 1
0.012477	210074_at	CTSL2	cathepsin L2
0.011912	203286_at	RNF44	ring finger protein 44
0.011436	216623_x_at	TNRC9	trinucleotide repeat containing 9
0.011381	218261_at	AP1M2	adaptor-related protein complex 1, mu 2 subunit
0.01126	203638_s_at	FGFR2	fibroblast growth factor receptor 2
0.011255	211401_s_at	FGFR2	fibroblast growth factor receptor 2
0.011146	205309_at	SMPDL3B	sphingomyelin phosphodiesterase, acid-like 3B
0.011116	215145_s_at	CNTNAP2	contactin associated protein-like 2
0.010955	208939_at	SEPHS1	selenophosphate synthetase 1
0.010563	219121_s_at	RBM35A	RNA binding motif protein 35A
0.01049	214532_x_at	POU5F1 /// POU5F1P1 /// LOC645682	POU domain, class 5, transcription factor 1 /// POU domain, class 5, transcription factor 1 pseudogene 1 /// similar to POU domain, class 5, transcription factor 1-like protein 3
0.01039	202003_s_at	ACAA2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
0.010161	210758_at	PSIP1	PC4 and SFRS1 interacting protein 1
0.010148	204836_at	GLDC	glycine dehydrogenase (decarboxylating)
0.009764	209757_s_at	MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)
0.009751	201413_at	HSD17B4	hydroxysteroid (17-beta) dehydrogenase 4
0.009583	220668_s_at	DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta
0.009534	204084_s_at	CLN5	ceroid-lipofuscinosis, neuronal 5
0.009389	203129_s_at	KIF5C	kinesin family member 5C
0.009302	203453_at	SCNN1A	sodium channel, nonvoltage-gated 1 alpha
0.009156	214023_x_at	TUBB2B	tubulin, beta 2B
0.008652	204154_at	CDO1	cysteine dioxygenase, type I
0.008586	208899_x_at	ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D
0.008231	208358_s_at	UGT8	UDP glycosyltransferase 8 (UDP-galactose ceramide galactosyltransferase)
0.007668	205742_at	TNNI3	troponin I type 3 (cardiac)
0.007539	216266_s_at	ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)
0.00753	201839_s_at	TACSTD1	tumor-associated calcium signal transducer 1
0.007397	220184_at	NANOG	Nanog homeobox
0.007187	217988_at	CCNB1IP1	cyclin B1 interacting protein 1
0.007078	208286_x_at	POU5F1 /// POU5F1P1 /// LOC645682	POU domain, class 5, transcription factor 1 /// POU domain, class 5, transcription factor 1 pseudogene 1 /// similar to POU domain, class 5, transcription factor 1-like protein 3
0.006673	213467_at	RND2	Rho family GTPase 2
0.006624	209170_s_at	GPM6B	glycoprotein M6B
0.006492	219301_s_at	CNTNAP2	contactin associated protein-like 2
0.006485	205350_at	CRABP1	cellular retinoic acid binding protein 1
0.006301	214397_at	MBD2	methyl-CpG binding domain protein 2
0.006215	212750_at	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B
0.00616	203020_at	RABGAP1L	RAB GTPase activating protein 1-like
0.006132	203639_s_at	FGFR2	fibroblast growth factor receptor 2
0.006045	209169_at	GPM6B	glycoprotein M6B
0.005816	211778_s_at	OVOL2	ovo-like 2 (Drosophila)
0.005752	203917_at	CXADR	coxsackie virus and adenovirus receptor
0.005728	208755_x_at	H3F3A	H3 histone, family 3A
0.005267	204224_s_at	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)
0.005234	209864_at	FRAT2	frequently rearranged in advanced T-cell lymphomas 2
0.005035	220536_at	C14ORF115	chromosome 14 open reading frame 115
0.004861	211331_x_at	HFE	hemochromatosis
0.004628	209168_at	GPM6B	glycoprotein M6B
0.004597	218536_at	MRS2L	MRS2-like, magnesium homeostasis factor (S. cerevisiae)
0.004465	213947_s_at	NUP210	nucleoporin 210kDa
0.004419	201578_at	PODXL	podocalyxin-like
0.004318	204391_x_at	TRIM24	tripartite motif-containing 24
0.004191	219823_at	LIN28	lin-28 homolog (C. elegans)
0.004121	203298_s_at	JARID2	Jumonji, AT rich interactive domain 2
0.003943	203448_s_at	TERF1	telomeric repeat binding factor (NIMA-interacting) 1
0.003448	205938_at	PPM1E	protein phosphatase 1E (PP2C domain containing)
0.003338	210852_s_at	AASS	aminoadipate-semialdehyde synthase
0.003322	202683_s_at	RNMT	RNA (guanine-7-) methyltransferase
0.003282	213828_x_at	H3F3A /// LOC440926 /// LOC644914	H3 histone, family 3A
0.003209	208940_at	SEPHS1	selenophosphate synthetase 1
0.003136	204890_s_at	LCK	lymphocyte-specific protein tyrosine kinase
0.003009	202551_s_at	CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)
0.002993	204832_s_at	BMPR1A	bone morphogenetic protein receptor, type IA
0.002308	210265_x_at	POU5F1 /// POU5F1P1 /// LOC645682	POU domain, class 5, transcription factor 1 /// POU domain, class 5, transcription factor 1 pseudogene 1 /// similar to POU domain, class 5, transcription factor 1-like protein 3
0.002191	204807_at	TMEM5	transmembrane protein 5
