ENSEMBL_gene_id	Glomerulus cDNA clones ENSEMBL_gene_name	Clone_id	log2(glo/rest_kidney)	Pvalue	log2(glo/brain_capillary)	Pvalue2
ENSMUSG00000026449	Renin 1 precursor (EC 3.4.23.15) (Angiotensinogenase) (Kidney renin). [Source:Uni	gbctl04_plate17_F20	3.06	0.00307	5.79	0.00002
ENSMUSG00000026602	Podocin. [Source:Uniprot/SWISSPROT;Acc:Q91X05]	MTG_602471477	3.4	0.00272	5.08	0.00002
ENSMUSG00000016458	Wilms tumor protein homolog. [Source:Uniprot/SWISSPROT;Acc:P22561]	gbctl04_plate4_A12	2.08	0.01102	5.47	0.00002
ENSMUSG00000006649	Nephrin precursor (Renal glomerulus-specific cell adhesion receptor). [Source:Unipr	gbctl04_plate13_G16	2.97	0.00239	4.2	0.00019
ENSMUSG00000030223	protein tyrosine phosphatase, receptor type, O. [Source:RefSeq;Acc:NM_011216	MTG_602467963	2.43	0.00467	4.55	0.00001
ENSMUSG00000036390	Growth arrest and DNA-damage-inducible protein GADD45 alpha (DNA- damage in	MTG_602468308	2.48	0.00451	4.28	0.00002
ENSMUSG00000050010		MTG_602138918	2.03	0.0096	4.34	0.00016
ENSMUSG00000024921		MTG_602471205	2.41	0.00756	3.91	0.00016
ENSMUSG00000024065		MTG_602467884	2.9	0.00378	3.36	0.00018
ENSMUSG00000030717	Nuclear protein 1 (Protein p8). [Source:Uniprot/SWISSPROT;Acc:Q9WTK0]	gbctl04_plate9_C21	2.77	0.01335	3.44	0.00077
ENSMUSG00000037664	Cyclin-dependent kinase inhibitor 1C (Cyclin-dependent kinase inhibitor p57) (p57KI	gbctl04_plate3_K18	2.88	0.00264	3.31	0.00002
ENSMUSG00000030513	PACE4A (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q62030]	MTG_602475863	1.82	0.00436	4.23	0.00001
ENSMUSG00000059213	MKIAA0749 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q80TS7]	MTG_602467382	1.92	0.00467	4.12	0.00058
ENSMUSG00000021904		MTG_602468143	2.99	0.00239	2.83	0.00011
ENSMUSG00000046714	Forkhead box protein C2 (Forkhead-related protein FKHL14) (Mesenchyme fork hea	gbctl04_plate17_L12	2.66	0.00272	3.14	0.00055
ENSMUSG00000043079	Synaptopodin. [Source:Uniprot/SWISSPROT;Acc:Q8CC35]	MTG_602138940	2.91	0.00258	2.84	0.00067
ENSMUSG00000029061	matrix metalloproteinase 23; cysteine array matrix metalloproteinase. [Source:RefSe	gbctl04_plate17_D12	2.09	0.00272	3.55	0.00043
ENSMUSG00000026185	Insulin-like growth factor binding protein 5 precursor (IGFBP-5) (IBP- 5) (IGF-bindin	MTG_602468305	1.83	0.00239	3.78	0.00001
ENSMUSG00000035333	protease inhibitor 15; cysteine-rich secreted protein. [Source:RefSeq;Acc:NM_0531	MTG_602472831	1.68	0.00541	3.85	0.00002
ENSMUSG00000033502	Dual-specificity phosphatase homolog (Fragment). [Source:Uniprot/SPTREMBL;Acc	:MTG_602476009	1.89	0.01032	3.49	0.00005
ENSMUSG00000003411	Ras-related protein Rab-3B. [Source:Uniprot/SWISSPROT;Acc:Q9CZT8]	gbctl04_plate7_I24	2.25	0.00239	3.08	0.00031
ENSMUSG00000022580	Rhophilin 1 (GTP-Rho binding protein 1). [Source:Uniprot/SWISSPROT;Acc:Q6108	MTG_602470139	2.44	0.00272	2.86	0.00167
ENSMUSG00000025810	Neuropilin-1 precursor (A5 protein). [Source:Uniprot/SWISSPROT;Acc:P97333]	gbctl04_plate6_O15	2.54	0.00457	2.72	0.0003
ENSMUSG00000015093	Chloride intracellular channel protein 3. [Source:Uniprot/SWISSPROT;Acc:Q9D7P7	gbctl04_plate13_A02	2.71	0.00358	2.44	0.00784
ENSMUSG00000027996	secreted frizzled-related sequence protein 2; stromal cell derived factor 5; secreted f	rgbctl04_plate14_O17	1.49	0.01206	3.63	0.00029
ENSMUSG00000035929	H-2 class I histocompatibility antigen, Q10 alpha chain precursor. [Source:Uniprot/S	MTG_602139046	2.47	0.01132	2.64	0.00689
ENSMUSG00000027210	Homeobox protein Meis2 (Meis1-related protein 1). [Source:Uniprot/SWISSPROT;A	MTG_602139087	1.61	0.00302	3.49	0.00004
ENSMUSG00000026768	integrin alpha 8. [Source:RefSeq;Acc:NM_001001309]	MTG_602467867	1.95	0.01076	3.01	0.00564
ENSMUSG00000022206	Atrial natriuretic peptide clearance receptor precursor (ANP-C) (ANPRC) (NPR-C) (A	MTG_602310638	2.56	0.00307	2.29	0.00053
ENSMUSG00000064196		gbctl04_plate10_H24	2.22	0.00239	2.49	0.0182
ENSMUSG00000028031	Dickkopf related protein-2 precursor (Dkk-2) (Dickkopf-2) (mDkk-2). [Source:Uniprot	gbctl04_plate15_H23	2.64	0.00373	1.98	0.0423
ENSMUSG00000062515	Fatty acid-binding protein, adipocyte (AFABP) (Adipocyte lipid-binding protein) (ALB	MTG_602474869	1.47	0.01581	3.12	0.00092
ENSMUSG00000020552	D-glycosaminyl 3-O-sulfotransferase-3B. [Source:RefSeq;Acc:NM_018805]	gbctl04_plate16_J03	1.38	0.04309	3.19	0.0004
ENSMUSG00000023959	Chloride intracellular channel protein 5. [Source:Uniprot/SWISSPROT;Acc:Q8BXK9	MTG_602468931	1.76	0.00423	2.8	0.00129
ENSMUSG00000033060		MTG_602472430	1.31	0.0048	3.2	0.00045
ENSMUSG00000025608	Podocalyxin-like protein 1 precursor. [Source:Uniprot/SWISSPROT;Acc:Q9R0M4]	MTG_602468601	2.2	0.00265	2.26	0.00167
ENSMUSG00000057123	Gap junction alpha-5 protein (Connexin 40) (Cx40). [Source:Uniprot/SWISSPROT;A	MTG_602477362	2.35	0.01206	2.11	0.00217
ENSMUSG00000056492		MTG_602473220	2.51	0.00272	1.83	0.00167
ENSMUSG00000029641		MTG_602476673	1.67	0.00264	2.66	0.00029
ENSMUSG00000032679	CD59A glycoprotein precursor (Membrane attack complex inhibition factor) (MACIF)	MTG_602477476	1.72	0.00272	2.59	0.00048
ENSMUSG00000008384	SERTA domain-containing protein 1 (Transcriptional regulator interacting with the P	MTG_602472022	1.88	0.0468	2.42	0.00134
ENSMUSG00000054690	endomucin; mucin 14, endothelial. [Source:RefSeq;Acc:NM_016885]	gbctl04_plate14_M07	2.38	0.00339	1.85	0.00235
ENSMUSG00000018899	Interferon regulatory factor 1 (IRF-1). [Source:Uniprot/SWISSPROT;Acc:P15314]	MTG_602473423	1.04	0.01018	3.18	0.00234
ENSMUSG00000038831	Ral guanine nucleotide exchange factor RalGPS1A. [Source:RefSeq;Acc:NM_17521	gbctl04_plate3_I06	1.96	0.00264	2.16	0.00496
ENSMUSG00000039910	Cbp/p300-interacting transactivator 2 (MSG-related protein 1) (MRG1 protein). [Sou	gbctl04_plate15_M02	1.62	0.02959	2.46	0.00055
ENSMUSG00000004105	Angiopoietin-related protein 2 precursor (Angiopoietin-like 2). [Source:Uniprot/SWIS	MTG_602467989	1.7	0.00239	2.32	0.00033
ENSMUSG00000020431	Adenylyl cyclase type I (EC 4.6.1.1) (Fragment). [Source:Uniprot/SPTREMBL;Acc:O	8MTG_602477447	1.53	0.002723	2.45	0.00376
ENSMUSG00000029273	sulfotransferase family 1D, member 1; amine N-sulfotransferase; tyrosine-ester sulf	MTG_602469455	1.3	0.00418	2.66	0.00032
ENSMUSG00000027834	Neuroserpin precursor (Protease inhibitor 17). [Source:Uniprot/SWISSPROT;Acc:O	MTG_602467339	1.95	0.00453	1.98	0.00365
ENSMUSG00000018411	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical fila	MTG_602474179	1.8	0.00264	2.12	0.00129
ENSMUSG00000026305	leucine rich repeat (in FLII) interacting protein 1; FLAP (FLI LRR associated protein).	gbctl04_plate11_P06	1.18	0.04727	2.67	0.0192
ENSMUSG00000026817	Adenylate kinase isoenzyme 1 (EC 2.7.4.3) (ATP-AMP transphosphorylase) (AK1) (M	MTG_602470558	1.4	0.03148	2.41	0.00673
ENSMUSG00000031029	Eukaryotic translation initiation factor 3 subunit 5 (eIF-3 epsilon) (eIF3 p47 subunit) (e	MTG_602471221	1.86	0.00816	1.91	0.0466
ENSMUSG00000020458	Reticulon 4 (Neurite outgrowth inhibitor) (Nogo protein). [Source:Uniprot/SWISSPR	gbctl04_plate17_A09	1.5	0.01599	2.25	0.00034
ENSMUSG00000048376	Proteinase activated receptor 1 precursor (PAR-1) (Thrombin receptor). [Source:Uni	gbctl04_plate9_J02	2.17	0.00358	1.58	0.0366
ENSMUSG00000052516	Roundabout homolog 2 precursor. [Source:Uniprot/SWISSPROT;Acc:Q7TPD3]	MTG_602470037	1.9	0.00436	1.83	0.0152
ENSMUSG00000017446	C1q and tumor necrosis factor related protein 1; putative secreted protein ZSIG37. [	MTG_602469925	2.29	0.00379	1.42	0.0116
ENSMUSG00000024534	synuclein, alpha interacting protein (synphilin); synphilin-1. [Source:RefSeq;Acc:NM	MTG_602310659	1.25	0.02005	2.45	0.00029
ENSMUSG00000031217	Ephrin-B1 precursor (EPH-related receptor tyrosine kinase ligand 2) (LERK-2) (ELK	gbctl04_plate10_J04	1.5	0.01527	2.2	0.00163
ENSMUSG00000035566		MTG_602477729	2.01	0.00415	1.69	0.0112
ENSMUSG00000029887		MTG_602469530	1.28	0.01762	2.39	0.00433
ENSMUSG00000050640		MTG_602474489	1.26	0.00345	2.41	0.00451
ENSMUSG00000054435	immune associated nucleotide 1 isoform b. [Source:RefSeq;Acc:NM_175048]	MTG_602472679	2.08	0.00436	1.59	0.00704
