ProbeSet	GeneSymbol_2008-11-28	GeneDescription_2008-11-28	GeneBank	Mean_Expression	P_Logrank	Contribution_OPI
213356_x_at	HNRNPA1 /// HNRPA1L-2 /// HNRPA1P5 /// LOC100128836 /// LOC391670 /// LOC402112 /// LOC440125 /// LOC642817 /// LOC643033 /// LOC644037 /// LOC645001 /// LOC728170 /// LOC728732 /// LOC729366 /// LOC729423 /// LOC730246 /// RP11-78J21.1	###############################################################################################################################################################################################################################################################	AL568186	15157	0.0025	0.157231
211755_s_at	ATP5F1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1	BC005960	7425	0.019	0.111674
207573_x_at	ATP5L	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	NM_006476	6045	0.02	0.082747
200657_at	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	NM_001152	5650	0.0032	0.063709
207941_s_at	RBM39	RNA binding motif protein 39	NM_004902	2974	0.017	0.046795
202077_at	NDUFAB1	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa	NM_005003	3919	0.006	0.042166
218614_at	C12orf35	chromosome 12 open reading frame 35	NM_018169	1854	0.0056	0.041312
208852_s_at	CANX	calnexin	AI761759	2659	0.0036	0.040725
221452_s_at	TMEM14B	transmembrane protein 14B	NM_030969	2243	0.01	0.038708
211999_at	H3F3A /// H3F3B	H3 histone, family 3A /// H3 histone, family 3B (H3.3B)	Z48950	6547	0.013	0.035999
200641_s_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	U28964	4366	0.01	0.033331
211941_s_at	PEBP1	phosphatidylethanolamine binding protein 1	BE969671	4660	0.005	0.03148
217811_at	SELT	selenoprotein T	NM_016275	2112	0.0011	0.031175
212944_at	SLC5A3	solute carrier family 5 (sodium/myo-inositol cotransporter), member 3	AK024896	1224	0.0095	0.031064
208771_s_at	LTA4H	leukotriene A4 hydrolase	J02959	3050	0.0046	0.027311
212600_s_at	UQCRC2	ubiquinol-cytochrome c reductase core protein II	AV727381	3004	0.015	0.025906
215227_x_at	ACP1	acid phosphatase 1, soluble	BG035989	1405	0.016	0.024513
209507_at	RPA3	replication protein A3, 14kDa	BC005264	1070	0.0094	0.02208
202697_at	NUDT21	nudix (nucleoside diphosphate linked moiety X)-type motif 21	NM_007006	798	0.0027	0.020757
201503_at	G3BP1	GTPase activating protein (SH3 domain) binding protein 1	BG500067	1599	0.003	0.018524
202560_s_at	C1orf77	chromosome 1 open reading frame 77	NM_015607	1174	0.0086	0.018239
214512_s_at	SUB1	SUB1 homolog (S. cerevisiae)	NM_006713	1830	0.0078	0.017388
