Probeset	Gene name	Gene description	SAM score
219403_s_at	HPSE	Heparanase	1.82
222881_at	HPSE	Heparanase	1.82
230241_at	IFRG15	Interferon responsive gene 15	1.82
219253_at	FAM11B	Family with sequence similarity 11, member B	1.78
227697_at	SOCS3	Suppressor of cytokine signaling 3	1.78
212037_at	PNN	Pinin, desmosome-associated protein	1.73
HUMISGF3A_MA_at	STAT1	Signal transducer and activator of transcription 1, 91 kDa	1.73
204908_s_at	BCL3	B-cell CLL/lymphoma 3	1.65
221876_at	DKFZp762P2	Hypothetical protein DKFZp762P2111	1.65
218935_at	EHD3	EH-domain containing 3	1.65
201316_at	PSMA2	Proteasome (prosome macropain) subunit, alpha type 2	1.65
HUMISGF3A_3_at	STAT1	Signal transducer and activator of transcription 1, 91 kDa	1.65
212269_s_at	MCM3AP	Minichromosome maintenance deficient 3-associated protein	1.61
201286_at	SDC1	Syndecan-1	1.61
238418_at	SLC35B4	Solute carrier family 35, member B4	1.61
209969_s_at	STAT1	Signal transducer and activator of transcription 1, 91 kDa	1.61
230917_at	—	—	1.57
227749_at	—	—	1.57
202086_at	MX1	Myxovirus resistance 1, interferon-inducible protein p78 (mouse)	1.57
237942_at	SNRK	SNF related kinase	1.57
HUMISGF3A_3_at	STAT1	Signal transducer and activator of transcription 1, 91 kDa	1.57
237299_at	—	—	1.53
221764_at	C19ORF22	Chromosome 19 open reading frame 22	1.53
217925_s_at	C6ORF106	Chromosome 6 open reading frame 106	1.53
201082_s_at	DCTN1	Dynactin 1 (p150, glued homolog, Drosophila)	1.53
206662_at	GLRX	Glutaredoxin (thioltransferase)	1.53
227713_at	KATNAL1	Katanin p60 subunit A-like 1	1.53
225752_at	NIPA1	Nonimprinted in Prader-Willi/Angelman syndrome 1	1.53
201964_at	ALS4	Amyotrophic lateral sclerosis 4; juvenile	1.49
207522_s_at	ATP2A3	ATPase, Ca++ transporting, ubiquitous	1.49
236831_at	C3orf6	Chromosome 3 open reading frame 6	1.49
239629_at	CFLAR	CASP8 and FADD-like apoptosis regulator	1.49
225097_at	HIPK2	Homeodomain interacting protein kinase 2	1.49
211824_x_at	NALP1	NACHT, leucine rich repeat and PYD containing 1	1.49
213241_at	PLXNC1	Plexin C1	1.49
226782_at	SLC25A30	Solute carrier family 25, member 30	1.49
235035_at	SLC35E1	Solute carrier family 35, member E1	1.49
212926_at	SMC5L1	SMC5 structural maintenance of chromosomes 5-like 1 (yeast)	1.49
HUMISGF3A_MA_at	STAT1	Signal transducer and activator of transcription 1, 91 kDa	1.49
200887_s_at	STAT1	Signal transducer and activator of transcription 1, 91 kDa	1.49
209197_at	SYT11	Synaptotagmin XI	1.49
