Gene symbol	Description	Probe set	Geometric mean of intensities (class empty/class miR-26a)	Fold change after PcG knock-down
ARHGAP24	Rho GTPase-activating protein 24	1566825_at	0.7037292	1.5
ATAD2	ATPase family, AAA domain containing 2	222740_at	1.3870516	?1.9
CCNB1	Cyclin B1	214710_s_at	1.3400383	?1.5
CCNE2	Cyclin E2	205034_at	1.5680341	?2.5
CDC25A	Cell division cycle 25 homolog A (S. cerevisiae)	1555772_a_at	1.3642922	?1.9
CDC6	Cell division cycle 6 homolog (S. cerevisiae)	203968_s_at	1.4108894	?3.1
CDT1	Chromatin licensing and DNA replication factor 1	228868_x_at	1.5277866	?2.2
CHAF1A	Chromatin assembly factor 1, subunit A (p150)	203976_s_at	1.5635639	?6.2
CUGBP2	CUG triplet repeat, RNA binding protein 2	242268_at	0.7193129	1.7
DCC1	defective in sister chromatid cohesion homolog 1 (S. cerevisiae)	219000_s_at	1.3318879	?1.6
GMNN	Geminin, DNA replication inhibitor	218350_s_at	1.3320183	?2
GTSE1	G2- and S-phase expressed 1	215942_s_at	1.4042593	?3.4
HELLS	Helicase, lymphoid-specific	220085_at	1.3691602	?2.3
LRAP	Leukocyte-derived arginine aminopeptidase	240338_at	0.630956	1.4
MCM10	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	220651_s_at	1.4244193	?3.1
MCM4	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	222037_at	1.2871303	?4.8
MKI67	Antigen identified by monoclonal antibody Ki-67	212022_s_at	1.4520355	?2.7
MYBL1	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	213906_at	1.5254951	?1.7
ORC1L	Origin recognition complex, subunit 1-like (yeast)	205085_at	1.511178	?2.9
PDE4DIP	Phosphodiesterase 4D interacting protein (myomegalin)	232615_at	0.7658641	1.1
RFC4	Replication factor C (activator 1) 4, 37kDa	204023_at	1.4484428	?1.9
SKP2	S-phase kinase-associated protein 2 (p45)	210567_s_at	1.4732182	?2.2
SLC17A5	Solute carrier family 17 (anion/sugar transporter), member 5	221041_s_at	0.7774443	1.3
SOX5	SRY (sex determining region Y)-box 5	215768_at	0.685878	1.7
TncRNA	Trophoblast-derived noncoding RNA	238320_at	0.5457627	1.9
ZBTB1	Zinc finger and BTB domain containing 1	1557036_at	0.7410104	4.9
ZBTB10	zinc finger and BTB domain containing 10	222863_at	0.7321463	2.6
