Genbank ID	Gene Title	Gene Symbol	5 h                               FC ± SEM	8 d                FC ± SEM	1.5 mos                              FC ± SEM	6 mos                                       FC ± SEM	Gene sequence
BB201131	Gamma-aminobutyric acid (GABA-A) receptor-associated protein-like 2	Gabarapl2	N.C.	-2.2 ± 0.4	N.C.	N.C.	1
BE947032	kelch-like 1 (Drosophila)	Klhl1	N.C.	-2.2 ± 0.4	N.C.	N.C.	2
AV110835	ERO1-like (S. cerevisiae) /// ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31	Ero1l /// Rpl31 /// LOC544868 /// LOC632618 /// LOC638193 /// LOC638399 /// LOC665533 /// LOC665562 /// LOC667682 /// LOC668850 /// LOC670050 /// LOC670381 /// LOC671205 /// LOC672957 /// LOC673582 /// LOC676592	N.C.	-1.7 ± 0.4	N.C.	N.C.	3
AV148480	thymosin, beta 10	Tmsb10	N.C.	-1.7 ± 0.4	N.C.	N.C.	4
AV240656	hook homolog 1 (Drosophila)	Hook1	N.C.	-2.2 ± 0.4	N.C.	N.C.	5
BB201495	Diaphanous homolog 3 (Drosophila)	Diap3	N.C.	-6.5 ± 0.7	N.C.	N.C.	6
BB480432	PDZ and LIM domain 3	Pdlim3	N.C.	-2.1 ± 0.4	N.C.	N.C.	7
BB667786	Actin binding LIM protein family, member 3	Ablim3	N.C.	-2.0 ± 0.4	N.C.	N.C.	8
BB076251	Amphiphysin	Amph	N.C.	-2.1 ± 0.4	N.C.	N.C.	9
BG066671	Myosin ID	Myo1d	N.C.	-1.8 ± 0.4	N.C.	N.C.	10
BB051811	abl-interactor 2	Abi2	N.C.	-2.2 ± 0.4	N.C.	N.C.	11
AA406997	myosin IB	Myo1b	-1.5 ± 0.4	N.C.	N.C.	N.C.	12
AK008409	ARP6 actin-related protein 6 homolog (yeast)	Actr6	-2.2 ± 0.4	N.C.	N.C.	N.C.	13
AK017831	gephyrin	Gphn	-1.6 ± 0.4	N.C.	N.C.	N.C.	14
