Probe set	Symbol	Name	Fold-difference
205544_s_at	CR2	complement component (3d/Epstein Barr virus) receptor 2	0.2743434
224955_at	TEAD1	TEA domain family member 1 (SV40 transcriptional enhancer factor)	0.2607459
214081_at	PLXDC1	plexin domain containing 1	0.2481066
244533_at	---	---	0.2299308
1552390_a_at	C8orf47	chromosome 8 open reading frame 47	0.2241682
1554486_a_at	C6orf114	chromosome 6 open reading frame 114	0.2023755
220112_at	ANKRD55	ankyrin repeat domain 55	0.2018869
217465_at	NCKAP1	NCK-associated protein 1	0.1961129
239229_at	---	---	0.1943988
226609_at	DCBLD1	discoidin, CUB and LCCL domain containing 1	0.1939328
219821_s_at	GFOD1	glucose-fructose oxidoreductase domain containing 1	0.1866599
227791_at	SLC9A9	solute carrier family 9 (sodium/hydrogen exchanger), member 9	0.1851898
224976_at	NFIA	nuclear factor I/A	0.1850084
219683_at	FZD3	frizzled homolog 3 (Drosophila)	0.1839197
203846_at	TRIM32	tripartite motif-containing 32	0.1838999
228849_at	NTRK3	neurotrophic tyrosine kinase, receptor, type 3	0.1801373
227481_at	CNKSR3	CNKSR family member 3	0.1774059
210162_s_at	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	0.1660014
212093_s_at	MTUS1	mitochondrial tumor suppressor 1	0.1592868
1566513_a_at	LOC200169	hypothetical protein LOC200169	0.1581584
230488_s_at	LOC138948	BPR	0.1514067
1564233_at	FLJ33534	hypothetical protein FLJ33534	0.1511736
223339_at	ATPIF1	ATPase inhibitory factor 1	0.1510426
202085_at	TJP2	tight junction protein 2 (zona occludens 2)	0.1497162
207073_at	CDKL2	cyclin-dependent kinase-like 2 (CDC2-related kinase)	0.149371
228482_at	CDRT4	CMT1A duplicated region transcript 4	0.1471497
236331_at	---	Full-length cDNA clone CS0DF012YD09 of Fetal brain of Homo sapiens (human)	0.1444208
224970_at	NFIA	nuclear factor I/A	0.1398231
203440_at	CDH2	cadherin 2, type 1, N-cadherin (neuronal)	0.137769
205336_at	PVALB	parvalbumin	0.1334462
224975_at	NFIA	nuclear factor I/A	0.1215432
237035_at	WWOX	WW domain containing oxidoreductase	0.1209187
219440_at	RAI2	retinoic acid induced 2	0.1192412
1555867_at	LOC200169	hypothetical protein LOC200169	0.1136221
212096_s_at	MTUS1	mitochondrial tumor suppressor 1	0.1093323
226223_at	PAWR	PRKC, apoptosis, WT1, regulator	0.1090347
229380_at	---	Transcribed locus, weakly similar to NP_060312.1 hypothetical protein FLJ20489 [Homo sapiens]	0.1077453
210993_s_at	SMAD1	SMAD, mothers against DPP homolog 1 (Drosophila)	0.1066424
230625_s_at	TSPAN12	tetraspanin 12	0.1047306
219615_s_at	KCNK5	potassium channel, subfamily K, member 5	0.1038115
203608_at	ALDH5A1	aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)	0.1027741
244033_at	C14orf145	chromosome 14 open reading frame 145	0.0999774
215443_at	TSHR	thyroid stimulating hormone receptor	0.0956105
