Gene symbol	HR (95% CI)	P	FDR
REL	0.42 (0.21-0.86)	0.003	0.16
TRAP1	3.20 (1.25-8.19)	0.004	0.16
ADAM17	0.41 (0.20-0.84)	0.004	0.16
TRAF5	0.51 (0.30-0.88)	0.005	0.16
FZD6	0.52 (0.30-0.89)	0.005	0.16
PRKCA	1.80 (1.27-2.55)	0.001	0.04
ADAM17	0.44 (0.27-0.73)	0.001	0.04
CCND2	2.11 (1.30-3.43)	0.001	0.04
PAWR	0.60 (0.42-0.86)	0.001	0.04
FZD6	0.63 (0.45-0.87)	0.001	0.04
TRAP1	2.30 (1.27-4.16)	0.003	0.07
BAK1	2.12 (1.24-3.62)	0.003	0.07
HSPA8	2.45 (1.28-4.69)	0.004	0.08
MAP3K4	0.43 (0.23-0.81)	0.005	0.08
MAP4K3	0.70 (0.53-0.92)	0.006	0.08
IL2RB	1.18 (1.04-1.34)	0.007	0.08
IL 1B	1.79 (1.14-2.81)	0.007	0.08
MAP4K4	0.62 (0.43-0.89)	0.008	0.09
PRKCE	2.40 (1.17-4.93)	0.008	0.09
PIG7	2.02 (1.12-3.62)	0.011	0.1
TRAF2	2.54 (1.17-5.50)	0.011	0.1
TNFSF13	1.56 (1.08-2.27)	0.012	0.1
HCK	1.30 (1.05-1.62)	0.014	0.12
MMP17	1.93 (1.11-3.36)	0.02	0.16
MAP3K14	1.30 (1.03-1.64)	0.023	0.16
CRADD	2.48 (1.09-5.63)	0.024	0.16
PSMD2	1.68 (1.05-2.70)	0.025	0.16
PLCG2	1.50 (1.03-2.21)	0.025	0.16
STAT4	1.30 (1.02-1.65)	0.026	0.16
NFKB1E	1.53 (1.02-2.29)	0.027	0.16
