Probe ID	Gene Symbol	Chromosomal location	Representative public ID	Score	Fold Change	Sam
212377_s_at	NOTCH2	Chr:1p13-p11	AU158495	4.433549	1.71652	Inv(16)
221654_s_at	USP3	Chr:15q22.3	AF077040	4.327379	1.52475	Inv(16)
209083_at	CORO1A	Chr:16p12.1	U34690	4.146805	1.54863	Inv(16)
201531_at	ZFP36	Chr:19q13.1	NM_003407	4.135829	1.7846	Inv(16)
211771_s_at	POU2F2	Chr:19q13.31	BC006101	4.904054	2.69637	Inv(16)
209083_at	CORO1A	Chr:16p12.1	U34690	-4.17368	0.31385	M7
206589_at	GFI1	Chr:1p22	NM_005263	-4.06713	0.04441	M7
212252_at	CAMKK2	Chr:12q24.2	AA181179	-4.4231	0.53294	M7
203636_at	Na	Chr:xp22	BE967532	4.06643	5.5217	M7
37966_at	PARVB	Chr:22q13.2-q13.33	AA187563	4.490988	1.91247	M7
209193_at	PIM1	Chr:6p21.2	M24779	4.562274	2.85787	M7
217792_at	SNX5	Chr:20p11	NM_014426	6.093959	1.85498	M7
221884_at	EVI1	Chr:3q24-q28	BE466525	6.271829	10.32762	M7
37965_at	PARVB	Chr:22q13.2-q13.33	AA181053	6.839864	2.89123	M7
204629_at	PARVB	Chr:22q13.2-q13.33	NM_013327	7.116965	2.41139	M7
216253_s_at	PARVB	Chr:22q13.2-q13.33	N73272	8.150399	3.46391	M7
202732_at	PKIG	Chr:20q12-q13.1	NM_007066	7.259957	2.53677	M7
206693_at	IL7	Chr:8q12-q13	NM_000880	5.172535	3.89065	M7
35974_at	LRMP	Chr:12p12.1	U10485	9.150751	2.93566	MLL
212549_at	STAT5B	Chr:17q11.2	BE645861	-6.7146	0.63274	MLL
208018_s_at	HCK	Chr:20q11-q12	NM_002110	4.279749	1.97524	MLL
201642_at	IFNGR2	Chr:21q22.11	NM_005534	5.379581	1.58326	MLL
204069_at	MEIS1	Chr:2p14-p13	NM_002398	5.391473	2.84885	MLL
202265_at	BMI1	Chr:10p11.23	NM_005180	5.445123	2.41266	MLL
206847_s_at	HOXA7	Chr:7p15-p14	AF026397	6.524912	3.12996	MLL
209200_at	MEF2C	Chr:5q14	AL536517	6.761433	2.26465	MLL
209905_at	HOXA9	Chr:7p15-p14	AI246769	6.889493	4.57773	MLL
201850_at	CAPG	Chr:2cen-q24	NM_001747	10.67388	3.76839	MLL
207968_s_at	MEF2C	Chr:5q14	NM_002397	8.585258	2.17994	MLL
204674_at	LRMP	Chr:12p12.1	NM_006152	9.158153	2.49637	MLL
