Function	Gene	Affymetrix Probe Set ID	p-Value	Fold Change	Chromosome Location
cell communication	GUCY1B3	203817_at	5.74E-04	8.7	4q31.3-q33
cell communication	COL15A1	203477_at	8.17E-12	4.9	9q21-q22
cell communication	CX3CL1	823_at	1.09E-04	4.2	16q13
cell communication	CLDN10	205328_at	8.23E-04	3.7	13q31-q34
cell communication	LRP8	205282_at	5.34E-14	3.2	1p34
cell communication	F2RL1	213506_at	9.20E-05	3.2	5q13
cell communication	PDE3A	236300_at	1.29E-04	2.9	12p12
cell communication	ARL7	202207_at	7.32E-08	2.6	2q37.2
cell communication	PAMCI	210335_at	3.86E-09	2.3	12q21.32
cell communication	MADH1	227798_at	9.39E-10	2.3	4q28
cell communication	PRKCI	213518_at	9.74E-04	2.2	3q26.3
cell communication	CREM	209967_s_at	2.36E-05	2.2	10p11.21
cell communication	COL5A1	212488_at	6.91E-05	2.1	9q34.2-q34.3
cell communication	OPN3	219032_x_at	4.23E-08	2.1	1q43
cell communication	IL7R	226218_at	7.53E-05	2.1	5p13
cell communication	BIN1	202931_x_at	2.57E-05	2.1	2q14
cell communication	PPIC	204517_at	1.10E-07	2.1	5q23.2
cell communication	DEK	200934_at	6.31E-13	2	6p23
cell communication	RAB4A	203581_at	5.06E-07	2	1q42-q43
cell communication	CD47	226016_at	3.71E-05	2	3q13.1-q13.2
cell communication	PIK3C2A	235792_x_at	8.87E-12	1.9	11p15.5-p14
cell communication	LOC91614	228293_at	1.28E-08	1.9	11p13
cell communication	PTK2	241453_at	7.78E-04	1.8	8q24-qter
cell communication	MAP4K3	218311_at	7.48E-10	1.8	2p22.3
cell communication	NCOA2	212867_at	1.62E-04	1.8	8q13.2
cell communication	QPRT	204044_at	3.80E-05	1.8	16p12.1
cell communication	SPEC1	222537_s_at	9.36E-09	1.8	1q21.3
cell communication	PRKRIR	209323_at	4.84E-05	1.8	11q13.5
cell communication	SPA17	205406_s_at	1.07E-04	1.8	11q24.2
cell communication	PARG1	203910_at	6.80E-04	1.7	1p22.1
cell communication	BMPR1A	213578_at	1.45E-04	1.7	10q22.3
cell communication	NOTCH1	218902_at	1.59E-06	1.7	9q34.3
cell communication	MADH7	204790_at	8.26E-04	1.6	18q21.1
cell communication	CSNK2A1	212072_s_at	8.13E-07	1.6	20p13
cell communication	RIT1	239843_at	1.56E-04	1.5	1q22
cell communication	EPOR	215054_at	9.04E-04	1.5	19p13.3-p13.2
cell communication	ARNT2	202986_at	5.38E-04	-1.5	15q24
cell communication	IFITM1	201601_x_at	6.59E-06	-1.6	11p15.5
cell communication	STIM2	234140_s_at	3.21E-07	-1.6	4p15.31
cell communication	ARHGDIA	201168_x_at	4.54E-05	-1.6	17q25.3
cell communication	ZYX	200808_s_at	1.01E-05	-1.6	7q32
cell communication	RABL2B	219151_s_at	6.96E-04	-1.6	22q13.33
cell communication	JAK1	201648_at	1.84E-05	-1.6	1p32.3-p31.3
cell communication	ARF4L	203586_s_at	6.63E-06	-1.7	17q12-q21
cell communication	GLUL	215001_s_at	1.66E-05	-1.7	1q31
cell communication	AXIN2	222696_at	5.29E-09	-1.7	17q23-q24
cell communication	COL6A1	213428_s_at	2.88E-04	-1.7	21q22.3
cell communication	CD99	201028_s_at	4.53E-06	-1.7	Xp22.32
cell communication	CREBL2	201990_s_at	1.10E-06	-1.7	12p13
cell communication	ABR	212895_s_at	3.48E-05	-1.7	17p13.3
cell communication	PCDHGC3	209079_x_at	3.53E-08	-1.9	5q31
cell communication	GPRK5	204396_s_at	4.93E-04	-1.9	10q24-qter
cell communication	PRKAR1A	242482_at	2.20E-04	-1.9	17q23-q24
cell communication	STAT6	201331_s_at	4.45E-09	-1.9	12q13
cell communication	BBS2	223227_at	2.22E-09	-1.9	16q21
cell communication	IGF1R	203628_at	1.07E-04	-2	15q25-q26
cell communication	SPG7	202104_s_at	1.78E-06	-2	16q24.3
cell communication	PRKAB1	236288_at	1.05E-05	-2.1	12q24.1
cell communication	DDR2	225442_at	6.80E-08	-2.1	1q12-q23
cell communication	CNOT7	233019_at	3.50E-05	-2.1	8p22-p21.3
cell communication	GABBR1	203146_s_at	3.51E-04	-2.1	6p21.31
cell communication	LGALS1	201105_at	2.82E-08	-2.1	22q13.1
cell communication	PIK4CA	207081_s_at	3.75E-08	-2.2	22q11.21
cell communication	C21orf63	227188_at	8.51E-05	-2.2	21q22.11
cell communication	CD22	38521_at	1.45E-04	-2.2	19q13.1
cell communication	CASP1	209970_x_at	8.45E-04	-2.2	11q23
cell communication	RAC2	213603_s_at	3.70E-07	-2.2	22q13.1
cell communication	AKT3	222880_at	1.53E-05	-2.3	1q43-q44
cell communication	C12orf2	225946_at	3.90E-08	-2.3	12p12.3
cell communication	PER1	244677_at	5.66E-04	-2.3	17p13.1-17p12
cell communication	TRAF5	204352_at	9.51E-04	-2.4	1q32
cell communication	LGALS8	208936_x_at	6.98E-05	-2.5	1q42-q43
cell communication	ITGB2	1555349_a_at	1.95E-04	-2.6	21q22.3
cell communication	NR2F2	209119_x_at	7.61E-07	-2.7	15q26
cell communication	LOC91947	225283_at	2.60E-11	-2.7	15q26.2
cell communication	RERG	227758_at	4.67E-06	-2.9	12p13.1
cell communication	CPE	201117_s_at	8.68E-06	-3	4q32.3
cell communication	RRAS	212647_at	4.61E-10	-3	19q13.3-qter
cell communication	C3	217767_at	3.19E-08	-3.4	19p13.3-p13.2
cell communication	S100A10	200872_at	2.59E-04	-3.8	1q21
cell communication	GPR92	230252_at	3.45E-06	-3.8	12p13.31
cell communication	TNFSF13B	223502_s_at	2.14E-04	-4.1	13q32-34
cell communication	DSC3	206032_at	5.14E-05	-4.6	18q12.1
cell communication	TXNIP	201008_s_at	7.02E-08	-5.2	1q21.2
cell communication	EPHB6	204718_at	8.44E-07	-6.1	7q33-q35
cell communication	FLRT2	204359_at	2.68E-11	-15.3	14q24-q32
