Accession no.	Gene name	Gene symbol	Average fold change EE-0.5	Average fold changeEE-1	Average fold change EE-10	Average fold change Ges-1	Average fold change Ges-10	Average fold change Ges-100	Average fold change BPA-0.5	Average fold change BPA-50	Average fold change BPA-400
K00994	Intestinal calcium-binding protein, calbindin 3	Icabp	1.1	1.1	3.1	1.1	1	4.3	1.1	2.5	8.6
L16922	Progesterone receptor	Pgr	1	1.2	2.1	1.1	2.1	2.9	1	1.2	2.3
AA848831	Endothelial differentiation, lysophosphatidic acid G-protein-coupled	Edg2	1.4	1.5	1.9	1.1	1	1.2	1.1	1.2	1.4
U67137	Guanylate kinase associated protein	Dlgap1	1.1	1.2	1.8	1.1	1.2	1.7	1.5	1.5	2.3
L35767	Very low density lipoprotein receptor	Vldlr	1.3	1.3	1.8	1.1	1	1.2	1.2	1.2	1.4
AA850734	Vascular endothelial growth factor	Vegf	1.3	1.4	1.7	1.1	1	1.2	1.1	1	1.2
X69903	Interleukin-4 receptor	IL4R	1.4	1.5	1.7	1.1	1.3	1.3	1.1	1.2	1.6
M33648	Mitochondrial 3-hydroxy-3-methylglutaryl-CoA synthase	HMGCS2	1.3	1.2	1.6	1	1.1	1.5	1.2	1.1	2
AB015194	Rhesus blood group-associated A glycoprotein	Rhag	1.3	1.2	1.6	1	1	1.3	1.2	1.7	1.5
AA858607	ESTs		1.1	1	1.6	1.3	2.1	1.7	1.1	1.3	1.8
M33648	3-hydroxy-3-methylglutaryl-CoA synthase	HMGCS	1.1	1	1.6	-1	1.1	1.4	-1.1	1.1	2
AF087839	Sulfonylurea receptor 2	SUR2	1.1	1.2	1.6	1.1	1.2	1.7	1	1.2	1.5
D63834	MCT1 monocarboxylate transporter	MCT1	1.1	-1	1.6	1.1	1.4	1.5	-1.1	1.3	1.6
AA799678	EGL nine homolog 3 (C. elegans)	Egln3	1.2	1.3	1.6	1.2	1.2	1.3	1.2	1.1	1.7
X60769	Silencer factor B	sfb	1	1.2	1.5	1.1	1.5	1.3	1.1	1.9	1.3
S64044	Progesterone receptor steroid-binding domain	PgRsbd	1	1	1.5	1	1.5	2.1	-1.1	1.1	2.4
AF019628	ATP-binding cassette, sub-family C (CFTR/MRP), member	Abcc9	1.1	1.2	1.5	-1.1	-1.1	1.4	-1	1	1.7
AA875032	ESTs, high homology to fos-like antigen 2	Fosl2	1.1	1.1	1.4	-1.1	1.1	1.2	-1.1	1.1	1.7
AI145680	Momonocarboxylic acid transporter, member 1	Slc16a1	1	1.1	1.4	1.2	1.6	1.7	-1.2	1.1	1.4
AI232087	Hydroxyacid oxidase 3 (medium-chain)	Hao3	1	1.1	1.3	1.1	1.8	3.5	-1.1	1.1	2.5
AA799560	ESTs, high homology to N-myc downstream-regulated gene 2	NDRG2	1	-1	1.3	-1	1.1	1.3	1.1	1.3	1.3
U72741	Lectin, galactose binding, soluble 9 (Galectin-9)	Lgals9	1	1.1	1.3	1.1	1.1	1.3	-1.2	1.1	1.7
X63281	N-myc	nmyc	1	-1	1.3	-1.1	-1	1.3	1.2	1.6	1.7
AA800797	ESTs, high homology to solute carrier organic anion transporter family, member 2a1	Slco2a1	1.1	1.1	1.3	1.1	1.1	1.3	1.1	1.2	1.5
AA800928	ESTs, similar to potassium channel, subfamily K, member 5		1.1	-1.2	1.3	-1.1	1.1	1.4	1.3	1.7	1.8
AF072411	CD36 antigen (collagen type I receptor, thrombospondin	Cd36I1	1.1	1	1.2	1.3	1.2	1.6	1.3	-1	1.6
AA893191	ESTs, high homology to phosphatidic acid phosphatase type 2c	Ppap2c	1	-1	1.2	1	1.1	1.4	-1.1	1.1	1.5
U06713	EGL nine homolog 3 (C. elegans)	Egln3	1.1	1.1	1.2	1.1	1	1.2	-1.1	1	1.4
AI638965	Similar to carboxypeptidase-like protein ACLP		1	1.1	1.2	-1	1.1	1.2	1.1	1.4	1.8
D84450	ATPase, NaþKþ transporting, beta polypeptide 3	Atp1b3	1.1	1.1	1.2	-1	1	1.1	1.4	1.3	1.5
D00036	Phospholipase A2, group IB, pancreas	Pla2g1b	1.2	-1.2	-1.2	-1.2	-1.3	-1.6	1.2	-1	-1.9
AA894233	ESTs		1.1	-1	-1.2	-1.1	-1.2	-1.3	-1.3	-1.3	-1.3
D30666	Fatty acid Coenzyme A ligase, long chain 3	Facl3	1.2	-1.1	-1.3	-1.1	-1.1	-1.1	-1.2	-1.2	-1.4
AA892314	Isocitrate dehydrogenase 1, soluble	Idh1	1.2	-1.2	-1.4	1	-1.1	-1.1	-1.1	-1.2	-1.4
D85189	Fatty acid-Coenzyme A ligase, long chain 4	Facl4	1.2	-1.1	-1.4	1	1	-1.2	-1	-1.2	-1.5
AI172293	RANP-1, sterol-C4-methyl oxidase-like	Sc4mol	1.2	-1	-1.5	-1	-1.1	-1.3	-1.1	-1.3	-1.6
X52625	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	Hmgcs1	1.2	-1.1	-1.5	-1	-1.1	-1.2	1.1	-1	-1.4
AB016800	7-dehydrocholesterol reductase	Dhcr7	1.3	-1.1	-1.5	1.2	-1	-1.1	1	1	-1.3
X75253	Phosphatidylethanolamine binding protein	Pbp	-1.1	-1.1	-1.6	1	1	-1.2	-1.1	-1.1	-1.4
J03190	Aminolevulinic acid synthase H	Alash	-1.3	-1.1	-1.6	-1	-1.1	-1.4	-1.3	-1.3	-1.7
K01932	Glutathione-S-transferase, alpha type (Ya)	Gsta1	-1	-1.1	-1.6	1.1	1	-1.2	1.1	1	-1.9
Z33403	Follicle stimulating hormone receptor	FSHR	-1.3	-1.4	-1.8	1.2	1.1	-1.2	-1.2	-1.1	-2.1
J03190	Aminolevulinic acid synthase 1	Alas1	-1.2	-1.2	-1.9	-1.1	-1	-1.4	1	-1.2	-1.5
U42427	Anti-Mullerian hormone type 2 receptor	Amhr2	-1.6	-1.9	-2.1	-1.1	-1.2	-1.3	-1.1	-1.2	-1.4
D90219	Natriuretic peptide precursor C	Nppc	-1.5	-1.7	-2.2	1.1	-1.8	-1.9	-1.1	-2	-1.9
J05156	Cytochrome P450, 11a, cholesterol side chain cleavage	Cyp11a	-1.4	-1.1	-2.5	1.1	1	-1.2	1.1	1	-2.3
S72505	Glutathione S-transferase A5	Gsta5	-1.3	-1.5	-2.7	1.2	1.1	-1.3	1.2	1.1	-2
