Gene name	Probe ID	GeneID	Gene	Runx1	Runx2	Runx3	Functional annotation	Expression
 Angiopoietin-like 4	1417130_s_at	NM_020581	Angptl4	2.14	1.85	2.28	1, 4, 6, 9, 11	Upregulated
 Chemokine (C-C motif) ligand 2	1420380_at	AF065933	Ccl2	2.22	2	3.78	1, 5, 6, 7, 8, 9, 10, 11	Upregulated
 Chemokine (C-C motif) ligand 7	1421228_at	AF128193	Ccl7	2.92	2.34	3.29	1, 5, 6, 8, 9, 10, 11	Upregulated
 Cytochrome P-450, family1,  sub-family peptide 1	1416612_at	B1251808	Cyp1b1	2.45	5.28	8.75	1, 2, 6	Upregulated
 Elastin microfibril interfacer 1	1416414_at	NM_133918	Emilin1	3.17	4.4	9.14	1, 5	Upregulated
 IBR domain containing 3	1432478_a_at	AK015966	Ibrdc3	2.08	2.09	2.05		Upregulated
 Integrin-5	1456195_x_at	BB543979	Itgb5	1.68	1.96	2.71	1, 4, 5, 6, 7, 9, 10, 11	Upregulated
 Lymphocyte antigen 6 containing complex	1453304_s_at	BM245572	Ly6e	2.8	3.06	2.02	1, 9	Upregulated
 Mannan-binding lectin serine protease 1	1425985_s_at	AB049755	Masp1	2.76	2.21	2.82	1	Upregulated
 Neural cell adhesion molecule	1426865_a_at	BB698413	Ncam1	1.93	2.37	3.45	1, 4, 5, 6, 7, 8, 9, 10	Upregulated
 PCTAIRE-motif protein kinase 3	1449151_at	NM_008795	Pctk3	2.47	2.16	5.22		Upregulated
 Retinol dehydrogenase 10 (all-trans)	1426968_a_at	BG073496	Rdh10	5.26	7.86	6.72		Upregulated
 Response to complement gene 32	1418003_at	NM_025427	Rgc32	3.2	3.12	2.74	5	Upregulated
 SERTA domain containing 4	1454877_at	BQ174721	Sertad4	3.05	2.46	4.3		Upregulated
 Solute carrier family 40, member 1	1417061_at	AF226613	Slc40a1	2.78	1.99	6.18	2	Upregulated
 ST3 -galactoside -2,3-sialyltransferase 5	1460241_a_at	BB829192	St3gal5	2.12	2.18	3.11	3	Upregulated
 Tissue inhibitor of metalloproteinase 4	1423405_at	BI788452	Timp4	2.42	2.18	50.69	1, 6, 9, 11	Upregulated
 UDP-glucose ceramide transferase	1421269_at	AA591863	Ugcg	3.17	5.66	6.82	1, 3, 4, 6, 7	Upregulated
 WW domain E3 ubiquitin protein ligase 2	1448145_at	AK004087	Wwp2	2.09	3.12	3.54		Upregulated
 2610528A11Rik	1435639_at	BF580962	N/A	4.81	2.05	12.11		Upregulated
 6330416G13Rik	1426315_a_at	AV326978	N/A	1.8	3.17	4.52		Upregulated
 Acid phosphatase-like 2	1456735_x_at	BB458645	Acpl2	-2.25	-2.25	-3.04		Downregulated
 Adducin3 ()	1423297_at	BM239842	Add3	-1.68	-1.9	-2.68	5	Downregulated
 Activated leucocyte cell adhesion molecule	1437467_at	AV315205	Alcam	-1.76	-2.16	-2.95	4, 5, 6	Downregulated
 Cadherin-like 26	1456937_at	BB748621	Cdh26	-1.93	-3.52	-3.47	5	Downregulated
 CCAAT/enhancer binding protein (C/EBP) 	1423233_at	BB831146	Cebpd	-1.98	-3.32	-5.06	1, 5, 6, 8, 9, 10	Downregulated
 Erbb receptor feedback inhibitor 1 (MIG-6)	1416129_at	NM_133753	ErrFi1	-1.89	-2.24	-4.17	5, 9	Downregulated
 EGL nine homologue 3	1418649_at	BB284358	Egln3	-2.66	-2.07	-5.99	2, 9	Downregulated
 Enolase2,  neuronal	1418829_a_at	NM_013509	Eno2	-1.87	-3.75	-3.89		Downregulated
