Symbol	Fold change	Student’s t test adjusted p value	Regulated
Snrpn	47.9	2.52 x 10^(-5)	Downregulated transcripts in NT.2 and NT-LE
Ndn	16	7.25 x 10^(-5)	Downregulated transcripts in NT.2 and NT-LE
Mest	12.4	2.52 x 10^(-5)	Downregulated transcripts in NT.2 and NT-LE
Impact	11.7	2.14 x 10^(-3)	Downregulated transcripts in NT.2 and NT-LE
Peg3	10.5	2.73 x 10^(-4)	Downregulated transcripts in NT.2 and NT-LE
LOC666403	6.6	0.039	Downregulated transcripts in NT.2 and NT-LE
Pcsk9	4.3	0.01	Downregulated transcripts in NT.2 and NT-LE
Stl4	3.1	7.24 x 10^(-4)	Downregulated transcripts in NT.2 and NT-LE
Supt16h	2.9	1.09 x 10^(-4)	Downregulated transcripts in NT.2 and NT-LE
Tomm22	2.9	0.028	Downregulated transcripts in NT.2 and NT-LE
1700123O20Rik	2.8	4.94 x 10^(-5)	Downregulated transcripts in NT.2 and NT-LE
Adamts9	2.7	0.032	Downregulated transcripts in NT.2 and NT-LE
C920004C08Rik	2.7	5.71 x 10^(-4)	Downregulated transcripts in NT.2 and NT-LE
LOC100044289	2.7	1.54 x 10^(-3)	Downregulated transcripts in NT.2 and NT-LE
Mkrn3	2.6	1.09 x 10^(-4)	Downregulated transcripts in NT.2 and NT-LE
Krt19	2.6	0.016	Downregulated transcripts in NT.2 and NT-LE
Rpol-2	2.5	0.018	Downregulated transcripts in NT.2 and NT-LE
Zfp365	2.3	2.12 x 10^(-3)	Downregulated transcripts in NT.2 and NT-LE
Krt18	2.1	0.03	Downregulated transcripts in NT.2 and NT-LE
Rpo1-4	2	6.76 x 10^(-3)	Downregulated transcripts in NT.2 and NT-LE
GusB	2.1	0.041	Upregulated transcripts in NT.2 and NT-LE
Cdknlc	2.3	4.13 x 10^(-3)	Upregulated transcripts in NT.2 and NT-LE
Prickle4	2.6	0.027	Upregulated transcripts in NT.2 and NT-LE
Chacl	2.6	5.90 x 10^(-3)	Upregulated transcripts in NT.2 and NT-LE
Cyba	2.8	0.033	Upregulated transcripts in NT.2 and NT-LE
