No.	Gene Symbol	Gene Name	Description	Fold change (Normoxia=1)
1	ACTC	actin, alpha, cardiac muscle 1	Cardiac/mesoderm	5.6
2	CD34	CD34 molecule	Endothelial	8
3	CGB	chorionic gonadotropin, beta polypeptide	Trophoblast	2.8
4	COL1A	collagen, type I, alpha 1	Bone/mesoderm	2.15
5	CRABP2	cellular retinoic acid binding protein 2	Stem cell	2.18
6	DES	Desmin	Muscle/mesoderm	9.7
7	DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta	Stem cell	2.04
8	FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	Endothelial/endoderm	2.12
9	FN1	fibronectin 1	Endoderm	1.6
10	GATA4	GATA binding protein 4	Endoderm	0.57
10	GATA6	GATA binding protein 6	Endoderm	2.15
11	GRB7	growth factor receptor-bound protein 7	Stem cell	2.8
12	IFITM1	interferon induced transmembrane protein 1 (9-27)	Stem cell	9.3
13	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	Stem cell	1.7
14	IMP2	insulin-like growth factor 2 mRNA binding protein 2	Stem cell	1.7
15	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	Stem cell	2.05
16	LAMC1	laminin, gamma 1 (formerly LAMB2)	Endoderm	1.6
17	LIN28	lin-28 homolog (C. elegans)	Stem cell	2
18	NOG	Noggin	Mesoderm	2.8
19	NR6A1	nuclear receptor subfamily 6, group A, member 1	Stem cell	1.6
20	POU5F1	POU domain, class 5, transcription factor 1	Stem cell	0.34
20	RUNX2	runt-related transcription factor 2	Bone/mesoderm	1.67
21	SERPINA1	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	Endoderm	1.54
22	SOX17	SRY (sex determining region Y)-box 17	Endoderm	0.07
