Gene	Accession	Fold change	P-value	Functional Group
 ALCAM	NM_001627	-1.8	0.0001	Cell adhesion, invasion and ECM
 AMIGO2	NM_181847	-2.4	0.0005	Cell adhesion, invasion and ECM
 CD24 antigen	NM_013230	-1.8	0.0023	Cell adhesion, invasion and ECM
 CD44 antigen	NM_000610	-1.8	0.0094	Cell adhesion, invasion and ECM
 Collagen V, 1	NM_000093	-2	0.0000	Cell adhesion, invasion and ECM
 Dysadherin	NM_144779	-2.2	0.0002	Cell adhesion, invasion and ECM
 Keratin 19	NM_002276	-2.7	0.0023	Cell adhesion, invasion and ECM
 Lumican	NM_002345	-2.4	0.0122	Cell adhesion, invasion and ECM
 Matrix metalloproteinase 1	NM_002421	-2.2	0.0367	Cell adhesion, invasion and ECM
 MCAM	NM_006500	-2.2	0.0001	Cell adhesion, invasion and ECM
 SynCAM	NM_014333	-1.8	0.0019	Cell adhesion, invasion and ECM
 ATPase Na+/K+ transporting 1	NM_001677	-1.9	0.0001	Other
 Chloride intracellular channel 3	NM_004669	-2.4	0.0051	Other
 eIF2 subunit 1	NM_004094	-2.2	0.0012	Other
 IL-7 receptor	NM_002185	-1.9	0.0045	Other
 IMP3	NM_006547	-2.1	0.0010	Other
 NIMA-related kinase 7	NM_133493	-2.2	0.0002	Other
