Gene	Probe Set ID	Ratio	95% CI		ZamLog2FC	RaineyLog2FC
NOV	214321_at	24.4	10.8	55.3	-4.6	-3.5
NOV	204501_at	19.1	9.6	38.2	-4.3	-3.5
C3	217767_at	13.7	7.2	26.2	-3.8	-14.0
FOS	209189_at	9.9	5.1	19.0	-3.3	-5.8
LUM	201744_s_at	8.6	4.3	17.4	-3.1	-3.3
NR4A1	202340_x_at	8.3	5.5	12.6	-3.1	-7.5
NR4A1	211143_x_at	8.2	5.4	12.5	-3.0	-7.5
EGR1	201694_s_at	6.6	3.5	12.2	-2.7	-7.6
MGP	202291_s_at	6.1	3.2	11.4	-2.6	-13.0
ZNF331	219228_at	5.7	2.5	13.1	-2.5	-6.0
TOB1	202704_at	5.5	3.6	8.4	-2.5	-3.2
POSTN	214981_at	5.2	2.6	10.3	-2.4	9.3
CDKN1C	213182_x_at	4.9	2.5	9.4	-2.3	4.1
CDKN1C	219534_x_at	4.8	2.4	9.5	-2.3	4.1
ABLIM1	210461_s_at	4.6	2.6	8.3	-2.2	-5.0
EGR1	201693_s_at	4.6	2.3	9.5	-2.2	-7.6
ABCB1	209993_at	4.5	2.6	7.8	-2.2	-3.2
HOXA5	213844_at	4.5	2.4	8.4	-2.2	-5.6
GEM	204472_at	4.5	1.7	11.9	-2.2	-4.2
ABLIM1	200965_s_at	4.2	2.8	6.4	-2.1	-5.0
CDKN1C	216894_x_at	4.1	2.1	7.9	-2.0	4.1
NFIC	213298_at	3.9	2.2	6.8	-2.0	-2.8
AKR1B1	201272_at	3.5	1.9	6.5	-1.8	-4.5
NFIC	206929_s_at	3.5	1.9	6.5	-1.8	-2.8
HSD3B1	204515_at	3.5	1.4	8.7	-1.8	-24.0
RGS2	202388_at	3.3	2.1	5.4	-1.7	-5.4
CREBL2	201990_s_at	3.2	2.3	4.3	-1.7	-2.9
NR4A1	210226_at	3.1	2.0	5.0	-1.7	-7.5
RIMS2	206137_at	3.0	2.1	4.1	-1.6	-3.5
TAGLN	205547_s_at	2.9	1.8	4.8	-1.6	-4.9
CDKN1C	213348_at	2.8	1.7	4.7	-1.5	4.1
RGS1	202989_at	2.6	0.9	7.8	-1.4	-6.6
HBG1 /// HBG2	204419_x_at	2.4	0.8	7.6	-1.3	23.0
CREBL2	201989_s_at	2.4	1.7	3.4	-1.3	-2.9
CDKN1C	213183_s_at	2.1	1.4	3.2	-1.1	4.1
COL1A1	202310_s_at	2.1	1.1	3.9	-1.1	10.2
JUN	201466_s_at	2.0	0.8	4.7	-1.0	-4.6
CD74	209619_at	1.9	1.2	2.9	-0.9	-5.7
JUN	201465_s_at	1.8	0.6	5.3	-0.9	-4.6
BHLHB2	201170_s_at	1.8	1.2	2.8	-0.9	-3.4
JUN	201464_x_at	1.8	1.0	3.2	-0.8	-4.6
FGA	205650_s_at	1.8	0.9	3.5	-0.8	4.6
CREBL2	201988_s_at	1.7	1.1	2.7	-0.8	-2.9
FGA	205649_s_at	1.7	0.7	4.4	-0.8	4.6
POSTN	210809_s_at	1.7	0.9	3.3	-0.7	9.3
ZBED1	203043_at	1.6	1.0	2.4	-0.6	-3.1
ELL2	214446_at	1.5	0.6	4.3	-0.6	-3.8
FBN2	215717_s_at	1.5	1.0	2.2	-0.6	5.3
HLA-DPB1	201137_s_at	1.4	0.9	2.3	-0.5	-4.1
BCHE	205433_at	1.4	0.7	2.8	-0.5	7.5
CR1	217484_at	1.4	1.0	1.9	-0.4	-4.1
CR1	206244_at	1.3	0.5	3.7	-0.4	-4.1
RGS1	216834_at	1.3	0.8	2.1	-0.4	-6.6
DHCR24	200862_at	1.3	0.9	2.0	-0.4	4.0
COL1A1	202311_s_at	1.3	0.4	4.0	-0.4	10.2
COL1A1	202312_s_at	1.3	0.8	2.1	-0.4	10.2
HBG1 /// HBG2	213515_x_at	1.3	0.3	5.6	-0.3	23.0
TSPAN5	209890_at	1.2	0.7	2.1	-0.3	5.0
CD163	215049_x_at	1.2	0.7	2.1	-0.3	-3.4
CDKN1C	219533_at	1.2	0.4	3.3	-0.3	4.1
RGS1	202988_s_at	1.2	0.7	2.0	-0.3	-6.6
CR1	208488_s_at	1.2	0.7	2.0	-0.2	-4.1
COL1A1	217430_x_at	1.2	0.9	1.6	-0.2	10.2
CD163	203645_s_at	1.2	0.6	2.3	-0.2	-3.4
NPR3	219789_at	1.1	0.8	1.6	-0.2	6.0
RIMS2	215478_at	1.1	0.6	2.2	-0.2	-3.5
DLC1	220511_s_at	1.1	0.7	1.9	-0.2	5.4
CYP11A1	204309_at	1.1	0.6	1.9	-0.1	2.8
MAGEA2 /// MAGEA2B	214603_at	1.1	0.3	4.1	-0.1	3.0
BHLHB2	201169_s_at	1.1	0.5	2.2	-0.1	-3.4
KIF2	203086_at	1.0	0.7	1.6	-0.1	3.0
