Gene	Symbol	Probe1	Fold-change2
pregnancy specific beta-1-glycoprotein 9	PSG9	38180_f_at	11.12
pregnancy specific beta-1-glycoprotein 7	PSG7	35956_s_at	8.87
keratin 19	KRT19	40899_at	5.81
fatty acid binding protein 4	FABP4	38430_at	5.1
insulin-like growth factor binding protein 2	IGFBP2	1741_s_at	5.06
insulin-like growth factor binding protein 2	IGFBP2	40422_at	3.81
fibrillin 2	FBN2	38012_at	4.89
dual specificity phosphatase 5	DUSP5	529_at	4.84
adlican	adlican	36861_at	4.57
L1 cell adhesion molecule	L1CAM	38551_at	4.4
zinc finger protein 36, C3H type-like 2	ZFP36L2	32588_s_at	3.89
secreted frizzled-related protein 1	SFRP1	32521_at	3.83
chemokine (C-C motif) ligand 2	CCL2	875_g_at	3.71
chemokine (C-C motif) ligand 2	CCL2	34375_at	3.67
cathepsin K	CTSK	129_g_at	3.59
cathepsin K	CTSK	38466_at	3.26
nuclear receptor subfamily 4, group A, member 1	NR4A1	280_g_at	3.15
integrin, alpha 8	ITGA8	41005_at	3.15
neurofilament, light polypeptide 68kDa	NEFL	40995_at	3.13
latrophilin 2	LPHN2	34174_s_at	2.95
latrophilin 2	LPHN2	33872_at	2.03
fibroblast growth factor 8	FGF8	1526_i_at	2.82
platelet-derived growth factor receptor, beta	PDGFRB	1771_s_at	2.82
tenascin N	TNN	36354_at	2.67
hypothetical protein FLJ12587	NA	39322_at	2.59
ATP-binding cassette, sub-family B, member 1	ABCB1	1575_at	2.57
plasticity related gene 1	LPPR4	41714_at	2.5
dedicator of cytokinesis 10	DOCK10	31766_s_at	2.5
doublecortin and CaM kinase-like 1	DCAMKL1	38957_at	2.39
pregnancy specific beta-1-glycoprotein 3	PSG3	40857_f_at	2.37
itchy homolog E3 ubiquitin protein ligase	ITCH	38349_at	2.33
paired mesoderm homeobox 1	PMX1	40126_at	2.3
mannosidase, alpha, class 1C, member 1	MAN1C1	40716_at	2.29
quinolinate phosphoribosyltransferase	QPRT	37978_at	2.27
homeo box B3	HOXB3	33620_at	2.27
HRAS-like suppressor 3	HRASLS3	35704_at	2.27
cyclin-dependent kinase 5, regulatory subunit 1	CDK5R1	800_g_at	2.25
tumor necrosis factor superfamily, member 12	TNFSF12	39588_at	2.25
transglutaminase 2	TGM2	231_at	2.23
angiotensin I converting enzyme 1	ACE	37013_at	2.22
biglycan	BGN	38126_at	2.22
wingless-type MMTV integration site family, member 1	WNT1	1853_at	2.18
RAR-related orphan receptor B	RORB	32381_at	2.16
tubulin tyrosine ligase-like family, member 4	TTLL4	32671_at	2.16
CDP-diacylglycerol synthase 2	CDS2	41343_at	2.1
cholesteryl ester transfer protein, plasma	CETP	40741_at	2.08
Rap guanine nucleotide exchange factor 1	RAPGEF1	36240_at	2.05
KIAA0870 protein	NA	41735_at	2.05
KIAA0870 protein	NA	41734_at	2.02
hypothetical protein MGC4293	NA	33177_at	2.02
A kinase (PRKA) anchor protein (gravin) 12	AKAP12	37680_at	2
KIAA0746 protein	NA	41585_at	-2
phosphoserine phosphatase	PSPH	37209_g_at	-2.01
phosphoserine phosphatase	PSPH	36736_f_at	-2.16
KIAA0998	NA	31367_at	-2.02
galanin	GAL1	35879_at	-2.02
oxidised low density lipoprotein receptor 1	OLR1	37233_at	-2.04
lung type-I cell membrane-associated glycoprotein	T1A-2	41870_at	-2.04
H factor (complement)-like 1	HFL1	32249_at	-2.05
brain-derived neurotrophic factor	BDNF	1088_at	-2.07
brain-derived neurotrophic factor	BDNF	40023_at	-2.08
dickkopf homolog 1	DKK1	35977_at	-2.07
pyrimidinergic receptor P2Y, G-protein coupled, 6	P2RY6	38222_at	-2.07
mitogen-activated protein kinase 13	MAPK13	33245_at	-2.09
MHC class I polypeptide-related sequence B	MICB	40755_at	-2.09
glutathione peroxidase 7	GPX7	36009_at	-2.1
adenylate kinase 3	AK3	32331_at	-2.1
DKFZP564O0823 protein	NA	41402_at	-2.12
insulin-like growth factor binding protein 5	IGFBP5	1678_g_at	-2.12
insulin-like growth factor binding protein 5	IGFBP5	41420_at	-2.28
insulin-like growth factor binding protein 5	IGFBP5	1601_s_at	-2.66
transforming growth factor, beta-induced, 68kDa	TGFBI	1385_at	-2.14
v-src sarcoma viral oncogene homolog	SRC	38904_at	-2.14
epoxide hydrolase 1, microsomal	EPHX1	38790_at	-2.15
corneodesmosin	CDSN	39991_at	-2.16
kynureninase	KYNU	40670_at	-2.2
kynureninase	KYNU	40671_g_at	-5.37
telomeric repeat binding factor 1	TERF1	1329_s_at	-2.25
tumor necrosis factor receptor superfamily, 8	TNFRSF8	34929_at	-2.27
guanine nucleotide binding protein, beta polypeptide 2-like 1	GNB2L1	34610_at	-2.29
tissue inhibitor of metalloproteinase 3	TIMP3	1035_g_at	-2.33
tissue inhibitor of metalloproteinase 3	TIMP3	1034_at	-2.58
interferon-induced protein with tetratricopeptide repeats 2	IFIT2	909_g_at	-2.35
RAD51 homolog C	RAD51C	41480_at	-2.39
cDNA DKFZp564H172	NA	35881_at	-2.39
a disintegrin and metalloproteinase domain 12	ADAM12	38770_at	-2.41
transmembrane 4 superfamily member 1	TM4SF1	41531_at	-2.43
transmembrane 4 superfamily member 1	TM4SF1	892_at	-2.66
glutathione S-transferase theta 2	GSTT2	1099_s_at	-2.44
tubulin, alpha 1	TUBA1	36591_at	-2.44
collagen, type XV, alpha 1	COL15A1	38427_at	-2.45
hydroxysteroid (11-beta) dehydrogenase 1	HSD11B1	35702_at	-2.47
interleukin 7	IL7	1159_at	-2.51
solute carrier family 25, member 13	SLC25A13	38329_at	-2.51
metallothionein 1X	MT1X	39120_at	-2.52
tetraspan 2	TSPAN-2	35497_at	-2.53
necdin	NDN	36073_at	-2.53
2-5-oligoadenylate synthetase-like	OASL	269_at	-2.57
2-5-oligoadenylate synthetase-like	OASL	34491_at	-8.59
decay accelerating factor for complement	DAF	39695_at	-2.61
interferon-induced protein with tetratricopeptide repeats 1	IFIT1	32814_at	-2.67
interferon-induced protein with tetratricopeptide repeats 1	IFIT1	915_at	-4.18
tumor necrosis factor receptor superfamily, 25	TNFRSF25	1210_s_at	-2.72
KIAA0367	NA	33442_at	-2.74
natriuretic peptide receptor C/guanylate cyclase C	NPR3	34519_at	-2.76
tripartite motif-containing 16	TRIM16	38881_i_at	-2.76
interleukin 13 receptor, alpha 2	IL13RA2	1016_s_at	-2.85
secreted and transmembrane 1	SECTM1	41045_at	-2.88
adenosine deaminase, RNA-specific, B1	ADARB1	38748_at	-2.95
interferon-stimulated protein, 15kDa	ISG15	38432_at	-3.02
ankyrin 3	ANK3	36965_at	-3.05
calmegin	CLGN	40710_at	-3.07
adrenergic, beta, receptor kinase 2	ADRBK2	38498_at	-3.11
zinc finger, MYND domain containing 10	ZMYND10	32993_s_at	-3.14
glucokinase (hexokinase 4) regulator	GCKR	37059_at	-3.19
ninjurin 1	NINJ1	41475_at	-3.2
bone morphogenetic protein 6	BMP6	1733_at	-3.27
