Function	Gene name	Accession number	Absolute expression Wild-type normoxia	Absolute expression Wild-type hypoxia	Fold-change
Interacting with histones	dek gene	AA733594	439.23	144.62	?3.0
Interacting with histones	DEAD box polypeptide 3	L25126	315.5	133.02	?2.4
Interacting with histones	Fibroblast growth factor-inducible 16/SMC2	U42 385	425.5	181.12	?2.3
Cell structure	Kinesin family member 5B	U86 090	254.42	83.99	?3.0
Cell structure	Translocated promoter region	AI843564	217.07	72.58	?3.0
Cell structure	Kinectin 1	L43326	183.78	70.79	?2.6
Cell structure	Procollagen, type IV, alpha 5	Z35 168	261	103.76	?2.5
Cell structure	RIKEN cDNA 0 610 038P07 gene	AW227 650	226.62	93.56	?2.4
mRNA processing	Transcription elongation factor A (SII) 1	D00925	177.44	56.32	?3.2
mRNA processing	Heterogeneous nuclear ribonucleoprotein H1	Y14 196	873.6	277.95	?3.1
mRNA processing	Splicing factor, arginine/serine-rich 5	AF020308	467.26	200.75	?2.3
RNA binding protein	Fragile X mental retardation syndrome 1 homolog	L23971	442.88	144.33	?3.1
DNA binding	High mobility group box 2	X67 668	184.14	74.43	?2.5
DNA repair	REV3-like	AF083464	258.26	69.95	?3.7
Transcription factor	RIKEN cDNA 1 810 007M14 gene	AI098965	259.74	89.7	?2.9
Translation	Eukaryotic translation initiation factor 3	U14 172	624.93	230.16	?2.7
Protein transport	RAB7	Y13 361	143.35	40.95	?3.5
Wnt signalling	Calcyclin binding protein	U97 327	387.14	125.63	?3.1
Immune system	Complement component factor h	M12660	356.9	109.52	?3.3
Immune system	Complement factor H-related protein	M29010	357.48	116.56	?3.1
Apoptosis	Zinc finger protein	X95 504	451.02	172	?2.6
Apoptosis	Caspase 8 associated protein 2	AI847837	394.01	158.94	?2.5
T-cell development	Thymopoietin	U39 074	405.43	172.17	?2.4
Cell adhesion molecule	Activated leukocyte cell adhesion molecule	L25274	143.72	40.38	?3.6
rDNA supression	Helicase	U25 691	256.81	87.46	?2.9
rDNA supression	SWI/SNF related, regulator of chromatin	AA794509	198.75	84.1	?2.4
Cytokinesis	Septin 7	AJ223782	678.4	220	?3.1
Cytokinesis	Chondroitin sulphate proteoglycan 6	Y15 128	485.31	179.23	?2.7
Cytokinesis	Rho-associated coiled-coil forming kinase 2	U58 513	187.25	77.15	?2.4
Cytokine	Kit ligand	M57647	483.05	179.16	?2.7
Serine protease	Kallikrein 9	M17962	185.26	65.55	?2.8
Unknown	Cluster Incl AW122 568	AW122 568	141.65	19.73	?7.2
Unknown	Expressed sequence C79684	AW047 929	37.86	7.52	?5.0
Unknown	Cluster Incl AW049 254	AW049 254	167.45	44.18	?3.8
Unknown	Heat shock 70kD protein-like 1	AF109905	536.36	148.17	?3.6
Unknown	Zinc finger protein 97	L20450	249.64	71.68	?3.5
Unknown	RIKEN cDNA 2 310 005N03 gene	AA981581	191.22	60.98	?3.1
Unknown	Expressed sequence AI317193	AI838094	102.09	33.07	?3.1
Unknown	Cluster Incl AI462312	AI462312	242.22	80.36	?3.0
Unknown	Riken cDNA 1 810 019E15	AA733594	439.23	144.62	?3.0
Unknown	PC4 and SFRS1 interacting protein 2	AW047 331	213.61	76.54	?2.8
Unknown	RIKEN cDNA 1 190 008F14 gene	AI848671	788.51	298.56	?2.6
Unknown	DNA segment, Chr 4	AA914734	269.4	102.8	?2.6
Unknown	RIKEN cDNA 5 930 426I11 gene	AI464596	191.3	73.4	?2.6
Unknown	DNA segment, Chr 10, ERATO Doi 438	AI839117	227.51	88.79	?2.6
Unknown	Zinc finger protein 101	U07 861	200.62	78.91	?2.5
Unknown	RIKEN cDNA 2 610 042L04 gene	AI853444	350.06	138.17	?2.5
Unknown	RIKEN cDNA 4 930 553M18	AW046 691	167.75	66.89	?2.5
Unknown	DNA Segment, Chr 6, human D12S2489E	AF054819	216.82	87.85	?2.5
Unknown	Nucleolar protein 5	AF053232	449.36	182.44	?2.5
Unknown	Expressed sequence AU022 875	AA866655	401.83	164.57	?2.4
Unknown	Cluster Incl AI843046	AI843046	239.98	99.91	?2.4
Unknown	Zinc finger protein 36	AA032310	982.87	411.42	?2.4
Unknown	WSB-1	AF033186	607.55	254.65	?2.4
Unknown	Growth arrest specific 5	AI849615	209.7	90.37	?2.3
Unknown	Guanylate nucleotide binding protein 3	AW047 476	305.25	131.78	?2.3
Unknown	RIKEN cDNA 2 610 023M21 gene	AI841982	755.29	335.04	?2.3
