Biological process	Gene symbol	MAK-KR vs vector (fold change)	Gene title
Androgen regulated (repressed)	TRG@	1.89	T-cell receptor ? locus
Androgen regulated (repressed)	SMARCD3	1.82	SWI/SNF complex 60-kDa subunit C
Androgen regulated (repressed)	CHES1	1.81	Checkpoint suppressor 1
Androgen regulated (repressed)	CLU	3.39	Clusterin (TRPM-2)
Antiangiogenesis	THBS1	5.99	Thrombospondin 1
Proapoptosis	PAWR	2.04	PRKC, apoptosis, WT1, regulator
Proapoptosis	BAD	1.88	BCL2 antagonist of cell death
Proapoptosis	PDCD10	1.72	Programmed cell death 10
Proapoptosis	APLP1	2.24	Amyloid ? (A4) precursor-like protein 1
Proapoptosis	APAF1	1.59	Apoptotic protease activating factor
Cell cycle arrest/p53 target	CDKN1A	2.15	p21 Cip1
Cell cycle arrest/p53 target	WIG1	1.86	p53 target zinc finger protein
Cell cycle arrest/p53 target	CUL4A	1.91	Cullin 4A
Tumor suppressor	VHL	2.58	von Hippel-Lindau syndrome
Tumor suppressor	TUSC3	1.6	Prostate cancer tumor suppressor candidate 3
Hormone activity	RLN2	3.76	Relaxin 2 (H2)
Inflammatory response	IL1RN	2.8	Interleukin-1 receptor antagonist
Transcriptional regulation, corepressor	SIN3B	1.63	SIN3 homologue B (yeast)
Androgen regulated (induced)	KLK3	?2.35	PSA/kallikrein 3
Androgen regulated (induced)	SPDEF	?2.10	Prostate-derived Ets factor
Androgen regulated (induced)	FKBP5	?2.00	FK506-binding protein 5
Androgen regulated (induced)	KLK2	?1.85	Kallikrein 2, prostatic
Androgen regulated (induced)	NKX3-1	?1.60	NK3 transcription factor related, locus 1
Angiogenesis, androgen regulated (induced)	VEGF	?1.53	Vascular endothelial growth factor
Antiapoptosis	BIRC5	?1.96	Baculoviral IAP repeat-containing 5 (survivin)
Antiapoptosis	PRDX4	?1.55	Peroxiredoxin 4
Cell cycle progression	CDC6	?2.38	CDC6 cell division cycle 6 homologue
Cell cycle progression	CDC2	?1.95	Cell division cycle 2, G1 to S and G2 to M
Cell cycle progression	PRC1	?1.95	Protein regulator of cytokinesis 1
Cell cycle progression	CKS2	?1.74	CDC28 protein kinase regulatory subunit 2
Cell cycle progression	SKP2	?1.54	S-phase kinase-associated protein 2 (p45)
DNA replication	MCM2	?1.82	MCM2 minichromosome maintenance deficient 2
DNA replication	MCM4	?1.81	MCM4 minichromosome maintenance deficient 4
DNA replication	MCM7	?1.59	MCM7 minichromosome maintenance deficient 7
DNA replication	Pfs2	?1.57	DNA replication complex GINS protein PSF2
DNA metabolism	RRM2	?2.33	Ribonucleotide reductase M2 polypeptide
DNA metabolism	TYMS	?1.55	Thymidylate synthetase
DNA metabolism	DHFR	?1.54	Dihydrofolate reductase
DNA metabolism	TK1	?1.53	Thymidine kinase 1, soluble
Proliferation	PCNA	?1.62	Proliferating cell nuclear antigen
Chromatin remodeling	RCBTB1	?1.68	RCC1 and BTB domain containing protein 1
Oncogene	MYC	?1.52	c-myc
