Gene symbol	False discovery rate	Fold Change
IER5	1.48E-08	6.2
SAT	4.68E-08	7.5
TUBB	6.95E-08	5.2
LOC56906	6.95E-08	6.2
ATF3	6.95E-08	6.6
DKK1	6.95E-08	6.6
DTR	6.95E-08	8
HIS1	6.95E-08	9.9
MAFF	6.95E-08	17.4
MACMARCKS	1.05E-07	4
TSSC3	1.95E-07	3.6
PMAIP1	2.63E-07	3.9
RIS1	4.75E-07	4
NMA	4.94E-07	5
DTR	4.94E-07	5.6
PMAIP1	7.40E-07	4.8
	1.21E-06	4.9
FLJ10587	1.31E-06	3.6
HEAB	1.85E-06	3.8
GADD45A	1.85E-06	5
PTGER4	1.88E-06	5.7
hbc647	2.37E-06	3.3
GADD45B	2.37E-06	6.1
SAT	2.37E-06	8.9
	2.48E-06	7.1
H3F3B	2.49E-06	4.5
TPBG	2.82E-06	3.1
OSR2	2.95E-06	5.7
SAT	2.95E-06	6.4
FLJ21870	3.16E-06	3.3
RBMS1	3.46E-06	?6.7
AMACR	3.46E-06	5.1
MYO10	3.46E-06	?4.9
DKFZP564M182	4.31E-06	3.6
SE20-4	6.20E-06	3.6
SAS10	6.26E-06	3.6
C15orf12	6.75E-06	2.7
MELK	6.84E-06	?3.9
FLJ14547	6.84E-06	3.6
RBMS1	7.05E-06	?5.2
TNFAIP6	7.05E-06	4.6
PTPRK	7.56E-06	?4.6
TBCC	7.56E-06	3.1
MGC14376	7.56E-06	3.2
RBMS1	7.86E-06	?6.1
STC2	8.12E-06	4
SDC4	8.31E-06	3.2
ENC1	8.31E-06	4.9
PPIF	8.81E-06	3
TACSTD2	9.79E-06	2.9
