Gene Name	Gene ID	Fold Change
carbonic anhydrase 14	Car14	-47.104
DNA segment, Chr17, ERATO Doi488, expressed	D17Ertd488e	-34.726
solute carrier family 18 (vesicular monoamine), member 2	Slc18a2	-33.985
zona pellucida glycoprotein 2	Zp2	-29.3
lung carcinoma myc related oncogene 1	Lmyc1	-27
myosin Vb	<up5b	-25.7
otoraplin	Otor	-25.4
arginase type II	Arg2	-24.3
Indian hedgehog	Ihh	-23.8
zona pellucida glycoprotein 3	Zp3	-22.6
2-5 oligoadenylate synthetase 1C	Oas1c	-21.6
peptidyl arginine deiminase, type VI	Padi6	-21.2
G protein-coupled receptor 1	Gpr1	-21.1
fructose bisophosphatase 1	Fbp1	-21
Developmental pluripotenoy associated 2	Dppa2	-19.7
gap junction membrane channel protein alpha 4	Gja4	-19.7
cell division cycle 6 homolog (S. cerevisiae)	Cdc6	-18.7
phosphate regulating gene with homologies to endopeptidases on the X chromosome	Phex	-17.9
G protein-coupled receptor 56	Gpr56	-17.5
carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8	Chst8	-17.3
testis expressed gene 14	Tex14	-17.2
LIM homeobox protein 8	Lhx8	-16.5
apolipoprotein C-III	Apoc3	-15.6
ninjurin2	Ninj2	-15.6
calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	Cacna1a	-15.5
zona pellucida glycoprotein 1	Zp1	-14.4
follicle stimulating hormone receptor	Fshr	-11.6
inhibin beta-B	Inhbb	-9.9
Rap guanine nucleotide exchange factor (GEF) 16	Rapgef4	-9.63
cyclin D2	Ccnd2	-8.8
osteomodulin	Omd	-8.8
lysloxidase-like 1	Loxl	-8.4
Rho guanine nucleotide exchange factor (GEF) 16	Arhgef16	-8.4
leucine-rich repeat transmembrane neuronal 3	Lrrtm3	-8.2
NACHT, leucine rich repeat and PYD containing 5	Nalp5	-7.9
Insulin-like growth factor binding protein 1	Igfbp1	-7.6
desert hedgehog	Dhh	-7.5
oogenesin 4	Oog4	-6.8
aquaporin 8	Aqp8	-6.8
hydroxysteroid (17-beta) dehydrogenase 1	Hsd17b1	-6.8
